Name,Ingredients,Instructions,nutr_per_ingredient,quantity,unit,weight_per_ingr,Total Time,Calories
Pumpkin Oatmeal,"['oats', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'pumpkin, raw', 'pumpkin, raw', 'sugars, granulated']","['Mix together oats and milk in a microwave-safe bowl.', 'Cook on high for 1 to 2 minutes, stirring once.', 'Add more milk or oats to achieve the desired consistency, and cook for another 30 seconds.', 'Stir in pumpkin puree, pumpkin pie spice, and cinnamon sugar.', 'Heat through, and serve.']","[{'fat': 10.76, 'nrg': 607.0, 'pro': 26.35, 'sat': 1.899, 'sod': 3.0, 'sug': 0.0}, {'fat': 1.7775, 'nrg': 76.5, 'pro': 6.165000000000001, 'sat': 1.15875, 'sod': 80.25, 'sug': 9.5175}, {'fat': 0.06, 'nrg': 15.0, 'pro': 0.58, 'sat': 0.03, 'sod': 0.5, 'sug': 1.6}, {'fat': 0.0006249999999999999, 'nrg': 0.15625, 'pro': 0.006041666666666666, 'sat': 0.00031249999999999995, 'sod': 0.005208333333333333, 'sug': 0.016666666666666666}, {'fat': 0.0, 'nrg': 16.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 4.19}]","['1', '3/4', '1/2', '1/4', '1']","['cup', 'cup', 'cup', 'teaspoon', 'teaspoon']","[156.0, 183.0, 58.0, 0.6041666666666666, 4.2]",2.0,714.65625
Simple Chicken Brine,"['water, bottled, generic', 'salt, table', 'sugars, granulated', 'soy sauce made from soy (tamari)', 'oil, olive, salad or cooking']","['Pour the warm water into a container that is twice the volume of the water.', 'Pour in the salt, sugar, soy sauce, and olive oil.', 'Stir until the sugar and salt have dissolved, then allow the brine to cool to room temperature.', 'To use, place chicken in the brine, cover, and refrigerate two hours for skinless breasts, 4 hours for bone-in pieces, and 4 hours to overnight for whole chickens.', 'Drain and pat the chicken dry before cooking.', 'One gallon of brine is enough for 6 pounds of whole chicken or bone-in chicken pieces, and up to 10 pounds of skinless, boneless chicken breasts.']","[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 128.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 83700.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 512.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 134.08}, {'fat': 0.24, 'nrg': 132.0, 'pro': 22.68, 'sat': 0.024, 'sod': 12060.0, 'sug': 3.7199999999999998}, {'fat': 54.0, 'nrg': 476.0, 'pro': 0.0, 'sat': 7.456, 'sod': 0.0, 'sug': 0.0}]","['1', '3/4', '2/3', '3/4', '1/4']","['gallon', 'cup', 'cup', 'cup', 'cup']","[3788.8, 216.0, 134.4, 216.0, 54.0]",480.0,1120.0
Grannys Chocolate Gravy,"['milk, fluid, 1% fat, without added vitamin a and vitamin d', 'sugars, granulated', 'wheat flour, white, all-purpose, unenriched', 'cocoa, dry powder, unsweetened', 'vanilla extract']","['In a small sauce pan warm the milk on the stove.', 'This will need to be warm but not boiling.', 'In a small bowl, mix all the dry ingredients.', 'Once the milk has warmed, pour 1/4 cup of milk into the dry ingredients and whisk together.', 'Then, whisk the dry ingredients into the milk in the sauce pan and add vanilla, continue to stir until thickened.', 'Serve this over homemade biscuits with a tall glass of milk.', 'Sure to be a recipe kids will enjoy.', 'This last picture is my husband when he was little eating his grannys chocolate gravy.']","[{'fat': 2.37, 'nrg': 102.0, 'pro': 8.22, 'sat': 1.545, 'sod': 107.0, 'sug': 12.69}, {'fat': 0.0, 'nrg': 9984.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 2614.5600000000004}, {'fat': 0.3075, 'nrg': 113.75, 'pro': 3.2275, 'sat': 0.0485, 'sod': 0.5, 'sug': 0.085}, {'fat': 0.73625, 'nrg': 12.25, 'pro': 1.05375, 'sat': 0.43375, 'sod': 1.125, 'sug': 0.09375}, {'fat': 0.0, 'nrg': 12.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.53}]","['1', '13', '1/4', '1', '1']","['cup', 'cup', 'cup', 'tablespoon', 'teaspoon']","[244.0, 2620.8, 31.25, 5.375, 4.2]",,10224.0
Snowball Cookies,"['butter, without salt', 'sugars, powdered', 'water, bottled, generic', 'vanilla extract', 'wheat flour, white, all-purpose, unenriched', 'nuts, pecans']","['Cream butter and sugar.', 'Add vanilla and water, then combine with flour and nuts.', 'Chill for 2 hours.', 'Roll into small balls placing them on a cookie sheet.', 'Bake at 350 for 8-10 minutes.', 'Roll balls in powdered sugar while hot.']","[{'fat': 184.32, 'nrg': 1632.0, 'pro': 1.92, 'sat': 114.704, 'sod': 32.0, 'sug': 0.16}, {'fat': 0.0, 'nrg': 5604.0, 'pro': 0.0, 'sat': 0.0, 'sod': 24.0, 'sug': 1408.44}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1.3753250650130024, 'sug': 0.0}, {'fat': 0.0, 'nrg': 48.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 2.12}, {'fat': 3.3825, 'nrg': 1251.25, 'pro': 35.5025, 'sat': 0.5335, 'sod': 5.5, 'sug': 0.935}, {'fat': 104.6, 'nrg': 1004.0, 'pro': 13.333333333333332, 'sat': 8.981333333333332, 'sod': 0.0, 'sug': 5.773333333333333}]","['1', '12', '3', '4', '2 3/4', '1 1/3']","['cup', 'cup', 'tablespoon', 'teaspoon', 'cup', 'cup']","[227.2, 1440.0, 40.709621924384884, 16.8, 343.75, 145.33333333333331]",130.0,9539.25
Cinnamon Toast,"['alcoholic beverage, distilled, rum, 80 proof', 'apples, raw, with skin', 'sugars, granulated', 'spices, cinnamon, ground']","['Rim a mug with sugar and cinnamon.', 'Add hot apple cider and Captain Morgan Original Spiced Rum.', 'Enjoy!']","[{'fat': 0.0, 'nrg': 81.85918125, 'pro': 0.0, 'sat': 0.0, 'sod': 0.35436875, 'sug': 0.0}, {'fat': 0.2891649, 'nrg': 88.45043999999999, 'pro': 0.44225219999999993, 'sat': 0.04762716, 'sod': 1.7009699999999999, 'sug': 17.6730783}, {'fat': 0.0, 'nrg': 48.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 12.570000000000002}, {'fat': 0.09, 'nrg': 18.0, 'pro': 0.30000000000000004, 'sat': 0.027, 'sod': 0.0, 'sug': 0.18}]","['1 1/4', '6', '1', '1']","['ounce', 'ounce', 'tablespoon', 'tablespoon']","[35.436875, 170.09699999999998, 12.600000000000001, 7.800000000000001]",,236.30962125
Salted Caramel Sauce,"['sugars, granulated', 'butter, salted', 'cream, fluid, heavy whipping', 'salt, table']","['Before starting I highly suggest that you prep and measure out all of your ingredients.', 'This will make everything so much easier.', 'I promise!', '1.', 'In a medium saucepan, add the sugar and heat on medium-high.', 'Using a spatula or whisk, stir the sugar until a crumbly mixture starts to form (about 7 minutes).', 'Continue stirring until the sugar melts completely and is a dark amber color (about 3-5 minutes).', '2.', 'Add the slices of butter to the saucepan.', 'The butter may sizzle a bit, but this is completely normal.', 'Continue to stir until all the butter is melted.', '3.', 'Slowly pour the heavy cream into the mixture and continue stirring.', '4.', 'Once the heavy cream is fully incorporated, allow the mixture to boil for about 1-2 minutes.', 'The mixture will bubble and will rise in the saucepan (this helps create a thick caramel sauce).', '5.', 'Remove the saucepan from the heat and mix in the sea salt.', 'Allow caramel to cool and pour into an airtight container.', 'Stays good in the fridge for up to 2 weeks.', 'Notes: Depending on your stove (I have an electric stove), your mixture might need more or less time to melt or boil the ingredients.', 'Just make sure that everything is melted and incorporated prior to moving to the next step.']","[{'fat': 0.0, 'nrg': 1536.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 402.24000000000007}, {'fat': 138.24, 'nrg': 1224.0, 'pro': 1.44, 'sat': 87.52799999999999, 'sod': 1092.0, 'sug': 0.12}, {'fat': 43.3, 'nrg': 408.0, 'pro': 3.41, 'sat': 27.638, 'sod': 32.0, 'sug': 3.5}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 6975.0, 'sug': 0.0}]","['2', '12', '1', '1']","['cup', 'tablespoon', 'cup', 'tablespoon']","[403.20000000000005, 170.39999999999998, 120.0, 18.0]",14.0,3168.0
Simple Sweet Mustard,"['vinegar, distilled', 'mustard, prepared, yellow', 'butter, without salt', 'sugars, granulated', 'wheat flour, white, all-purpose, unenriched', 'salt, table']","['Blend all dry ingredients together.', 'Place vinegar in small saucepan and bring to a boil, then lower simmer.', 'Add dry ingredients slowly as you continue to stir.', 'Continue to mix until smooth.', 'Remove from heat and immediately stir in the butter.', 'Allow to cool before storing.', 'This will be much better in taste after it is allowed to meld two or more days before using.']","[{'fat': 0.0, 'nrg': 30.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.1}, {'fat': 4.080000000000001, 'nrg': 72.0, 'pro': 4.5600000000000005, 'sat': 0.264, 'sod': 1320.0, 'sug': 1.2000000000000002}, {'fat': 34.56, 'nrg': 306.0, 'pro': 0.36, 'sat': 21.506999999999998, 'sod': 6.0, 'sug': 0.03}, {'fat': 0.0, 'nrg': 480.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 125.70000000000002}, {'fat': 0.2690625, 'nrg': 99.53125, 'pro': 2.8240625, 'sat': 0.0424375, 'sod': 0.4375, 'sug': 0.07437500000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}]","['10', '8', '3', '10', '3 1/2', '1']","['tablespoon', 'tablespoon', 'tablespoon', 'tablespoon', 'tablespoon', 'teaspoon']","[149.0, 120.0, 42.599999999999994, 126.00000000000001, 27.34375, 6.0]",,987.53125
Pickled Peaches or Pears,"['vinegar, distilled', 'sugars, granulated', 'pears, raw']","['place all the sugar and vinegar over the fire till it comes to a boil', 'add a layer of fruit and cook until soft enough to easily run a fork through', 'then remove the fruit, and fill the same way until all are done.', 'The syrup needs no more cooking.', 'Stick cloves in the fruit before cooking and add cinnamon to the syrup, if desired.']","[{'fat': 0.0, 'nrg': 576.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 1.92}, {'fat': 0.0, 'nrg': 21064.812479999997, 'pro': 0.0, 'sat': 0.0, 'sod': 54.431039999999996, 'sug': 5432.2177919999995}, {'fat': 0.6350288000000001, 'nrg': 258.54744, 'pro': 1.6329311999999998, 'sat': 0.09979023999999999, 'sod': 4.53592, 'sug': 44.22522}]","['12', '12', '1']","['cup', 'pound', 'pound']","[2860.8, 5443.103999999999, 453.592]",,21899.359919999995
Award Winning Green Tomato Mincemeat,"['tomatoes, red, ripe, raw, year round average', 'apples, raw, with skin', 'grapes, red or green (european type, such as thompson seedless), raw', 'carrots, raw', 'pears, raw', 'orange juice, raw', 'spices, cinnamon, ground', 'spices, nutmeg, ground', 'spices, cloves, ground', 'salt, table', 'sugars, brown', 'molasses', 'vinegar, cider', 'vinegar, balsamic', 'lemon juice, raw', 'water, bottled, generic']","['Combine all ingredients in a large stockpot.', 'Bring to a simmer, reduce heat to low and cook, partially covered, 1 hour and 15 minutes, stirring frequently.', 'Can according to water bath canner instructions.', 'Alternatively, freeze: pack cold mincemeat into freezer jars or containers, leaving about an inch headspace for expansion.', 'Seal and freeze promptly.']","[{'fat': 1.3, 'nrg': 117.0, 'pro': 5.720000000000001, 'sat': 0.18200000000000002, 'sod': 32.5, 'sug': 17.095}, {'fat': 1.7000000000000002, 'nrg': 520.0, 'pro': 2.6, 'sat': 0.28, 'sod': 10.0, 'sug': 103.9}, {'fat': 0.4, 'nrg': 172.5, 'pro': 1.8, 'sat': 0.135, 'sod': 5.0, 'sug': 38.699999999999996}, {'fat': 0.24, 'nrg': 41.0, 'pro': 0.93, 'sat': 0.037, 'sod': 69.0, 'sug': 4.74}, {'fat': 0.23100000000000004, 'nrg': 94.05, 'pro': 0.594, 'sat': 0.0363, 'sod': 1.6500000000000001, 'sug': 16.087500000000002}, {'fat': 6.0, 'nrg': 1344.0, 'pro': 20.88, 'sat': 0.72, 'sod': 24.0, 'sug': 249.95999999999998}, {'fat': 0.09, 'nrg': 18.0, 'pro': 0.30000000000000004, 'sat': 0.027, 'sod': 0.0, 'sug': 0.18}, {'fat': 11.2, 'nrg': 168.0, 'pro': 1.8199999999999998, 'sat': 7.993999999999999, 'sod': 0.0, 'sug': 0.98}, {'fat': 3.7800000000000002, 'nrg': 84.0, 'pro': 1.8199999999999998, 'sat': 1.162, 'sod': 84.0, 'sug': 0.7}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 1056.0, 'pro': 0.0, 'sat': 0.0, 'sod': 96.0, 'sug': 279.36}, {'fat': 0.0425, 'nrg': 122.125, 'pro': 0.0, 'sat': 0.007625, 'sod': 15.625, 'sug': 31.47625}, {'fat': 0.0, 'nrg': 624.0, 'pro': 0.0, 'sat': 0.0, 'sod': 208.0, 'sug': 12.48}, {'fat': 0.0, 'nrg': 2912.0, 'pro': 16.64, 'sat': 0.0, 'sod': 832.0, 'sug': 497.12}, {'fat': 8.26, 'nrg': 756.0, 'pro': 11.9, 'sat': 1.372, 'sod': 28.0, 'sug': 86.10000000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 112.0, 'sug': 0.0}]","['650', '1', '250', '100', '165', '12', '1', '14', '14', '1', '2', '2', '13', '13', '14', '14']","['g', 'kg', 'g', 'g', 'g', 'cup', 'tablespoon', 'teaspoon', 'teaspoon', 'teaspoon', 'cup', 'tablespoon', 'cup', 'cup', 'cup', 'cup']","[650.0, 1000.0, 250.0, 100.0, 165.0, 2976.0, 7.800000000000001, 30.799999999999997, 29.4, 6.0, 288.0, 42.125, 3099.2000000000003, 3328.0, 3416.0, 3315.2000000000003]",75.0,8028.675
Chocolate Filled Peanut Butter Cookies,"['wheat flour, white, all-purpose, unenriched', 'sugars, granulated', 'leavening agents, baking powder, double-acting, sodium aluminum sulfate', 'leavening agents, baking soda', 'salt, table', 'butter, without salt', 'peanut butter, smooth style, without salt', 'honey', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'cream, whipped, cream topping, pressurized', 'spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'oil, corn, peanut, and olive', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'sugars, granulated']","['Combine flour, 3/4 cup sugar, baking powder, baking soda and salt in bowl.', 'Cut in butter and peanut butter with pastry blender or fork until mixture resembles coarse crumbs.', 'Stir in honey and milk just until combined.', 'Divide dough in half.', 'Shape each half into a ball; flatten slightly.', 'Wrap each in plastic food wrap.', 'Refrigerate 2 hours or until firm.', 'Heat oven to 350F.', 'Roll out dough, one-half at a time, on lightly floured surface (keeping remaining dough refrigerated) to 1/8-inch thickness.', 'Cut with 2-inch round cookie cutter or biscuit cutter.', 'Place half of cookies 1 inch apart onto ungreased cookie sheets.', 'Place whipping cream in 1-quart saucepan.', 'Cook over medium heat until cream almost comes to a boil.', 'Add chocolate chips and peanuts; stir until chocolate is melted.', 'Spoon 1 teaspoonful filling over cookies on cookie sheets.', 'Top with remaining cut-out cookie rounds.', 'Crimp edges with fork; prick tops.', 'Brush with milk; sprinkle with coarse sugar.', 'Bake 11-13 minutes or until light brown.', 'Cool 1 minute on cookie sheets; remove to cooling rack.']","[{'fat': 3.28, 'nrg': 1213.3333333333333, 'pro': 34.42666666666666, 'sat': 0.5173333333333333, 'sod': 5.333333333333333, 'sug': 0.9066666666666667}, {'fat': 0.0, 'nrg': 576.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 150.84}, {'fat': 0.0, 'nrg': 2.0, 'pro': 0.0, 'sat': 0.0, 'sod': 488.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 629.5, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}, {'fat': 138.24, 'nrg': 1224.0, 'pro': 1.44, 'sat': 86.02799999999999, 'sod': 24.0, 'sug': 0.12}, {'fat': 98.64000000000001, 'nrg': 1146.0, 'pro': 42.660000000000004, 'sat': 19.823999999999998, 'sod': 30.0, 'sug': 20.16}, {'fat': 0.0, 'nrg': 343.66666666666663, 'pro': 0.33999999999999997, 'sat': 0.0, 'sod': 4.666666666666666, 'sug': 92.79666666666665}, {'fat': 0.29625, 'nrg': 12.75, 'pro': 1.0275, 'sat': 0.193125, 'sod': 13.375, 'sug': 1.58625}, {'fat': 1.66625, 'nrg': 19.25, 'pro': 0.24, 'sat': 1.037375, 'sod': 0.625, 'sug': 0.6}, {'fat': 46.6725, 'nrg': 817.25, 'pro': 11.6725, 'sat': 29.172500000000003, 'sod': 0.0, 'sug': 93.3275}, {'fat': 42.0, 'nrg': 372.0, 'pro': 0.0, 'sat': 6.033, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.29625, 'nrg': 12.75, 'pro': 1.0275, 'sat': 0.193125, 'sod': 13.375, 'sug': 1.58625}, {'fat': 0.0, 'nrg': 96.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 25.140000000000004}]","['2 2/3', '3/4', '1', '1/2', '1/2', '3/4', '3/4', '1/3', '2', '2', '1', '3', '2', '2']","['cup', 'cup', 'teaspoon', 'teaspoon', 'teaspoon', 'cup', 'cup', 'cup', 'tablespoon', 'tablespoon', 'cup', 'tablespoon', 'tablespoon', 'tablespoon']","[333.3333333333333, 151.20000000000002, 4.6, 2.3, 3.0, 170.39999999999998, 192.0, 113.0, 30.5, 7.5, 175.0, 42.0, 30.5, 25.200000000000003]",134.0,5835.0
