Name,Ingredients,Instructions,nutr_per_ingredient,quantity,unit,weight_per_ingr,Total Time,Calories
Yogurt Parfaits,"['yogurt, greek, plain, nonfat', 'strawberries, raw', 'cereals ready-to-eat, granola, homemade']",['Layer all ingredients in a serving dish.'],"[{'fat': 0.8845044000000001, 'nrg': 133.80964, 'pro': 23.110512399999998, 'sat': 0.26535132, 'sod': 81.64656, 'sug': 7.348190400000001}, {'fat': 0.46, 'nrg': 49.0, 'pro': 1.02, 'sat': 0.023, 'sod': 2.0, 'sug': 7.43}, {'fat': 7.415, 'nrg': 149.25, 'pro': 4.17, 'sat': 1.207, 'sod': 8.0, 'sug': 6.04}]","['8', '1', '1/4']","['ounce', 'cup', 'cup']","[226.796, 152.0, 30.5]",,332.05964
"Salt Free, Low Cholesterol Sugar Cookies Recipe","['sugars, granulated', 'oil, corn, peanut, and olive', 'egg substitute, powder', 'orange juice, raw', 'orange juice, raw', 'leavening agents, baking powder, double-acting, sodium aluminum sulfate', 'wheat flour, white, all-purpose, unenriched']","['Cream sugar and butter together till smooth.', 'Add in egg beaters, orange rind, orange juice, and mix well.', 'Mix together low sodium baking powder and flour.', 'Add in to creamed mix and mix well.', 'Roll dough into 1 inch balls and place on ungreased cookie sheet.', 'Rub small amount of salt free butter on bottom of glass.', 'Dip glass in granulated sugar.', 'Flatten cookie dough ball slightly using flat end of glass.', 'Bake at 300 degrees for 10-12 min.']","[{'fat': 0.0, 'nrg': 384.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 100.56000000000002}, {'fat': 168.0, 'nrg': 1488.0, 'pro': 0.0, 'sat': 24.132, 'sod': 0.0, 'sug': 0.0}, {'fat': 2.7625, 'nrg': 94.35000000000001, 'pro': 11.793750000000001, 'sat': 0.800275, 'sod': 170.0, 'sug': 4.6325}, {'fat': 0.010416666666666666, 'nrg': 2.333333333333333, 'pro': 0.03625, 'sat': 0.0012499999999999998, 'sod': 0.041666666666666664, 'sug': 0.4339583333333333}, {'fat': 0.0026041666666666665, 'nrg': 0.5833333333333333, 'pro': 0.0090625, 'sat': 0.00031249999999999995, 'sod': 0.010416666666666666, 'sug': 0.10848958333333332}, {'fat': 0.0, 'nrg': 6.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1464.0, 'sug': 0.0}, {'fat': 4.305, 'nrg': 1592.5, 'pro': 45.185, 'sat': 0.679, 'sod': 7.0, 'sug': 1.1900000000000002}]","['1/2', '3/4', '1/4', '1', '1/4', '1', '3 1/2']","['cup', 'cup', 'cup', 'teaspoon', 'teaspoon', 'tablespoon', 'cup']","[100.80000000000001, 168.0, 21.25, 5.166666666666666, 1.2916666666666665, 13.799999999999999, 437.5]",,3567.7666666666664
Honey Sriracha Chicken Wings,"['chicken, broilers or fryers, wing, meat and skin, raw', 'salt, table', 'spices, pepper, black', 'oil, olive, salad or cooking', 'butter, without salt', 'sauce, hot chile, sriracha', 'honey', 'rice, white, long-grain, regular, unenriched, cooked without salt', 'soy sauce made from soy (tamari)', 'sauce, hoisin, ready-to-serve', 'salt, table', 'spices, coriander seed']","['Preheat oven to 400 degrees F.', 'In a large bowl, toss the wings with salt and pepper and oil.', 'Line a sheet pan with nonstick foil or parchment paper, and spread the wings evenly on the pan.', 'Bake for about 50 minutes, turning the wings halfway through.', 'In the last couple of minutes, you can turn on the broiler to get them to really crisp up.', 'Keep an eye on them, though!', 'When the wings are done, melt the butter in a skillet or wok and add the Sriracha, honey, rice wine, soy sauce, hoisin, and salt.', 'Stir over low heat until bubbly.', 'Transfer the wings from the baking sheet into the pan with the sauce.', 'Toss until coated.', 'Garnish with chopped cilantro and serve immediately.']","[{'fat': 174.859716, 'nrg': 2599.0821599999995, 'pro': 238.40795519999998, 'sat': 48.10343159999999, 'sod': 1143.0518399999999, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.035, 'nrg': 3.0, 'pro': 0.11999999999999998, 'sat': 0.016, 'sod': 0.0, 'sug': 0.005}, {'fat': 13.5, 'nrg': 119.0, 'pro': 0.0, 'sat': 1.864, 'sod': 0.0, 'sug': 0.0}, {'fat': 34.56, 'nrg': 306.0, 'pro': 0.36, 'sat': 21.506999999999998, 'sod': 6.0, 'sug': 0.03}, {'fat': 0.72, 'nrg': 72.0, 'pro': 1.56, 'sat': 0.0, 'sod': 1656.0, 'sug': 11.76}, {'fat': 0.0, 'nrg': 128.875, 'pro': 0.1275, 'sat': 0.0, 'sod': 1.75, 'sug': 34.79875}, {'fat': 0.0275, 'nrg': 12.8125, 'pro': 0.265625, 'sat': 0.007625, 'sod': 0.125, 'sug': 0.005}, {'fat': 0.006666666666666666, 'nrg': 3.6666666666666665, 'pro': 0.6299999999999999, 'sat': 0.0006666666666666666, 'sod': 335.0, 'sug': 0.10333333333333333}, {'fat': 0.18, 'nrg': 11.666666666666666, 'pro': 0.17666666666666667, 'sat': 0.03033333333333333, 'sod': 86.0, 'sug': 1.4533333333333334}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}, {'fat': 1.9200000000000002, 'nrg': 30.0, 'pro': 1.32, 'sat': 0.108, 'sod': 6.0, 'sug': 0.0}]","['3', '1', '1/2', '1', '3', '1/4', '2', '1', '1', '1', '1/2', '2']","['pound', 'teaspoon', 'teaspoon', 'tablespoon', 'tablespoon', 'cup', 'tablespoon', 'tablespoon', 'teaspoon', 'teaspoon', 'teaspoon', 'tablespoon']","[1360.7759999999998, 6.0, 1.15, 13.5, 42.599999999999994, 78.0, 42.375, 9.875, 6.0, 5.333333333333333, 3.0, 10.8]",50.0,3286.1029933333325
Shrimp and Caper Salad,"['crustaceans, shrimp, raw (not previously frozen)', 'onions, spring or scallions (includes tops and bulb), raw', 'celery, raw', 'capers, canned', 'olives, ripe, canned (small-extra large)', 'oil, olive, salad or cooking', 'salad dressing, mayonnaise, regular', 'celery, raw', 'lemon juice, raw']","['In a large bowl, toss the shrimp, green onions, celery, capers, black olives, oil and vinegar dressing, mayonnaise, celery seed, and lemon juice.', 'Chill at least 1 hour in the refrigerator before serving.']","[{'fat': 4.6266384, 'nrg': 771.1064, 'pro': 182.343984, 'sat': 0.91625584, 'sod': 1079.5489599999999, 'sug': 0.0}, {'fat': 0.14250000000000002, 'nrg': 24.0, 'pro': 1.3725, 'sat': 0.024, 'sod': 12.0, 'sug': 1.7475}, {'fat': 0.255, 'nrg': 24.0, 'pro': 1.0499999999999998, 'sat': 0.063, 'sod': 121.5, 'sug': 2.0250000000000004}, {'fat': 0.21000000000000002, 'nrg': 6.0, 'pro': 0.6000000000000001, 'sat': 0.06, 'sod': 606.0, 'sug': 0.12}, {'fat': 14.4, 'nrg': 160.0, 'pro': 1.12, 'sat': 1.904, 'sod': 992.0, 'sug': 0.0}, {'fat': 108.0, 'nrg': 952.0, 'pro': 0.0, 'sat': 14.912, 'sod': 0.0, 'sug': 0.0}, {'fat': 123.96000000000001, 'nrg': 1128.0, 'pro': 1.56, 'sat': 19.38, 'sod': 1056.0, 'sug': 0.96}, {'fat': 0.010625, 'nrg': 1.0, 'pro': 0.04375, 'sat': 0.002625, 'sod': 5.0625, 'sug': 0.084375}, {'fat': 0.0015364583333333333, 'nrg': 0.140625, 'pro': 0.0022135416666666666, 'sat': 0.0002552083333333333, 'sod': 0.005208333333333333, 'sug': 0.016015625}]","['2', '3/4', '1 1/2', '3', '1', '1/2', '3/4', '1', '1']","['pound', 'cup', 'cup', 'tablespoon', 'cup', 'cup', 'cup', 'tablespoon', 'dash']","[907.184, 75.0, 151.5, 25.799999999999997, 134.4, 108.0, 165.60000000000002, 6.3125, 0.6354166666666666]",60.0,3066.247025
Natural Peanut Butter Chocolate Bon Bons,"['cocoa, dry powder, unsweetened', 'honey', 'peanut butter, smooth style, without salt']","['Measure out the cocoa powder into a mixing bowl.', 'Grease your measuring cup with a little oil or cooking spray to measure out 1/2 cup honey, and mix with the cocoa powder with a fork or whisk.', 'Blend until the mixture resembles frosting and there are no loose cocoa particles floating around.', 'Cut in the peanut butter, until the chocolate mix absorbs it.', 'Form balls of the mixture with your hands and place on a plate, and freeze for at least 2 hours prior to eating.', 'Can be eaten cold or frozen.']","[{'fat': 141.35999999999999, 'nrg': 2352.0, 'pro': 202.32, 'sat': 83.28, 'sod': 216.0, 'sug': 18.0}, {'fat': 0.0, 'nrg': 12372.0, 'pro': 12.24, 'sat': 0.0, 'sod': 168.0, 'sug': 3340.68}, {'fat': 131.52, 'nrg': 1528.0, 'pro': 56.88, 'sat': 26.432, 'sod': 40.0, 'sug': 26.88}]","['12', '12', '1']","['cup', 'cup', 'cup']","[1032.0, 4068.0, 256.0]",120.0,16252.0
Easy Cheese Sauce,"['cheese, pasteurized process, american, without added vitamin d', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'salt, table', 'spices, pepper, red or cayenne']","['Put milk, onion salt and pepper sauce into a medium saucepan.', 'Tear cheese into small pieces and add to pan.', 'Heat over medium-low to medium heat until cheese is melted and mixture is smooth.']","[{'fat': 54.073836299999996, 'nrg': 631.0598699999999, 'pro': 30.838586099999993, 'sat': 30.714415289999994, 'sod': 2842.32087, 'sug': 3.8441921999999993}, {'fat': 30.810000000000002, 'nrg': 1326.0, 'pro': 106.86000000000001, 'sat': 20.085, 'sod': 1391.0, 'sug': 164.97}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 32549.999999999996, 'sug': 0.0}, {'fat': 0.0029760000000000003, 'nrg': 0.057600000000000005, 'pro': 0.0021120000000000006, 'sat': 0.0005664000000000001, 'sod': 0.009600000000000001, 'sug': 0.001824}]","['6', '13', '14', '1']","['ounce', 'cup', 'teaspoon', 'drop']","[170.09699999999998, 3172.0, 83.99999999999999, 0.017280000000000004]",,1957.1174700000001
Easy Chocolate Frosting Recipe,"['spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'cheese, parmesan, hard', 'milk, buttermilk, fluid, cultured, lowfat', 'sugars, granulated', 'salt, table']","['Heat chocolate on top of double boiler.', 'Combine cream cheese with lowfat milk and gradually add in sugar and salt.', 'Stir in melted chocolate and beat till smooth.', 'Makes 2 c. frosting.']","[{'fat': 22.682434949999998, 'nrg': 397.17649499999993, 'pro': 5.672734949999999, 'sat': 14.17758495, 'sod': 0.0, 'sug': 45.356365049999994}, {'fat': 21.968027549999995, 'nrg': 333.39011999999997, 'pro': 30.404838749999996, 'sat': 13.956458849999999, 'sod': 1170.2673599999998, 'sug': 0.6803879999999999}, {'fat': 0.54, 'nrg': 24.5, 'pro': 2.0275, 'sat': 0.33575, 'sod': 116.5, 'sug': 2.935}, {'fat': 0.0, 'nrg': 3072.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 804.4800000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}]","['3', '3', '1/4', '4', '1/2']","['ounce', 'ounce', 'cup', 'cup', 'teaspoon']","[85.04849999999999, 85.04849999999999, 61.25, 806.4000000000001, 3.0]",,3827.0666149999997
Cornmeal Crackers with Pumpkin Seeds,"['cornmeal, degermed, unenriched, yellow', 'wheat flour, white, all-purpose, unenriched', 'seeds, pumpkin and squash seeds, whole, roasted, without salt', 'salt, table', 'sugars, granulated', 'spices, pepper, red or cayenne', 'butter, without salt', 'milk, fluid, 1% fat, without added vitamin a and vitamin d']","['In a large skillet, stir the cornmeal over moderate heat, shaking the pan occasionally, until lightly toasted, about 2 minutes.', 'Transfer to a plate to cool.', 'In a medium bowl, combine the cornmeal with the flour, 1/2 cup of the pumpkin seeds, the salt, sugar and crushed red pepper.', 'Using your fingers, work the butter into the cornmeal mixture until incorporated.', 'Mix in the milk, pressing the dough with your hands to form a ball; add a little more milk if necessary.', 'Cover the dough and refrigerate until chilled and firm, about 1 hour.', 'Preheat the oven to 350.', 'Butter 2 baking sheets.', 'Pinch off 1-inch pieces of dough and roll into balls.', 'Arrange the balls on the baking sheet and press into 2-inch rounds with a flat-bottomed glass.', 'Press the remaining 1/4 cup of pumpkin seeds into the rounds.', 'Bake the crackers for about 10 minutes, or until browned around the edges.', 'Let cool for 5 minutes, then transfer to a large plate.', 'Serve warm or at room temperature.']","[{'fat': 2.75, 'nrg': 581.0, 'pro': 11.16, 'sat': 0.345, 'sod': 11.0, 'sug': 2.53}, {'fat': 0.9225, 'nrg': 341.25, 'pro': 9.682500000000001, 'sat': 0.14550000000000002, 'sod': 1.5, 'sug': 0.255}, {'fat': 9.315, 'nrg': 213.75, 'pro': 8.9025, 'sat': 1.7617500000000001, 'sod': 9.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 4650.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 32.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 8.38}, {'fat': 0.2325, 'nrg': 4.5, 'pro': 0.165, 'sat': 0.04425, 'sod': 0.75, 'sug': 0.14250000000000002}, {'fat': 69.12, 'nrg': 612.0, 'pro': 0.72, 'sat': 43.013999999999996, 'sod': 12.0, 'sug': 0.06}, {'fat': 0.444375, 'nrg': 19.125, 'pro': 1.5412500000000002, 'sat': 0.2896875, 'sod': 20.0625, 'sug': 2.379375}]","['1', '3/4', '3/4', '2', '2', '3/4', '6', '3']","['cup', 'cup', 'cup', 'teaspoon', 'teaspoon', 'teaspoon', 'tablespoon', 'tablespoon']","[157.0, 93.75, 48.0, 12.0, 8.4, 1.35, 85.19999999999999, 45.75]",77.0,1803.625
Chocolate-Orange Angel Food Cake,"['sugars, powdered', 'wheat flour, white, cake, enriched', 'cocoa, dry powder, unsweetened', 'egg, white, raw, fresh', 'sugars, granulated', 'salt, table', 'orange juice, raw']","['Move oven rack to lowest position.', 'Heat oven to 375F (190C).', 'Sift together powdered sugar, flour, and cocoa.', 'Beat egg whites and cream of tartar in large bowl on medium speed until foamy.', 'Beat in granulated sugar, 2 tablespoon at a time, on high speed, adding salt with the last addition of sugar.', 'Continue beating until stiff and glossy.', 'Do not underbeat.', 'Sprinkle cocoa mixture, 1 tablespoon at a time, over meringue, folding in just until cocoa mixture disappears.', 'Spread batter in ungreased tube pan, 10x4 inches.', 'Gently cut through batter with metal spatula.', 'Bake 30 to 35 minutes or until cracks feel dry and top springs back when touched lightly.', 'Invert pan onto metal funnel or glass bottle about 2 hours or until cake is completely cool.', 'Remove from pan.', 'Slice off top of cake about 1 inch down; set aside.', 'Cut down into cake 1 inch from outer edge and 1 inch from edge of hole, leaving substantial inchwalls inch on each side.', 'Remove cake within cuts with curved knife or spoon, being careful to leave a base of cake 1 inch thick.', 'Spoon sherbet into cake cavity; smooth top.', 'Replace top of cake.', 'Cover and freeze about 3 hours or until firm.']","[{'fat': 0.0, 'nrg': 700.5, 'pro': 0.0, 'sat': 0.0, 'sod': 3.0, 'sug': 176.055}, {'fat': 0.885, 'nrg': 372.0, 'pro': 8.4225, 'sat': 0.1305, 'sod': 2.25, 'sug': 0.315}, {'fat': 2.945, 'nrg': 49.0, 'pro': 4.215, 'sat': 1.735, 'sod': 4.5, 'sug': 0.375}, {'fat': 0.615, 'nrg': 189.0, 'pro': 39.735, 'sat': 0.0, 'sod': 604.5, 'sug': 2.5949999999999998}, {'fat': 0.0, 'nrg': 768.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 201.12000000000003}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 581.25, 'sug': 0.0}, {'fat': 1.5, 'nrg': 336.0, 'pro': 5.22, 'sat': 0.18, 'sod': 6.0, 'sug': 62.489999999999995}]","['1 1/2', '3/4', '1/4', '1 1/2', '1', '1/4', '3']","['cup', 'cup', 'cup', 'cup', 'cup', 'teaspoon', 'cup']","[180.0, 102.75, 21.5, 364.5, 201.60000000000002, 1.5, 744.0]",335.0,2414.5
"Rice With Lemon, Capers & Parsley","['rice, white, long-grain, regular, unenriched, cooked without salt', 'water, bottled, generic', 'butter, without salt', 'salt, table', 'spices, pepper, black', 'lemon juice, raw', 'capers, canned', 'parsley, fresh']","['Add rice to a large pan of boiling water.', 'Cook over high heat about 15 minutes, until just tender.', 'Watch carefully to prevent overcooking.', 'Drain and rise thoroughly.', 'Heat 1 tablespoon butter in a heavy skillet or pan over low heat.', '(I usually use same pan I used to cook the rice.', ').', 'Add rice, salt, and pepper.', 'Heat, stirring gently with a fork.', 'Stir in lemon juice, capers, and parsley and remove from heat.', 'Stir in remaining butter and adjust seasonings to taste.', 'Serve immediately.']","[{'fat': 0.44, 'nrg': 205.0, 'pro': 4.25, 'sat': 0.122, 'sod': 2.0, 'sug': 0.08}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 24.0, 'sug': 0.0}, {'fat': 34.56, 'nrg': 306.0, 'pro': 0.36, 'sat': 21.506999999999998, 'sod': 6.0, 'sug': 0.03}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 27900.0, 'sug': 0.0}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.44799999999999995, 'sod': 0.0, 'sug': 0.13999999999999999}, {'fat': 0.036875, 'nrg': 3.375, 'pro': 0.053125, 'sat': 0.006125, 'sod': 0.125, 'sug': 0.384375}, {'fat': 0.14, 'nrg': 4.0, 'pro': 0.4, 'sat': 0.04, 'sod': 404.0, 'sug': 0.08}, {'fat': 0.05875, 'nrg': 2.75, 'pro': 0.2225, 'sat': 0.009875, 'sod': 4.25, 'sug': 0.06375}]","['1', '3', '3', '12', '14', '1', '2', '2']","['cup', 'cup', 'tablespoon', 'teaspoon', 'teaspoon', 'tablespoon', 'tablespoon', 'tablespoon']","[158.0, 710.4000000000001, 42.599999999999994, 72.0, 32.199999999999996, 15.25, 17.2, 7.5]",15.0,605.125
