Name,Ingredients,Instructions,nutr_per_ingredient,fsa_lights_per100g,nutr_values_per100g,quantity,unit,weight_per_ingr
Crock Pot Party Mix II,"['nuts, cashew nuts, raw', 'pretzels, soft, unsalted', 'butter, without salt', 'spices, pepper, black', 'sauce, worcestershire', 'salt, table', 'spices, garlic powder', 'salt, table']","['Combine cereal, pretzels and nut in crock pot.', 'Mix melted butter with remaining ingredients and drizzle over cereal/nut mixture.', 'Toss to coat.', 'Cook on high uncovered for 2 hours, stir every 1/2 hour.', 'Then turn on low and cook for another 2-6 hours.', 'Stir in air tight container.']","[{'fat': 460.425, 'nrg': 5806.5, 'pro': 191.31, 'sat': 81.7215, 'sod': 126.0, 'sug': 62.055}, {'fat': 1.395, 'nrg': 155.25, 'pro': 3.6899999999999995, 'sat': 0.31275, 'sod': 113.4, 'sug': 0.1125}, {'fat': 2211.84, 'nrg': 19584.0, 'pro': 23.04, 'sat': 1376.4479999999999, 'sod': 384.0, 'sug': 1.92}, {'fat': 0.00875, 'nrg': 0.75, 'pro': 0.029999999999999995, 'sat': 0.004, 'sod': 0.0, 'sug': 0.00125}, {'fat': 0.0, 'nrg': 52.0, 'pro': 0.0, 'sat': 0.0, 'sod': 668.0, 'sug': 6.84}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 27900.0, 'sug': 0.0}, {'fat': 0.24000000000000002, 'nrg': 120.0, 'pro': 6.12, 'sat': 0.096, 'sod': 24.0, 'sug': 0.9600000000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 27900.0, 'sug': 0.0}]","{'fat': 'red', 'salt': 'red', 'saturates': 'red', 'sugars': 'green'}","{'energy': 631.7664145717612, 'fat': 65.68368076985671, 'protein': 5.5071529242701995, 'salt': 3.507552100125587, 'saturates': 35.82958875675145, 'sugars': 1.7659232784005945}","['7', '1', '12', '1', '4', '12', '12', '12']","['cup', 'cup', 'cup', 'dash', 'tablespoon', 'teaspoon', 'teaspoon', 'teaspoon']","[1050.0, 45.0, 2726.3999999999996, 0.2875, 68.0, 72.0, 37.2, 72.0]"
Peachy Pork Picante,"['pork, fresh, loin, tenderloin, separable lean only, raw', 'seasoning mix, dry, taco, original', 'parsley, fresh', 'oil, canola', 'sauce, salsa, ready-to-serve', 'peaches, yellow, raw', 'cornstarch', 'water, bottled, generic']","['Combine taco seasoning and parsley in a clean plastic bag.', 'Add pork cubes and shake bag to coat pork.', 'Heat oil in heavy frying pan over medium-high heat.', 'Add pork and stirring, cook for about 5 minutes.', 'Add salsa and preserves to pan.', 'Reduce heat and simmer until pork is tender, about 15 minutes.', 'In small jar, shake together the cornstarch and cold water.', 'Add cornstarch mixture to frying pan.', 'Stirring constantly, continue simmering until mixture has thickened.', 'Serve over hot, cooked egg noodles or rice.']","[{'fat': 9.8429464, 'nrg': 494.41528, 'pro': 95.027524, 'sat': 3.1660721599999997, 'sod': 240.40376, 'sug': 0.0}, {'fat': 0.0, 'nrg': 40.5, 'pro': 0.5850000000000001, 'sat': 0.0, 'sod': 924.75, 'sug': 1.395}, {'fat': 0.05875, 'nrg': 2.75, 'pro': 0.2225, 'sat': 0.009875, 'sod': 4.25, 'sug': 0.06375}, {'fat': 9.333333333333332, 'nrg': 82.66666666666666, 'pro': 0.0, 'sat': 0.6873333333333332, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.7711064000000001, 'nrg': 131.54167999999999, 'pro': 6.8945984, 'sat': 0.09525432, 'sod': 3225.03912, 'sug': 18.189039199999996}, {'fat': 4.68, 'nrg': 720.0, 'pro': 16.799999999999997, 'sat': 0.34800000000000003, 'sod': 0.0, 'sug': 155.04}, {'fat': 0.0024999999999999996, 'nrg': 20.333333333333332, 'pro': 0.01375, 'sat': 0.0005, 'sod': 0.5, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.5, 'sug': 0.0}]","{'fat': 'green', 'salt': 'orange', 'saturates': 'green', 'sugars': 'orange'}","{'energy': 53.198570587718706, 'fat': 0.8801729165327281, 'protein': 4.261832778822679, 'salt': 0.3917541007782955, 'saturates': 0.1535498102360246, 'sugars': 6.227782696154108}","['1', '1 1/2', '2', '2', '16', '12', '2', '1']","['pound', 'tablespoon', 'tablespoon', 'teaspoon', 'ounce', 'cup', 'teaspoon', 'tablespoon']","[453.592, 12.825000000000001, 7.5, 9.333333333333332, 453.592, 1848.0, 5.333333333333333, 14.8]"
Banana-Peach Jam,"['bananas, raw', 'peaches, yellow, raw', 'sugars, granulated', 'lemon juice, raw', 'pectin, unsweetened, dry mix']","['Peel fruits; discard pits.', 'Mash fruit to a pulp.', 'Combine fruit pulp, sugar and lemon juice.', 'Stir over very low heat until sugar dissolves.', 'Bring to a full rolling boil.', 'Cook 3 minutes, stirring constantly.', 'Remove from heat; stir in pectin.', 'Stir 5 minutes to keep fruit well-distributed.', 'Pour into 8-oz., sterilized canning jars.', 'Water-bath process for 10 minutes.']","[{'fat': 1.4968536, 'nrg': 403.69687999999996, 'pro': 4.9441527999999995, 'sat': 0.50802304, 'sod': 4.53592, 'sug': 55.474301600000004}, {'fat': 1.13398, 'nrg': 176.90088, 'pro': 4.1276872000000004, 'sat': 0.08618247999999999, 'sod': 0.0, 'sug': 38.0563688}, {'fat': 0.0, 'nrg': 5376.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 1407.8400000000001}, {'fat': 8.26, 'nrg': 756.0, 'pro': 11.9, 'sat': 1.372, 'sod': 28.0, 'sug': 86.10000000000001}, {'fat': 0.25514549999999997, 'nrg': 276.40762499999994, 'pro': 0.25514549999999997, 'sat': 0.04252424999999999, 'sod': 170.09699999999998, 'sug': 0.0}]","{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'red'}","{'energy': 120.09771373755088, 'fat': 0.1915303442388927, 'protein': 0.3647604040428341, 'salt': 0.008705012043700137, 'saturates': 0.034517622981278674, 'sugars': 27.278788273598842}","['1', '1', '7', '14', '3']","['pound', 'pound', 'cup', 'cup', 'ounce']","[453.592, 453.592, 1411.2000000000003, 3416.0, 85.04849999999999]"
Crunch and Munch,"['snacks, popcorn, air-popped (unsalted)', 'oil, corn, peanut, and olive', 'butter, without salt', 'sugars, granulated', 'syrups, corn, light']","['Spread popcorn and peanuts on a baking sheet and keep warm in your oven set to 300 degrees while you prepare the butter toffee.', ""You don't need to preheat the oven."", 'Melt the butter in a medium saucepan over medium/low heat.', 'Add sugar and corn syrup and simmer, stirring occasionally.', 'Pop a candy thermometer into the mixture and watch it closely.', 'When the thermometer reaches 300 degrees pour the candy over the warm popcorn and peanuts.', 'Stir well so that the candy coats the popcorn.', 'Put the popcorn back into the oven for 5 minutes, then stir it again to coat the popcorn.', 'Repeat if necessary to thoroughly coat all of the popcorn.', 'Pour coated popcorn and peanuts onto wax paper.', 'When cool, break up the chunks into bite-size pieces and store it all in a covered container.']","[{'fat': 2.72, 'nrg': 248.0, 'pro': 7.68, 'sat': 0.368, 'sod': 0.0, 'sug': 0.0}, {'fat': 3136.0, 'nrg': 27776.0, 'pro': 0.0, 'sat': 450.46400000000006, 'sod': 0.0, 'sug': 0.0}, {'fat': 2211.84, 'nrg': 19584.0, 'pro': 23.04, 'sat': 1376.4479999999999, 'sod': 384.0, 'sug': 1.92}, {'fat': 0.0, 'nrg': 9216.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 2413.44}, {'fat': 9.520000000000001, 'nrg': 13510.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2954.0, 'sug': 3665.0600000000004}]","{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'red'}","{'energy': 536.0986615445593, 'fat': 40.85551388761852, 'protein': 0.2341534802890332, 'salt': 0.06360712216835879, 'saturates': 13.927863654379708, 'sugars': 46.346077624317815}","['8', '14', '12', '12', '14']","['cup', 'cup', 'cup', 'cup', 'cup']","[64.0, 3136.0, 2726.3999999999996, 2419.2000000000003, 4774.0]"
Cauliflower With Mushroom Sauce,"['cauliflower, raw', 'butter, without salt', 'onions, spring or scallions (includes tops and bulb), raw', 'mushrooms, white, raw', 'wheat flour, white, all-purpose, unenriched', 'salt, table', 'spices, pepper, black', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'cheese, parmesan, hard']","['Arrange Cauliflower in a non-stick baking pan; set aside.', 'Melt butter in small sauce pan; add mushrooms and scallion and saute for 1 minute.', 'Stir in flour, salt & pepper; cook, stirring continuously,pour in milk and cook until slightly thickened.', 'Pour sauce over cauliflower and sprinkle evenly with cheese.', 'Bake at 450 approximately 10 to 15 minutes on until top is slightly', 'browned.']","[{'fat': 1.2, 'nrg': 108.0, 'pro': 8.2, 'sat': 0.556, 'sod': 128.0, 'sug': 8.16}, {'fat': 3.84, 'nrg': 34.0, 'pro': 0.039999999999999994, 'sat': 2.3896666666666664, 'sod': 0.6666666666666666, 'sug': 0.003333333333333333}, {'fat': 0.011875, 'nrg': 2.0, 'pro': 0.114375, 'sat': 0.002, 'sod': 1.0, 'sug': 0.145625}, {'fat': 2.88, 'nrg': 180.0, 'pro': 25.92, 'sat': 0.42000000000000004, 'sod': 48.0, 'sug': 16.68}, {'fat': 0.05125, 'nrg': 18.958333333333332, 'pro': 0.5379166666666666, 'sat': 0.008083333333333333, 'sod': 0.08333333333333333, 'sug': 0.014166666666666668}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 41850.0, 'sug': 0.0}, {'fat': 0.00875, 'nrg': 0.75, 'pro': 0.029999999999999995, 'sat': 0.004, 'sod': 0.0, 'sug': 0.00125}, {'fat': 28.44, 'nrg': 1224.0, 'pro': 98.64000000000001, 'sat': 18.54, 'sod': 1284.0, 'sug': 152.28}, {'fat': 1.6001555399309793, 'nrg': 24.062489322270363, 'pro': 2.2137490176488734, 'sat': 1.0166401738659228, 'sod': 85.42183709405978, 'sug': 0.048124978644540725}]","{'fat': 'green', 'salt': 'red', 'saturates': 'green', 'sugars': 'green'}","{'energy': 36.789699431102015, 'fat': 0.87901282798, 'protein': 3.136265899407479, 'salt': 2.5075357666485036, 'saturates': 0.5301158235349681, 'sugars': 4.098585852136689}","['4', '1', '1', '12', '2', '18', '1', '12', '2']","['cup', 'teaspoon', 'tablespoon', 'cup', 'teaspoon', 'teaspoon', 'dash', 'cup', 'teaspoon']","[428.0, 4.7333333333333325, 6.25, 840.0, 5.208333333333333, 108.0, 0.2875, 2928.0, 6.196091000484619]"
Mary's Roasted Brussel Sprouts (3 Weight Watchers Points Per Ser,"['brussels sprouts, raw', 'oil, olive, salad or cooking', 'bacon, meatless', 'salt, table', 'spices, pepper, black']","['Preheat oven to 400.', 'Line a rimmed baking sheet with parchment paper (not necessary, but makes for easier clean-up).', 'Wash, trim and halve - or quarter - sprouts, depending on their size.', 'Toss sprouts with olive oil to lightly coat.', 'Stir in bacon bits*.', 'Season to taste with salt and pepper.', 'Spread sprouts evenly in one layer on baking sheet.', 'Bake for about 10 minutes or longer depending on how crispy you like them.']","[{'fat': 2.0411639999999998, 'nrg': 292.56683999999996, 'pro': 22.997114399999994, 'sat': 0.42184056, 'sod': 170.09699999999998, 'sug': 14.968536}, {'fat': 40.5, 'nrg': 357.0, 'pro': 0.0, 'sat': 5.5920000000000005, 'sod': 0.0, 'sug': 0.0}, {'fat': 7.970625, 'nrg': 83.4375, 'pro': 3.1556249999999997, 'sat': 1.248, 'sod': 395.625, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 79050.0, 'sug': 0.0}, {'fat': 0.8400000000000001, 'nrg': 72.0, 'pro': 2.88, 'sat': 0.384, 'sod': 0.0, 'sug': 0.12000000000000001}]","{'fat': 'orange', 'salt': 'red', 'saturates': 'green', 'sugars': 'green'}","{'energy': 82.18623811624032, 'fat': 5.242717521807312, 'protein': 2.964073005488581, 'salt': 20.320749718220128, 'saturates': 0.7805956336371657, 'sugars': 1.5404513378418112}","['1 1/2', '3', '3', '34', '12']","['pound', 'tablespoon', 'tablespoon', 'teaspoon', 'teaspoon']","[680.3879999999999, 40.5, 27.0, 203.99999999999997, 27.599999999999998]"
Rice Krispies Treats,"['butter, without salt', 'candies, marshmallows', 'cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt']","['Over low heat, melt margarine in a 3 quart saucepan.', 'Add marshmallows and continue to stir constantly until they are melted.', 'Add cereal and mix well.', 'Turn into a 13 x 9-inch buttered pan.', 'Press firmly and refrigerate.', 'I use a sheet of wax paper that is buttered on one side.', 'I put the buttered side down on top of the cereal mixture and then press it down firmly.', 'Refrigerate.']","[{'fat': 2580.48, 'nrg': 22848.0, 'pro': 26.88, 'sat': 1605.856, 'sod': 448.0, 'sug': 2.24}, {'fat': 0.4, 'nrg': 636.0, 'pro': 3.6, 'sat': 0.112, 'sod': 160.0, 'sug': 115.12}, {'fat': 17.8, 'nrg': 830.0, 'pro': 29.700000000000003, 'sat': 3.625, 'sod': 45.0, 'sug': 3.15}]","{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'green'}","{'energy': 534.2796870879846, 'fat': 57.10380592423312, 'protein': 1.322404851894173, 'salt': 0.035872813571240225, 'saturates': 35.3694515250066, 'sugars': 2.6481058275468055}","['14', '4', '5']","['cup', 'cup', 'cup']","[3180.7999999999997, 200.0, 1170.0]"
Red Apple,"['alcoholic beverage, distilled, vodka, 80 proof', 'apple juice, canned or bottled, unsweetened, without added ascorbic acid', 'lemon juice, raw', 'syrups, grenadine']","['Add ingredients to a cocktail shaker filled with ice.', 'Shake vigorously.', 'Strain into a chilled glass with ice.']","[{'fat': 0.0, 'nrg': 65.487345, 'pro': 0.0, 'sat': 0.0, 'sod': 0.283495, 'sug': 0.0}, {'fat': 0.036854349999999994, 'nrg': 13.04077, 'pro': 0.0283495, 'sat': 0.006236889999999999, 'sod': 1.13398, 'sug': 2.7272218999999995}, {'fat': 0.8164655999999998, 'nrg': 74.84267999999999, 'pro': 1.1906789999999998, 'sat': 0.1360776, 'sod': 3.4019399999999997, 'sug': 8.5728888}, {'fat': 0.0, 'nrg': 18.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1.6666666666666665, 'sug': 3.1033333333333335}]","{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'green'}","{'energy': 42.46479744011418, 'fat': 0.21144827406769257, 'protein': 0.3020689629538465, 'salt': 0.00401804380021459, 'saturates': 0.03526479520996069, 'sugars': 3.5690990014694233}","['1', '1', '12', '1']","['ounce', 'ounce', 'ounce', 'teaspoon']","[28.3495, 28.3495, 340.19399999999996, 6.666666666666666]"
Simply Amazing Stir Fry,"['tofu, raw, regular, prepared with calcium sulfate', 'shortening, vegetable, household, composite', 'beans, snap, green, raw', 'broccoli, raw', 'corn, sweet, white, raw', 'beans, snap, green, raw', 'rice, white, long-grain, regular, unenriched, cooked without salt', 'soy sauce made from soy (tamari)']","['Spray a grill pan, george foreman, or nonstick skillet w/olive oil cooking spray.', 'Put the tofu on, and turn occcasionally until equally browned.', 'Meanwhile, put 1/4 cup water in another nonstick skillet, add in all vegetables and rice and cover.', 'Cook until veggies defrost, and most of the water is absorbed.', 'Stir in rice, add in 1 tbs of soy sauce.', 'Put on plate, top with grilled tofu, and add remainder of soy sauce.']","[{'fat': 10.8408488, 'nrg': 172.36496, 'pro': 18.3251168, 'sat': 1.56716036, 'sod': 15.875720000000001, 'sug': 1.4061351999999998}, {'fat': 204.8, 'nrg': 1808.0, 'pro': 0.0, 'sat': 51.152, 'sod': 16.0, 'sug': 0.0}, {'fat': 0.22, 'nrg': 31.0, 'pro': 1.83, 'sat': 0.05, 'sod': 6.0, 'sug': 3.26}, {'fat': 0.34, 'nrg': 31.0, 'pro': 2.57, 'sat': 0.035, 'sod': 30.0, 'sug': 1.55}, {'fat': 21.84, 'nrg': 1584.0, 'pro': 59.519999999999996, 'sat': 3.3600000000000003, 'sod': 276.0, 'sug': 59.519999999999996}, {'fat': 0.22, 'nrg': 31.0, 'pro': 1.83, 'sat': 0.05, 'sod': 6.0, 'sug': 3.26}, {'fat': 5.28, 'nrg': 2460.0, 'pro': 51.0, 'sat': 1.464, 'sod': 24.0, 'sug': 0.96}, {'fat': 0.04, 'nrg': 22.0, 'pro': 3.78, 'sat': 0.004, 'sod': 2010.0, 'sug': 0.62}]","{'fat': 'orange', 'salt': 'green', 'saturates': 'green', 'sugars': 'green'}","{'energy': 136.35167267949424, 'fat': 5.409786905154272, 'protein': 3.0838902002311555, 'salt': 0.1323611823046083, 'saturates': 1.2810867410711513, 'sugars': 1.567454313022976}","['8', '1', '1', '1', '12', '1', '12', '2']","['ounce', 'cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'tablespoon']","[226.796, 204.8, 100.0, 91.0, 1848.0, 100.0, 1896.0, 36.0]"
Creamy Mushroom Sauce,"['mushrooms, white, raw', 'onions, raw', 'butter, without salt', 'wheat flour, white, all-purpose, unenriched', 'salt, table', 'spices, pepper, black', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'cream, sour, cultured']","['In a medium saucepan combine mushrooms and onion in hot butter until tender.', 'Stir in flour,salt and pepper.', 'Stir in milk all at once.', 'Cook and stir over medium heat until thick and bubbly.', 'Cook and stir 1 minute more.', 'Stir in sour cream,heat through (do not boil).', 'Serve with beef or chicken.']","[{'fat': 0.24, 'nrg': 15.0, 'pro': 2.16, 'sat': 0.035, 'sod': 4.0, 'sug': 1.39}, {'fat': 2.24, 'nrg': 896.0, 'pro': 24.64, 'sat': 0.9380000000000001, 'sod': 84.0, 'sug': 94.92}, {'fat': 11.52, 'nrg': 102.0, 'pro': 0.12, 'sat': 7.169, 'sod': 2.0, 'sug': 0.01}, {'fat': 0.076875, 'nrg': 28.4375, 'pro': 0.806875, 'sat': 0.012125, 'sod': 0.125, 'sug': 0.02125}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 41850.0, 'sug': 0.0}, {'fat': 0.00875, 'nrg': 0.75, 'pro': 0.029999999999999995, 'sat': 0.004, 'sod': 0.0, 'sug': 0.00125}, {'fat': 54.510000000000005, 'nrg': 2346.0, 'pro': 189.06, 'sat': 35.535, 'sod': 2461.0, 'sug': 291.87}, {'fat': 445.43999999999994, 'nrg': 4608.0, 'pro': 55.67999999999999, 'sat': 233.66400000000002, 'sod': 768.0, 'sug': 78.72}]","{'fat': 'orange', 'salt': 'orange', 'saturates': 'orange', 'sugars': 'green'}","{'energy': 77.21085233143111, 'fat': 4.963506512943812, 'protein': 2.6312184370866043, 'salt': 1.0903779583441962, 'saturates': 2.6781488079719598, 'sugars': 4.508680706429904}","['1', '14', '1', '1', '18', '1', '23', '12']","['cup', 'cup', 'tablespoon', 'tablespoon', 'teaspoon', 'dash', 'cup', 'cup']","[70.0, 2240.0, 14.2, 7.8125, 108.0, 0.2875, 5612.0, 2304.0]"
