Name,Ingredients,Instructions,nutr_per_ingredient,fsa_lights_per100g,nutr_values_per100g,quantity,unit,weight_per_ingr
Jersey's Fruit and Nuts Granola,"['oats', 'wheat germ, crude', 'nuts, walnuts, english', 'nuts, almonds', 'nuts, pecans', 'seeds, sunflower seed kernels, dried', 'cranberries, dried, sweetened', 'blueberries, raw', 'cherries, sweet, raw', 'raisins, seeded', 'raisins, seeded', 'shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)', 'salt, table', 'spices, cinnamon, ground', 'oil, canola', 'honey', 'vanilla extract']","['Preheat the oven to 300 degrees F.', 'In a large bowl, combine the rolled oats, wheat germ, walnuts, almonds, pecans, cranberries, sunflower seeds, blueberries, cherries, raisins, coconut, salt, and cinnamon.', 'Place a metal mixing bowl on top of a stockpot with some hot water over medium heat.', 'Add the butter and honey to the mixing bowl and allow the butter to melt.', 'Remove from heat, add the vanilla, and stir.', 'Combine the wet ingredients with the dry and stir to coat thoroughly.', 'If the mixture appears wet, add more rolled oats, 1/2 cup at a time.', 'Spread the mixture onto a baking sheet coated with nonstick cooking spray.', ""Bake for 30 to 40 minutes, stirring every 10 minutes to cook evenly, adjusting the oven temperature if it's getting too dark."", 'Allow the granola to cool completely, and then break apart any large pieces that are stuck together.', 'This recipe was provided by professional chefs and has been scaled down from a bulk recipe provided by a restaurant.', 'The Food Network Kitchens chefs have not tested this recipe, in the proportions indicated, and therefore, we cannot make any representation as to the results.']","[{'fat': 86.08, 'nrg': 4856.0, 'pro': 210.8, 'sat': 15.192, 'sod': 24.0, 'sug': 0.0}, {'fat': 11.18, 'nrg': 414.0, 'pro': 26.62, 'sat': 1.915, 'sod': 14.0, 'sug': 0.0}, {'fat': 76.3, 'nrg': 765.0, 'pro': 17.82, 'sat': 7.167, 'sod': 2.0, 'sug': 3.05}, {'fat': 71.4, 'nrg': 828.0, 'pro': 30.24, 'sat': 5.437, 'sod': 1.0, 'sug': 6.22}, {'fat': 78.45, 'nrg': 753.0, 'pro': 10.0, 'sat': 6.736, 'sod': 0.0, 'sug': 4.33}, {'fat': 23.67, 'nrg': 269.0, 'pro': 9.56, 'sat': 2.049, 'sod': 4.0, 'sug': 1.21}, {'fat': 1.76, 'nrg': 492.0, 'pro': 0.28, 'sat': 0.14, 'sod': 8.0, 'sug': 116.08}, {'fat': 0.49, 'nrg': 84.0, 'pro': 1.1, 'sat': 0.041, 'sod': 1.0, 'sug': 14.74}, {'fat': 0.28, 'nrg': 87.0, 'pro': 1.46, 'sat': 0.052, 'sod': 0.0, 'sug': 17.69}, {'fat': 0.89, 'nrg': 488.0, 'pro': 4.16, 'sat': 0.294, 'sod': 46.0, 'sug': 0.0}, {'fat': 0.89, 'nrg': 488.0, 'pro': 4.16, 'sat': 0.294, 'sod': 46.0, 'sug': 0.0}, {'fat': 204.8, 'nrg': 1808.0, 'pro': 0.0, 'sat': 186.976, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 3487.5, 'sug': 0.0}, {'fat': 0.18, 'nrg': 36.0, 'pro': 0.6000000000000001, 'sat': 0.054, 'sod': 0.0, 'sug': 0.36}, {'fat': 336.0, 'nrg': 2976.0, 'pro': 0.0, 'sat': 24.744, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 2577.5, 'pro': 2.55, 'sat': 0.0, 'sod': 35.0, 'sug': 695.9749999999999}, {'fat': 0.0, 'nrg': 36.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 1.59}]","{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'red'}","{'energy': 426.1213720316623, 'fat': 22.424173891192364, 'protein': 8.02487749717301, 'salt': 0.23046236964442768, 'saturates': 6.309611760271391, 'sugars': 21.642040457343885}","['8', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1/2', '2', '1 1/2', '2 1/2', '1']","['cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'tablespoon', 'tablespoon', 'cup', 'cup', 'tablespoon']","[1248.0, 115.0, 117.0, 143.0, 109.0, 46.0, 160.0, 148.0, 138.0, 165.0, 165.0, 204.8, 9.0, 15.600000000000001, 336.0, 847.5, 12.600000000000001]"
Chocolate Peanut Butter Surprise,"['spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'peanut butter, smooth style, without salt', 'rice, white, long-grain, regular, unenriched, cooked without salt', 'candies, marshmallows']","['In a large saucepan over very low heat, stir chocolate chip and peanut butter until melted and smoth.', 'remove from heat.', 'Add cereal and marshmallows, stirring until coated.', 'Press mixture evenly into lightly-buttered 13x9 pan.', 'Chill until firm, about 45 minutes.', 'cut into squares.', 'Store in refrigerator, covered.']","[{'fat': 93.345, 'nrg': 1634.5, 'pro': 23.345, 'sat': 58.345000000000006, 'sod': 0.0, 'sug': 186.655}, {'fat': 3024.96, 'nrg': 35144.0, 'pro': 1308.24, 'sat': 607.9359999999999, 'sod': 920.0, 'sug': 618.24}, {'fat': 2.2, 'nrg': 1025.0, 'pro': 21.25, 'sat': 0.61, 'sod': 10.0, 'sug': 0.4}, {'fat': 0.4, 'nrg': 636.0, 'pro': 3.6, 'sat': 0.112, 'sod': 160.0, 'sug': 115.12}]","{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'orange'}","{'energy': 531.8137797454344, 'fat': 43.17798837852794, 'protein': 18.766394576646377, 'salt': 0.03770060874377421, 'saturates': 9.228043718871055, 'sugars': 12.734020475926949}","['2', '23', '5', '4']","['cup', 'cup', 'cup', 'cup']","[350.0, 5888.0, 790.0, 200.0]"
Apple Amaretto Crisp,"['wheat flour, white, all-purpose, unenriched', 'sugars, granulated', 'sugars, brown', 'margarine, regular, 80% fat, composite, stick, without salt', 'nuts, almonds', 'apples, raw, with skin', 'apple juice, canned or bottled, unsweetened, without added ascorbic acid']","['Preheat oven to 375F.', 'Mix together flour and sugars in a bowl.', 'Cut in butter with 2 knives or a pastry blender until mixture is crumbly.', 'Add almonds and toss well.', 'Combine amaretto and apple in a bowl.', 'Pour into an 8-inch square baking dish.', 'Sprinkle the crumb mixture on top.', 'Bake for 45 minutes or until golden brown.']","[{'fat': 14.76, 'nrg': 5460.0, 'pro': 154.92000000000002, 'sat': 2.3280000000000003, 'sod': 24.0, 'sug': 4.08}, {'fat': 0.0, 'nrg': 10752.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 2815.6800000000003}, {'fat': 0.0, 'nrg': 7392.0, 'pro': 0.0, 'sat': 0.0, 'sod': 672.0, 'sug': 1955.5200000000002}, {'fat': 2567.04, 'nrg': 22848.0, 'pro': 4.48, 'sat': 483.168, 'sod': 0.0, 'sug': 0.0}, {'fat': 8.925, 'nrg': 103.5, 'pro': 3.78, 'sat': 0.679625, 'sod': 0.125, 'sug': 0.7775}, {'fat': 1.47, 'nrg': 455.0, 'pro': 2.31, 'sat': 0.24500000000000002, 'sod': 7.0, 'sug': 90.93}, {'fat': 4.16, 'nrg': 1482.0, 'pro': 3.25, 'sat': 0.715, 'sod': 130.0, 'sug': 310.18}]","{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'red'}","{'energy': 355.61919393960505, 'fat': 19.040339687190045, 'protein': 1.2374528594188579, 'salt': 0.015274281638961357, 'saturates': 3.5724035325414385, 'sugars': 37.96669862845431}","['12', '14', '14', '14', '2', '7', '13']","['cup', 'cup', 'cup', 'cup', 'tablespoon', 'cup', 'cup']","[1500.0, 2822.4000000000005, 2016.0, 3180.7999999999997, 17.875, 875.0, 3224.0]"
Low Fat Strawberry Ice Smoothie,"['water, bottled, generic', 'strawberries, raw', 'milk, buttermilk, fluid, cultured, lowfat', 'yogurt, greek, plain, nonfat']","['Remove stems from strawberries.', 'Add ice to blender first, try and crush as much as you can first.', 'Add remaining ingredients, blend for approximately 1 minute.']","[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 11.00260052010402, 'sug': 0.0}, {'fat': 0.46, 'nrg': 49.0, 'pro': 1.02, 'sat': 0.023, 'sod': 2.0, 'sug': 7.43}, {'fat': 4.32, 'nrg': 196.0, 'pro': 16.22, 'sat': 2.686, 'sod': 932.0, 'sug': 23.48}, {'fat': 11.466000000000001, 'nrg': 1734.6, 'pro': 299.58599999999996, 'sat': 3.4398, 'sod': 1058.3999999999999, 'sug': 95.25600000000001}]","{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'green'}","{'energy': 50.65925388574002, 'fat': 0.4157457257161712, 'protein': 8.10778378036142, 'salt': 0.12817094485641006, 'saturates': 0.15735179849092656, 'sugars': 3.2286701483876925}","['1 1/2', '1', '2', '12']","['cup', 'cup', 'cup', 'cup']","[325.67697539507907, 152.0, 490.0, 2940.0]"
White Chocolate Cheesecake Dip,"['spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'cream, whipped, cream topping, pressurized', 'cheese, parmesan, hard', 'sugars, granulated', 'orange juice, raw', 'orange juice, raw']","['In heatproof bowl set over saucepan of hot (not boililng water, melt white chocolate with cream, stirring gently until smooth.', 'Let cool to room temperature.', 'In separate bowl, beat cream cheese with sugar until fluffy; beat in orange rind.', 'Stir in chocolate mixture and orange flavoring.', 'Make-ahead: Scrape into airtight container and refrigerate for up to 2 days.', 'Makes 1-1/2 cups.']","[{'fat': 22.682434949999998, 'nrg': 397.17649499999993, 'pro': 5.672734949999999, 'sat': 14.17758495, 'sod': 0.0, 'sug': 45.356365049999994}, {'fat': 173.29, 'nrg': 2002.0, 'pro': 24.96, 'sat': 107.887, 'sod': 65.0, 'sug': 62.4}, {'fat': 58.58140679999999, 'nrg': 889.04032, 'pro': 81.07956999999999, 'sat': 37.2172236, 'sod': 3120.71296, 'sug': 1.814368}, {'fat': 0.0, 'nrg': 48.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 12.570000000000002}, {'fat': 0.010416666666666666, 'nrg': 2.333333333333333, 'pro': 0.03625, 'sat': 0.0012499999999999998, 'sod': 0.041666666666666664, 'sug': 0.4339583333333333}, {'fat': 0.010416666666666666, 'nrg': 2.333333333333333, 'pro': 0.03625, 'sat': 0.0012499999999999998, 'sod': 0.041666666666666664, 'sug': 0.4339583333333333}]","{'fat': 'red', 'salt': 'orange', 'saturates': 'red', 'sugars': 'orange'}","{'energy': 299.6905196506269, 'fat': 22.83635962890662, 'protein': 10.027541058629467, 'salt': 0.7144464569696771, 'saturates': 14.288435218856014, 'sugars': 11.034364519866218}","['3', '13', '8', '1', '1', '1']","['ounce', 'cup', 'ounce', 'tablespoon', 'teaspoon', 'teaspoon']","[85.04849999999999, 780.0, 226.796, 12.600000000000001, 5.166666666666666, 5.166666666666666]"
Shoo Fly Pie,"['wheat flour, white, all-purpose, unenriched', 'sugars, granulated', 'salt, table', 'shortening, vegetable, household, composite', 'butter, without salt', 'water, bottled, generic']","['In a large mixing bowl stir together flour, sugar and salt.', 'Cut in the butter and shortening with a pastry cutter or a fork until the mixture resembles coarse crumbs.', 'Work in the ice water 1 tablespoon at a time.', 'If it still does not come together add more ice water as needed.', 'Wrap the pie dough, tightly, in plastic wrap and chill for at least 30 minutes.', 'Roll the dough out on a floured surface to a 10-inch circle.', 'Transfer the dough to a pie plate and press it down into the bottom and sides.', 'Fold the edges under and flute them or crimp them with a fork.', '1 cup all-purpose flour', '1/3 cup sugar', '1/3 cup dark brown sugar', '1 tablespoon vegetable shortening', '1 tablespoon cold butter', '1 egg', '1 cup molasses', '3/4 cup hot water', '1 teaspoon baking soda', 'Preheat oven to 375 degrees F.', 'In a mixing bowl cut together flour, sugar, brown sugar, shortening and butter until it resembles coarse crumbs; set aside.', 'In another mixing bowl whisk together egg, molasses, hot water and baking soda.', 'Pour the egg mixture into the pie shell.', 'Sprinkle the crumbs on top.', 'Bake for 30 to 35 minutes.', 'The center of the pie may still quiver a bit when jiggled; it will firm up a bit more as it cools.']","[{'fat': 1.5375, 'nrg': 568.75, 'pro': 16.1375, 'sat': 0.2425, 'sod': 2.5, 'sug': 0.42500000000000004}, {'fat': 0.0, 'nrg': 96.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 25.140000000000004}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 145.08, 'sug': 0.0}, {'fat': 51.2, 'nrg': 452.0, 'pro': 0.0, 'sat': 12.788, 'sod': 4.0, 'sug': 0.0}, {'fat': 46.08, 'nrg': 408.0, 'pro': 0.48, 'sat': 28.676, 'sod': 8.0, 'sug': 0.04}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.916883376675335, 'sug': 0.0}]","{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'orange'}","{'energy': 481.0480964056846, 'fat': 31.1762389024881, 'protein': 5.242706504031128, 'salt': 0.1265891461344398, 'saturates': 13.158112761268198, 'sugars': 8.078200694190887}","['1 1/4', '2', '1', '4', '4', '2']","['cup', 'tablespoon', 'pinch', 'tablespoon', 'tablespoon', 'tablespoon']","[156.25, 25.200000000000003, 0.37439999999999996, 51.2, 56.8, 27.139747949589918]"
Watermelon Facial,"['watermelon, raw', 'avocados, raw, all commercial varieties']","['Mix watermelon juice and avocado thoroughly.', 'Apply to your face and let it sit for 20 minutes before rinsing with warm water.']","[{'fat': 0.004791666666666666, 'nrg': 0.9583333333333333, 'pro': 0.01958333333333333, 'sat': 0.0005208333333333333, 'sod': 0.041666666666666664, 'sug': 0.19895833333333335}, {'fat': 0.45812499999999995, 'nrg': 5.0, 'pro': 0.0625, 'sat': 0.0664375, 'sod': 0.20833333333333331, 'sug': 0.020624999999999998}]","{'fat': 'orange', 'salt': 'green', 'saturates': 'green', 'sugars': 'green'}","{'energy': 94.07894736842105, 'fat': 7.3092105263157885, 'protein': 1.2960526315789473, 'salt': 0.009868421052631577, 'saturates': 1.0572368421052631, 'sugars': 3.467105263157895}","['1', '1']","['teaspoon', 'teaspoon']","[3.208333333333333, 3.125]"
Italian Sausage,"['pork, fresh, loin, tenderloin, separable lean only, raw', 'water, bottled, generic', 'spices, fennel seed', 'spices, caraway seed', 'salt, table', 'spices, pepper, black', 'spices, coriander seed', 'spices, pepper, red or cayenne', 'spices, oregano, dried', 'spices, garlic powder', 'sugars, granulated']","['Mix all dry ingredients together.', 'Spread ground pork out in a shallow pan.', 'Sprinkle with the spice mixture.', 'Drizzle with water.', 'Mix as thoroughly as possible (most important step).', 'Cover and refrigerate 24 hours.', 'Mix again.', 'Stuff into casings, make into patties, cook or freeze.', 'I like to just fry it up and use it for a topping on pizza.', 'Use your imagination - it tastes great in lots of dishes.', 'Cooking time is refrigeration time.']","[{'fat': 9.8429464, 'nrg': 494.41528, 'pro': 95.027524, 'sat': 3.1660721599999997, 'sod': 240.40376, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 112.0, 'sug': 0.0}, {'fat': 0.6, 'nrg': 13.999999999999998, 'pro': 0.64, 'sat': 0.02, 'sod': 4.0, 'sug': 0.0}, {'fat': 5.58, 'nrg': 126.0, 'pro': 7.5600000000000005, 'sat': 0.234, 'sod': 0.0, 'sug': 0.18}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 4650.0, 'sug': 0.0}, {'fat': 0.07, 'nrg': 6.0, 'pro': 0.23999999999999996, 'sat': 0.032, 'sod': 0.0, 'sug': 0.01}, {'fat': 4.4799999999999995, 'nrg': 69.99999999999999, 'pro': 3.08, 'sat': 0.25199999999999995, 'sod': 13.999999999999998, 'sug': 0.0}, {'fat': 3.72, 'nrg': 72.0, 'pro': 2.64, 'sat': 0.708, 'sod': 12.0, 'sug': 2.2800000000000002}, {'fat': 0.72, 'nrg': 54.0, 'pro': 1.62, 'sat': 0.28800000000000003, 'sod': 0.0, 'sug': 0.72}, {'fat': 0.36, 'nrg': 180.0, 'pro': 9.180000000000001, 'sat': 0.14400000000000002, 'sod': 36.0, 'sug': 1.44}, {'fat': 0.0, 'nrg': 192.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 50.28000000000001}]","{'fat': 'green', 'salt': 'orange', 'saturates': 'green', 'sugars': 'green'}","{'energy': 30.241439958837717, 'fat': 0.6349757801261895, 'protein': 3.0027719467893523, 'salt': 0.3171008976218576, 'saturates': 0.12122630341360574, 'sugars': 1.3741612636177354}","['1', '14', '2', '18', '2', '1', '14', '12', '18', '18', '12']","['pound', 'cup', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon']","[453.592, 3315.2000000000003, 4.0, 37.800000000000004, 12.0, 2.3, 25.2, 21.6, 18.0, 55.800000000000004, 50.400000000000006]"
Ice Cream Pie,"['spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'spartan, real semi-sweet chocolate baking chips, upc: 011213162966', 'cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt', 'cream, sour, cultured', 'ice creams, vanilla']","['Coat bottom and sides of an 8 inch pie plate with butter.', 'Combine chocolate syrup and chocolate chips in a microwave safe bowl.', 'Microwave until hot (about 45 seconds).', 'Stir together until smooth.', 'reserve 1/4 cup of the chocolate mixture.', 'Combine chocolate mixture in larger bowl with crisp rice cereal.', 'Press into pie plate and up the sides.', 'Freeze for about 15 minutes.', 'Combine reserved chocolate mixture and sour cream in a small bowl and mix well.', 'Spread half of the ice cream in the prepared pie plate.', 'Drizzle with half of the sour cream mixture.', 'Top with remaining ice cream and drizzle again with remaining sour cream mixture.', 'Top with extra chocolate chips if desired.', 'Freeze for about 1 hour.', 'Let stand at room temperature about 10 minutes before serving.']","[{'fat': 560.0699999999999, 'nrg': 9807.0, 'pro': 140.07, 'sat': 350.07000000000005, 'sod': 0.0, 'sug': 1119.93}, {'fat': 606.7425, 'nrg': 10624.25, 'pro': 151.74249999999998, 'sat': 379.2425, 'sod': 0.0, 'sug': 1213.2575}, {'fat': 7.12, 'nrg': 332.0, 'pro': 11.88, 'sat': 1.45, 'sod': 18.0, 'sug': 1.26}, {'fat': 519.68, 'nrg': 5376.0, 'pro': 64.96, 'sat': 272.608, 'sod': 896.0, 'sug': 91.83999999999999}, {'fat': 58.08, 'nrg': 1096.0, 'pro': 18.48, 'sat': 35.848, 'sod': 424.0, 'sug': 112.08}]","{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'red'}","{'energy': 337.94825660751957, 'fat': 21.735854324357856, 'protein': 4.803728750465319, 'salt': 0.04150639037101377, 'saturates': 12.895129668693386, 'sugars': 31.497301153989333}","['12', '13', '2', '14', '1']","['cup', 'cup', 'cup', 'cup', 'quart']","[2100.0, 2275.0, 468.0, 2688.0, 528.0]"
Homemade Chocolate Syrup,"['water, bottled, generic', 'cocoa, dry powder, unsweetened', 'sugars, granulated', 'vanilla extract', 'salt, table', 'leavening agents, baking soda']","['In a large sauce pan, add water and cocoa powder and place over medium heat.', 'Constantly stir until cocoa powder is dissolved.', 'Add sugar and keep stirring the chocolate mixture.', 'Bring to a soft boil and keep stirring for 5 minutes.', 'The longer it cooks, the thicker it gets.', 'Take the pan off the heat and stir in vanilla extract and salt.', 'Once it has cooled for a few minutes more, stir in the baking soda.', 'This prevents the sugar from crystallizing.', 'If syrup is thick enough, place in a glass container and place in the refrigerator.', 'I let mine sit out for about 10 minutes to thicken more.', 'Recipe from DIY Natural.']","[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 5.89, 'nrg': 98.0, 'pro': 8.43, 'sat': 3.47, 'sod': 9.0, 'sug': 0.75}, {'fat': 0.0, 'nrg': 768.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 201.12000000000003}, {'fat': 0.0, 'nrg': 3.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.1325}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 41850.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 314.75, 'sug': 0.0}]","{'fat': 'green', 'salt': 'red', 'saturates': 'green', 'sugars': 'red'}","{'energy': 146.8897903989182, 'fat': 0.995605138607167, 'protein': 1.4249492900608518, 'salt': 17.825283130493574, 'saturates': 0.5865449628127113, 'sugars': 34.145114942528735}","['1', '1/2', '1', '1/4', '18', '1/4']","['cup', 'cup', 'cup', 'teaspoon', 'teaspoon', 'teaspoon']","[236.8, 43.0, 201.60000000000002, 1.05, 108.0, 1.15]"
