Name,Ingredients,Instructions
Uli's Onion Bacon Sauce,"['1 stick butter', '6 ounces thick-cut bacon, diced', '3/4 cup diced sweet onion']","['Melt butter in a skillet over medium-high heat.', 'Add bacon; cook, stirring, until almost crisp, 3 to 4 minutes.', 'Stir in onions.', 'Cook, stirring, until bacon is crisp and onions are soft and translucent, 8 to 10 minutes.']"
The Best Ever Sweet Potato Casserole,"['3 cups mashed sweet potatoes', '1 cup brown sugar', '2 eggs, beaten', '1 teaspoon vanilla', '12 cup butter, melted', '13 cup milk', '1 12-2 cups mini marshmallows', '1 cup brown sugar', '13 cup flour', '1 cup chopped pecans', '13 cup butter, melted', '1 12-2 cups mini marshmallows']","['Mix casserole ingredients together.', 'Stir in mini marshmallows.', 'Spread mixture into a 13x9"" pan.', 'Mix together the topping ingredients minus the marshmallows.', 'Spread the topping evenly over the potato layer.', 'Sprinkle the marshmallows evenly over the topping.', 'Bake in preheated oven at 350 degrees for 25 to 35 minutes or until warmed throughout and marshmallows are lightly browned.']"
Dip/Sauce for Shellfish,"['175 ml light sour cream', '175 ml sour cream, regular', '3 teaspoons mustard', '12 teaspoon green peppercorn, chopped finely', '2 tablespoons finely chopped dill', '2 tablespoons coarse salt', '18 teaspoon pepper', 'fresh dill, snippings']","['Mix the sour cream with mustard and dild.', 'Taste with salt and pepper.', 'If the sauce is too thick, then thin with a bit of milk or cream.', 'Let the dip/sauce stand 30 minutes in the fridge.', 'Stir together just before serving.']"
Fried Chicken Drumettes,"['8 Chicken drumettes', '5 tbsp Katakuriko', '1 Frying oil', '1/2 tbsp Sake', '1 tsp Salt', '1 tsp Sugar', '1/4 tsp Soy sauce', '1/8 tsp Pepper', '1 from 1 clove Grated garlic', '1/2 tsp Ginger juice (or grated ginger)']","['Place the drumettes in a bowl and add all the seasoning ingredients.', 'Coat the drumettes well with the seasonings and let sit for a while.', 'Add the katakuriko to the chicken and mix using chopsticks, and let stand for 1-2 minutes.', 'Heat oil for frying over a medium heat, add the drumettes and cook for 7-10 minutes.', 'A chicken karaage recipe with similar seasonings ""Juicy!', 'Salt Flavored Chicken Breasts Karaage"".', 'A yakitori recipe with similar seasonings ""Professional Flavor with Fish Grill!', 'Salt Yakitori""']"
Rosemary's Legacy Bleu Cheese Dressing/Dip,"['2 cups mayonnaise (BEST FOODS aka ""Hellmans"" east of the Mississippi)', '2 cups fresh buttermilk', '12 cup sour cream', '2 tablespoons garlic granules', '2 tablespoons onion powder', ""4 tablespoons blue cheese (or more to taste, crumbled, try Rogue Creamery's Bleu Vein or Oregonzola)"", '2 tablespoons mild feta cheese (crumbled, or to taste. Use plain, not seasoned or in oil)', '14 teaspoon dill seed', '14 teaspoon dill weed', '14 teaspoon lemon pepper', '1 tablespoon parsley (fresh, chopped)', '1 teaspoon fresh ground black pepper', '34 cup parmesan cheese (freshly grated Parmegiano Reggiano, if you have it, just, please, not that stuff in a shaker can)']","['Mix all together and place in a sealed container in the refrigerator at least one - preferably two - days before serving.', 'Stir well before serving.', 'To turn this into a dip, just add more parmesan!', ""(That's pretty much my standard rule of thumb to improve ANY recipe).""]"
Vanilla Bean Ice Cream,"['3 cups half and half', '2 cups whipping cream', '2 vanilla beans, split lengthwise', '3/4 cup plus 2 tablespoons sugar', '8 egg yolks']","['Bring first 3 ingredients to simmer in heavy medium saucepan over medium-low heat.', 'Remove from heat, cover and let steep 40 minutes.', 'Return half and half mixture to simmer.', 'Beat sugar and egg yolks to blend in medium bowl.', 'Gradually whisk in hot half and half.', 'Return mixture to saucepan.', 'Stir over medium heat until custard thickens slightly and leaves path on back of spoon when finger is drawn across, about 7 minutes; do not boil.', 'Pour into large bowl.', 'Refrigerate custard until well chilled.', 'Scrape any seeds remaining inside vanilla beans into custard.', ""Transfer custard to ice cream maker and process according to manufacturer's instructions."", 'Freeze ice cream in covered container.', '(Can be prepared 1 week ahead.)']"
Salmon in My Style,"['1 x white wine worcestershire sauce', '2 pounds salmon', '2 tablespoons butter']","['Slice the salmon from the boned fish at an angle, about 1 to 1 1/2 inches thick.', 'Pound the filets thin under a dampened plastic paper and store in parchment paper until ready to cook.', 'Salt the salmon lightly inside and out.', 'In a non-stick pan, heat 2 tablespoons of butter.', 'When the butter is hot, take the pan off the heat, place the salmon in the pan, return the pan to heat, and cook briefly.', 'Remove from heat, turn once, and place back on the heat.', 'Cook for three or four minutes more.', 'To serve, spoon sauce into a pool on a serving plate, place salad in center of the plate, and arrange salmon on the salad.', 'Garnish with red basil leaves.']"
Pork Rub Ala Swinney,"['12 cup ground black pepper', '12 cup seasoning salt', '1 14 cups raw sugar', '14 cup brown sugar', '18 cup savory', '18 cup Thai basil', '1 tablespoon salt', '1 tablespoon dry mustard', '34 tablespoon chili powder']","['Mix all dry ingredients.', 'Rub on the outside of pork butt before smoking.', 'Multiply this recipe by four if you are smoking a half of hog.']"
Vegetable Beef Dinner With Dumplings Recipe,"['1 1/2 lbs. grnd beef', '1/2 c. minced onion', '1 (26 ounce.) can condensed vegetable soup', '1 lg. potato, pared and diced', '1 1/2 c. water', '1/2 c. sliced celery', '2 teaspoon salt', '1/2 teaspoon pepper', '2 c. Bisquick baking mix', '2/3 c. lowfat milk', 'Parsley sprigs']","['Cook and stir grnd beef and onion in Dutch oven till beef is light brown and onion is tender; drain.', 'Stir in soup, potato, water, celery, salt, and pepper.', 'Heat to boiling; reduce heat.', 'Cover and simmer 20 min.', 'Stir baking mix and lowfat milk to a soft dough.', ""Drop by spoonfuls onto beef mix (don't drop into liquid)."", 'Cook, uncovered, over low heat 10 min.', 'Cover and cook 10 min longer.', 'Garnish with parsley.', 'Makes 4 to 5 servings.']"
French Chocolate Macarons with Chocolate Ganache Recipe,"['2 cups powdered sugar', '1 cup almond flour or almond meal', '3 tablespoons natural unsweetened cocoa powder', '1/4 teaspoon fine salt', '3 large egg whites, at room temperature', 'Pinch cream of tartar', '3 tablespoons granulated sugar', '4 ounces bittersweet chocolate, finely chopped', '1/2 cup heavy cream', '2 tablespoons unsalted butter (1/4 stick), at room temperature and cut into cubes']","['Line two baking sheets with parchment paper; set aside.', 'Fit a large pastry bag with a 1/2-inch plain tip; set aside.', 'Place the powdered sugar, almond flour, cocoa powder, and salt in a food processor fitted with a blade attachment and pulse several times to aerate.', 'Process until fine and combined, about 30 seconds.', 'Sift through a flour sifter into a large bowl; set aside.', 'Make a meringue by placing the egg whites in the clean bowl of a stand mixer fitted with a whisk attachment.', 'Beat on medium speed until opaque and foamy, about 30 seconds.', 'Add the cream of tartar, increase the speed to medium high, and beat until the egg whites are white in color and hold the line of the whisk, about 1 minute.', 'Continue to beat, slowly adding the granulated sugar, until the sugar is combined, the peaks are stiff, and the whites are shiny, about 1 minute more.', '(Do not overwhip.)', 'Transfer the meringue to a large bowl.', 'Using a rubber spatula, gently fold the dry mixture into the egg whites in four batches until the dry ingredients are just combined.', '(The meringue will deflate.)', 'With the final addition, stop folding when there are no traces of egg whites, the mixture runs like slow-moving lava, and it looks like cake batter.', '(Do not overmix.)', 'Transfer the batter to the pastry bag.', 'Pipe out 1-1/4-inch rounds about 1 inch apart onto the baking sheets, about 25 per sheet.', 'Pick up the baking sheets and bang them against the work surface to help create the macaron base, or foot.', 'Let the rounds sit at room temperature for 30 minutes to dry the tops and ensure even cooking.', 'Heat the oven to 350 degrees F and arrange a rack in the middle.', 'Bake the macarons one sheet at a time for 7 minutes.', 'Rotate the sheet and cook for 7 minutes more.', 'Transfer the sheet to a rack to cool completely.', 'Place the chopped chocolate in a large bowl.', 'Warm the cream in a small saucepan over medium heat until it just starts to boil.', 'Stir it into the chocolate without creating bubbles.', 'Let sit for 1 minute.', 'Add the butter and stir until smooth.', 'Chill in the refrigerator until thickened but still spreadable, about 30 minutes.', 'Pair macarons of similar size.', 'Remove the ganache from the refrigerator.', 'If you choose to pipe the ganache, transfer it to a resealable plastic bag and snip about a 1/2 inch off a bottom corner.', 'Squeeze or scoop the ganache to about the size of a cherry (about 1 teaspoon) onto the center of a macaron half.', 'Top with another half and press gently so that it looks like a mini hamburger.', 'The filling should not ooze out the edges.', 'Refrigerate, covered, at least 24 hours before serving.', '!', '{display:block;margin-top:.5em;}/assets/2010/04/assemble_step1_end_240.jpg']"
