Name,Ingredients,Instructions
Oven-Roasted Boneless Leg of Lamb,"['2/3 cup extra virgin olive oil', '1/4 cup lemon juice', '1/4 cup lime juice', '2 tablespoons minced garlic', '1/2 teaspoon dried mint flakes', '1/2 teaspoon dried oregano', '1/2 teaspoon dried marjoram', '3/4 teaspoon dried thyme', '1/2 teaspoon crushed rosemary', '1/2 teaspoon ground nutmeg', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', '1/4 teaspoon ground white pepper', '1/4 teaspoon salt', '2 1/4 pounds boneless leg of lamb', 'cooking spray', '3 white potatoes, cut into large chunks (optional)', '3 large carrots, cut into large chunks (optional)', '2 tablespoons vegetable oil']","['Whisk olive oil, lemon juice, lime juice, garlic, mint, oregano, marjoram, thyme, rosemary, nutmeg, cinnamon, ginger, white pepper, and salt together in a bowl.', 'Cover bowl with plastic wrap; refrigerate marinade at least 1 hour.', 'Pierce lamb in multiple places evenly over the lamb; place into a gallon-sized freezer bag.', 'Pour marinade over the lamb, squeeze excess air from the bag, and seal the bag.', 'Marinate in the refrigerator 8 hours to overnight.', 'Preheat oven to 325 degrees F (165 degrees C).', 'Prepare a shallow roasting pan with cooking spray.', 'Remove lamb from marinade; shake to remove excess liquid.', 'Reserve 2 tablespoons marinade; discard remainder.', 'Place lamb in the middle of the prepared roasting pan.', 'Combine potatoes and carrots in a large bowl.', 'Pour vegetable oil and reserved marinade over the vegetables; toss to coat.', 'Arrange vegetables around the lamb.', 'Cover the roasting pan with aluminum foil.', 'Roast lamb in preheated oven until an instant-read thermometer inserted into the center reads 140 degrees F (60 degrees C), about 80 minutes.', 'Remove foil and continue cooking until firm and meat is hot and slightly pink in the center, about 10 more minutes.', 'Rest lamb 10 minutes before cutting to serve.']"
Seafood Enchiladas,"['1 pound shrimp', '4 cups water', '1/4 cup margarine', '1/4 cup flour, all-purpose', '1/2 cup water', '1 cup sour cream', '18 teaspoon salt', '1 cup cottage cheese', '1/2 pound crab meat', '1/2 cup monterey jack cheese', '10 each corn tortillas (6-inch)']","['Peel and devein shrimp, set aside.', 'Bring 4 cups water to a boil in a large saucepan; add shrimp, and cook 3 to 5 minutes or until shrimp turn pink.', 'Drain well, and set aside.', 'Melt margarine in a small saucepan over low heat; add flour, stirring until smooth.', 'Cook, stirring constantly, 1 minute.', 'Gradually add broth and 1/2 cup water; cook over medium heat, stirring constantly, until mixture is slightly thickened and bubbly.', 'Remove from heat, and let stand 5 minutes.', 'Gently stir in sour cream, jalapeno pepper, and salt.', 'Pour 3/4 cup sauce in bottom of a 13x9x2 inch baking dish coated with cooking spray.', 'Set remaining sauce aside.', 'Place cottage cheese in container of an electric blender; cover and process until smooth, stopping once to scrape down sides.', 'Transfer to a medium bowl.', 'Stir in shrimp, crabmeat, chiles and monterey jack cheese.', 'Spoon 13 cup seafood mixture across center of each tortilla.', 'Roll up tortillas; place, seam side down over sauce in dish.', 'Pour remaining sauce over tortillas.', 'Bake at 350F (180C) for 25 minutes or until thoroughly heated.', 'Spoon salsa cruda across center of tortillas.', 'Garnish with fresh cilantro sprigs is desired.']"
Cranberry Apple Sauce,"['12 ounces cranberries', '6 ounces unsweetened apple juice concentrate']","['In a saucepan cook cranberries and apple juice concentrate over medium heat until cranberries have burst.', 'Chill and serve.', ""You may also add some white sugar if the recipe isn't sweet enough for you."", 'Only add the extra sugar one tablespoon at a time to avoid over sweetening.']"
Spicy Pork Tenderloin,"['2 (1 lb) pork tenderloin, trimmed (1 pound each)', '13 cup olive oil', '14 cup fresh parsley, minced', '2 garlic cloves, minced', '14 teaspoon ground ginger', '2 teaspoons dried oregano', '1 12 teaspoons dried rosemary, crushed', '12 teaspoon paprika', '12 teaspoon salt (optional)', '14 teaspoon pepper']","['Place tenderloins in plastic bag.', 'Combine remaining ingredients in a small bowl; rub over tenderloins.', 'Refrigerate 6 hours or overnight.', 'Bake, uncovered, at 425 degrees for 25-35 minutes, or until meat thermometer reads 150-155 degrees.', 'Cover with foil and let rest for 10 minutes before slicing.']"
Julia Child Supremes De Volaille Aux Champignons (Chicken Breast,"['4 boneless skinless chicken breasts (supremes)', '12 teaspoon lemon juice', '14 teaspoon salt', '1 pinch white pepper', '5 tablespoons butter', '1 tablespoon minced shallots or 1 tablespoon green onion', '14 lb sliced fresh mushrooms', '18 teaspoon salt', '14 cup white stock or 14 cup brown stock', '14 cup port wine or 14 cup madeira wine or 14 cup dry white vermouth', '1 cup whipping cream', 'salt and pepper', '2 tablespoons freshly minced parsley']","['Preheat oven to 400 degrees.', 'Rub the chicken breasts with drops of lemon juice and sprinkle lightly with salt and pepper.', 'Heat the butter in a heavy, oven-proof casserole, about 10 inches in diameter until it is foaming.', 'Stir in the minced shallots or green onion and saute a moment without browning.', 'Then stir in the mushrooms and saute lightly for a minute or two without browning.', 'Sprinkle with salt.', 'Quickly roll the chicken in the butter mixture and lay a piece of buttered wax paper over them, cover casserole and place in hot oven.', 'After 6 minutes, press top of chicken with your finger.', 'If still soft, return to oven for a moment or two.', 'When the meat is springy to the touch it is done.', 'Remove the chicken to a warm platter (leave mushrooms in the pot) and cover while making the sauce (2 to 3 minutes).', 'To make sauce, pour the stock and wine in the casserole with the cooking butter and mushrooms.', 'Boil down quickly over high heat until liquid is syrupy.', 'Stir in the cream and boil down again over high heat until cream has thickened slightly.', 'Off heat, taste for seasoning, and add drops of lemon juice to taste.', 'Pour the sauce over the chicken, sprinkle with parsley and serve immediately.']"
Classic Potato Latkes,"['1 lb. baking potatoes (about 3), peeled Safeway 2 pkg For $5.00 thru 02/09', '1 small onion Safeway 1 lb For $1.49 thru 02/09', '1 egg, beaten', '2 Tbsp. flour', '1/2 tsp. salt', '1/4 tsp. ground black pepper', '1/4 cup oil', ""1/4 cup BREAKSTONE'S Sour Cream"", '1 Tbsp. chopped fresh chives']","['Grate potatoes, then onion using large holes of box grater; place in center of large clean kitchen towel.', 'Bring up ends of towel and twist together to form pouch.', 'Hold pouch over sink, then squeeze to remove as much moisture from vegetables as possible.', 'Empty vegetable mixture into large bowl.', 'Add egg, flour, salt and pepper; mix well.', 'Heat oil in medium nonstick skillet on medium-high heat.', 'For each latke, carefully drop 1 Tbsp.', 'potato mixture into skillet, cooking 2 or 3 latkes at a time.', 'Immediately spread each mound into thin circle with back of spoon.', 'Cook 3 to 4 min.', 'on each side or until golden brown on both sides.', 'Remove latkes from skillet; drain on paper towels.', 'Repeat with remaining potato mixture.', 'Serve warm topped with sour cream and chives.']"
Reuben Sandwich,"['2 tablespoons butter, softened', '8 slices rye bread', '8 slices swiss cheese', '34 lb corned beef brisket, thinly sliced', '12 lb sauerkraut', '14 cup Russian salad dressing']","['Butter one side of four slices of bread, and place the slices buttered-side down on a large piece of wax paper on a flat surface.', 'Top each with a slice of Swiss cheese, and then divide half of the corned beef among them.', 'Using paper towels, squeeze out excess moisture from the sauerkraut.', 'Divide the sauerkraut among the sandwiches, and top each with one tablespoon of Russian dressing.', 'Add another layer of corned beef and a second slice of Swiss cheese to each sandwich.', 'Top with the remaining bread slices; butter the side facing out.', 'Preheat a griddle or frying pan to medium heat.', 'Cook the sandwiches on one side until the bread is golden brown.', 'Use a spatula to carefully flip the sandwiches over and finish cooking on the second side.', 'Cut the sandwiches in half before serving.']"
Muchli Masala (Indian Spicy Fried Fish),"['2 lbs cod (or a firm, white fish)', '2 garlic cloves, chopped', '1 teaspoon salt', '1 teaspoon grated fresh ginger', '12 teaspoon ground turmeric', '12 teaspoon black pepper', '14 teaspoon cayenne', '2 teaspoons lemon juice', '14 cup vegetable oil', 'coriander or parsley', 'lemon wedge']","['Rinse fish in cold water, pat dry with paper towels.', 'In small bowl combine salt, spices, ginger, garlic and lemon juice - form into a paste.', 'Rub fish with paste.', 'Let the fish stand at room temperature for 20 minutes.', 'In a heavy skillet, heat oil over medium-high heat.', 'Fry fish about 5 min, turn and fry other side until golden brown, about 4 minutes more.', 'Garnish with fresh coriander or parsley and lemon wedges.']"
Eggplant Caviar,"['4 pounds eggplant, halved', 'Olive oil, for brushing, plus 2 ounces', '2 shallots minced', '4 cloves garlic minced', '1 pound tomatoes peeled and chopped', '2 tablespoons lemon juice', 'Salt and freshly ground black pepper', 'Pita wedges, as an accompaniment']","['Preheat oven to 350 degrees F.', 'Brush eggplant with olive oil and roast eggplants at 350 degrees for 30 minutes or until soft.', 'Saute the garlic and shallots in 2 ounces olive oil over low heat until they are translucent and aromatic.', 'After the eggplant has cooled, remove the pulp from the skins, and place in a food processor and process until smooth.', 'Place mixture in a bowl and add remaining ingredients along with garlic and shallots.', 'Season, to taste, with salt and pepper, and serve with pita wedges']"
Fun Cereal Snacks,"['2 cups honeycomb-shaped sweetened corn and oat cereal', '2 cups letter-shaped sweetened oat and corn cereal']","['Make snack time fun!', 'Use pieces of honeycomb-shaped cereal for checker game pieces.', 'Or, use pieces of letter-shaped sweetened oat and corn cereal for letters for spelling and word games, such as Hangman.', 'Snack on the game pieces when the games are done.']"
