Name,Ingredients,Instructions
Healthy Chicken Burrito Bowl,"['2 whole Thin Boneless Skinless Chicken Breast', '1 Tablespoon Minced Canned Chiles In Adobo', '1/2 Tablespoons Extra Virgin Olive Oil', '1/2 cups Cherry Tomatoes', '1/4 cups Canned Or Cooked Black Beans', '1 Tablespoon Cilantro, Chopped', '4 slices Lime, For Garnish', '1 clove Garlic, Minced', '1 Tablespoon Lime Juice', '1 Tablespoon Extra Virgin Olive Oil', '1- 1/2 Tablespoon Cilantro, Chopped', '2 cups Cooked Brown Rice', '1/4 teaspoons Salt', '1 pinch Pepper To Taste', '1 whole Chili From Can Of Chiles In Adobo, Small Dice', '1/2 Tablespoons Cilantro, Chopped', '1/4 cups Mayonnaise', '1/4 cups Sour Cream', '1 Tablespoon Minced Canned Chiles In Adobo']","['For the bowl: In a Ziplock bag, marinate the chicken with the chiles in adobo sauce and oil.', 'Refrigerate for at least an hour or overnight.', 'After the chicken has marinated add it into a large skillet over medium high heat.', 'You will not have to add oil or butter to the skillet.', 'The oil from our marinade should keep the chicken from sticking.', 'Saute until fully cooked and both sides are caramelized.', 'This takes about 8 minutes.', 'Take pan off the heat and allow the chicken breast to sit for 2 minutes before cutting into them.', 'If you cut into the chicken breast right away the juices will drain from the chicken and will leave your chicken dry.', 'Cut each chicken breast into medium size cubes and set aside.', 'To assemble our chicken burrito bowls fill each bowl with half of the cilantro lime rice (recipe below), chipotle chicken, tomatoes, black beans, cilantro and limes for garnish.', 'Serve with chipotle ranch dressing.', 'For the cilantro lime brown rice: Add garlic, lime juice and oil into a medium bowl.', 'Whisk to combine.', 'Add cilantro and cooked rice to the vinaigrette.', 'Toss to coat.', 'Season with salt and pepper.', 'For the dressing: Combine all of the ingredients together in a small bowl.', 'Stir to combine.', 'Chill until ready to serve.']"
Sun-Dried Tomato Pesto Dip,"['4 garlic cloves', '1 12 cups fresh basil leaves (packed)', '14 cup pine nuts', '1 tablespoon extra virgin olive oil', '1 teaspoon fresh lemon juice', '2 23 cups cream cheese, room temp (about 21 oz)', '14 cup parmesan cheese', '1 13 cups sun-dried tomatoes, oil packed, drained', '13 cup tomato paste', '34 cup butter, room temperature']","['Chop garlic in processor.', 'Add basil, 1/4 cup pine nuts, oil, and lemon juice.', 'Process until well blended.', 'Add 1/3 cup cream cheese and 1/4 cup Parmesan cheese.', 'Pulse until blended.', 'Transfer to medium bowl.', 'Coarsely chop tomatoes in processor.', 'Add tomato paste and process until mixture is almost smooth.', 'Add 1/3 cup cream cheese and blend well.', 'Beat 2 cups cream cheese and butter in large bowl until fluffy.', 'Season with salt and pepper.', 'Spray 6-cup souffle dish with nonstick spray.', 'Line with plastic wrap, extending plastic wrap over sides.', 'Spread 3/4 cup cream cheese-butter mixture evenly over bottom of prepared dish.', 'Top with 1/2 of tomato mixture, then 1/2 cup cream cheese-butter mixture, then 1/2 of pesto mixture.', 'Repeat layering with 1/2 cup cream cheese-butter mixture, remaining tomato mixture, 1/2 cup cream cheese-butter mixture, remaining pesto.', 'Top with remaining cream cheese-butter mixture.', 'Cover and Chill overnight.', '(Can be made 3 days ahead.', 'Keep refrigerated).', 'Invert on to platter.', 'Peel off plastic.', 'Garnish with basil and pine nuts.', 'Serve with baguette slices or crackers.']"
Cilantro-Walnut Pesto,"['3 garlic cloves', '3 cups packed cilantro leaves and tender stems (about 3 ounces)', '1/4 cup chopped walnuts, toasted', '2 tablespoons white wine vinegar', '1/2 teaspoon salt', '1/4 cup organic vegetable broth (such as Swanson)', '3 tablespoons extra-virgin olive oil']","['1.', 'Place garlic in a food processor; pulse 10 times or until minced.', 'Add cilantro, walnuts, vinegar, and salt to processor; process 15 seconds.', 'Combine broth and oil in a small bowl.', 'With processor on, slowly pour broth mixture through food chute; process until well blended.']"
AuGratin Potatoes,"['1 pkg. (32 oz.) ORE-IDA Diced Hash Brown Potatoes, thawed', '2 cups shredded mild cheddar cheese', '1 cup half-and-half', '2/3 lb. VELVEETA, cut up', '1/2 cup (1 stick) butter or margarine', '1 tsp. crushed garlic', 'salt and pepper to taste']","['Place potatoes in 13x9-inch baking pan or medium-size roasting pan.', 'Heat remaining ingredients on medium-low heat until cheese is melted.', '(Be careful not to scorch.)', 'Pour over potatoes.', 'Let stand 30 minutes.', 'Bake at 325F for 1 hour.', 'Makes 6 to 8 servings.', 'Tip: Recipe can be made the day before and left overnight in the refrigerator.']"
Onion Strings(Pioneer Woman),"['1 whole large onion', '2 cups buttermilk (you can use milk-I like soymilk)', '2 cups all-purpose flour', '1 tablespoon salt', '14-12 teaspoon cayenne pepper', '1 -2 quart canola oil', 'black pepper, To Taste']","['Slice onion very thin.', 'Place in a baking dish and cover with buttermilk and soak for at least an hour.', 'Combine dry ingredients and set aside.', 'Heat oil to 375 degrees.', 'Grab a handful of onions, throw into the flour mixture, tap to shake off excess, and PLUNGE into hot oil.', 'Fry for a few minutes and remove as soon as golden brown.', 'Repeat until onions are gone.', 'Eat before your family sees them.', 'Repeat with another onion, because theyll be really mad they didnt get any.']"
Hamburgers (Diner Style),"['1/2 teaspoon neutral oil, like canola, or a pat of unsalted butter', '2 pounds ground chuck, at least 20 percent fat', 'Kosher salt and black pepper to taste', '8 slices cheese (optional)', '8 soft hamburger buns, lightly toasted', 'Lettuce leaves, sliced tomatoes and condiments, as desired']","['Add oil or butter to a large cast-iron or stainless-steel skillet and place over medium heat.', 'Gently divide ground beef into 8 small piles of around 4 ounces each, and even more gently gather them together into orbs that are about 2 inches in height.', 'Do not form patties.', 'Increase heat under skillet to high.', 'Put half the orbs into the skillet with plenty of distance between them and, using a stiff metal spatula, press down on each one to form a burger that is around 4 inches in diameter and about 1/2 inch thick.', 'Season with salt and pepper.', 'Cook without moving until patties have achieved a deep, burnished crust, a little less than 2 minutes.', 'Use the spatula to scrape free and carefully turn burgers over.', 'If using cheese, lay slices on meat.', 'Continue to cook until meat is cooked through, approximately a minute or so longer.', 'Remove burgers from skillet, place on buns and top as desired.', 'Repeat process with remaining burgers.', 'Serving two hamburgers on a single bun is not an outrageous option.']"
Pear Tart with Vanilla Cream and Black Tea Crust,"['3 large egg yolks', '1 cup plus 2 tablespoons whole milk', '1/4 cup plus 2 tablespoons heavy cream', '2/3 cup sugar', '3 tablespoons plus 1 teaspoon cornstarch', '1 tablespoon pure vanilla bean paste or 1 teaspoon pure vanilla extract', '3 tablespoons unsalted butter', '1 cup plus 2 tablespoons all-purpose flour', '1/2 tablespoon finely ground Lapsang souchong tea (from 1 tea bag)', '1/2 teaspoon kosher salt', '1 stick unsalted butter, at room temperature', '3 tablespoons light brown sugar', '2 Bosc pears (about 1 pound)halved, peeled, cored and sliced lengthwise 1/4 inch thick', '1/4 cup light brown or turbinado sugar']","['Make the Vanilla Cream In a medium bowl, whisk the egg yolks until smooth.', 'In a medium saucepan, combine the milk, cream, sugar, cornstarch and vanilla bean paste and whisk until smooth.', 'Cook over moderate heat, whisking constantly, until the mixture comes to a gentle simmer and thickens, about 5 minutes.', 'While whisking constantly, drizzle one-third of the milk mixture into the egg yolks.', 'Slowly drizzle the egg yolk mixture back into the saucepan, whisking constantly.', 'Cook over moderately low heat, stirring occasionally, until the mixture is very thick, 2 to 3 minutes.', 'Whisk in the butter, then strain the custard into a medium heatproof bowl.', 'Press a piece of plastic wrap onto the surface of the vanilla cream and refrigerate until cold, about 2 hours.', 'Meanwhile, Make the Crust Preheat the oven to 350.', 'In a small bowl, whisk the flour with the tea and salt.', 'In the bowl of a stand mixer fitted with the paddle, beat the butter and sugar at medium-high speed until light and fluffy, about 3 minutes.', 'Add the dry ingredients and beat at medium speed until well combined, 2 minutes.', 'Press the dough into the bottom and halfway up the side of a 9-inch tart pan with a removable bottom.', 'Refrigerate until firm, at least 30 minutes.', 'Meanwhile, Make the Crust Bake the crust for 20 to 25 minutes, until lightly golden.', 'Transfer to a wire rack and let cool slightly.', 'Make the Topping Set the crust on a baking sheet.', 'Scrape the vanilla cream into the crust, spreading it evenly.', 'In a medium bowl, toss the pears with the sugar.', 'Arrange the pear slices in a slightly overlapping circular pattern over the cream.', 'Bake the tart for about 30 minutes, until the pears are softened and golden.', 'Transfer the tart to a rack to cool.', 'Serve at room temperature or chilled.']"
Gluten-Free Crepes,"['1 cup Gluten-Free Flour Mix (Without Xanthan/Guar Gum Or Salt)', '18 teaspoons Baking Powder', '1/2 teaspoons Salt', '1 Tablespoon Sugar', '3 Tablespoons Melted Unsalted Butter, Divided', '1- 1/4 cup Milk', '2 whole Large Eggs', '1/2 teaspoons Vanilla', '1 Tablespoon Vegetable Oil', 'Fillings Of Your Choice: Butter And Powdered Sugar, Fruit Compote, Nutella, Maple Syrup, Etc']","['Mix the flour, baking powder, salt and sugar in a small bowl.', 'In a microwave safe bowl or ramekin, melt two tablespoons of butter.', 'This should only take 30-60 seconds but keep an eye on it.', 'In a larger bowl, mix the milk and eggs.', 'Then drizzle in the butter, constantly stirring the milk mixture.', 'Stir in the vanilla.', 'Combine the wet and dry ingredients, and whisk until the batter is smooth.', 'In a small bowl or ramekin, melt another tablespoon of butter.', 'Once melted add a tablespoon of vegetable oil.', 'Heat a 10-inch nonstick pan over medium-high heat.', 'With every crepe, do these steps: Brush the pan with the butter/oil mixture, whisk the batter (the flour sinks to the bottom of the batter), and scoop 1/4 cup of batter into the pan.', 'Once you add the batter quickly grab the handle of the pan and twirl it around until the crepe is spread thinly and evenly.', 'After 45 seconds to a minute, flip the crepe and let it cook for 30 seconds to a minute on the other side.', 'Remove the crepe to a plate and repeat the process with the remaining batter.', 'Yields approximately eight large crepes.', 'Serve with any of the following: butter and powdered sugar, fruit compote, Nutella, maple syrup, or savory fillings.']"
Hash Browns,"['1 1/2 pounds russet potatoes, about 3, peeled and coarsely grated', '1 tablespoon vegetable oil, more as needed', 'Salt and pepper to taste']","['Combine all ingredients in a bowl and mix thoroughly.', 'Place a 10-inch nonstick skillet over medium-high heat for about 2 to 3 minutes.', 'Spread potato mixture evenly in pan and press with spatula.', 'Cook until bottom browns, about 10 minutes.', 'If potatoes look too dry, add just enough oil to lightly coat.', 'Flip with spatula and continue cooking until browned.', 'Cut into wedges and serve warm.']"
Sandwiches de Miga: Eggs and Roquefort Argentine Sandwich,"['6 eggs', '12 slices Argentine migas bread (sliced white bread, a couple days old, crusts removed can be used)', '4 tablespoons mayonnaise', '3 tablespoons very soft Roquefort', 'Hot pepper sauce', 'Salt and pepper']","['In a 2-quart pot, place the eggs.', 'Cover with water by 2 inches and salt the water liberally.', 'Bring the water to a boil and then cover, turn off the heat, and let sit for 8 minutes.', 'Grate the hard boiled eggs on a cheese grater.', 'In a small bowl, combine the eggs, mayonnaise, and cheese.', 'Adjust the seasoning of the egg mixture with hot sauce, salt, and pepper, to taste.', 'Layer bread with egg mixture and serve as double decker sandwiches.']"
