Name,Ingredients,Instructions
Cherry Tomatoes With Parsley,"['2 tablespoons unsalted butter', '12 cup onion, chopped', '2 pints cherry tomatoes', '2 tablespoons fresh parsley, finely chopped', 'salt and pepper']","['In a large skillet, melt butter over medium-high heat.', 'Add onions and cook for about 3 minutes, until onions begin to soften.', 'Add tomatoes and salt and pepper to taste, cook, stirring frequently, 3-5 minutes, until tomatoes start to soften.', 'Stir in fresh parsley and transfer to a serving dish.', 'Serve hot.']"
Beef Kreplach (Dumplings),"['1 cup warm water', '14 cup oil', '1 egg', '2 teaspoons salt', '4 cups flour', '2 lbs ground beef', '1 tablespoon dried parsley', '2 teaspoons salt', '2 teaspoons ground black pepper']","['Dough:.', 'Mix water, egg, oil and salt in a mixer for a few min.', 'Gradually add flour.', 'Continue mixing for an additional 8-10 min.', 'Roll out onto a floured surface.', 'Cut squares of 2 inches.', 'Meat:.', 'Brown Meat in oil.', 'Season with salt, pepper and parsely.', 'Make sure to break up all clumps.', 'Let meat cool.', 'Drain fat and oil from the Meat.', 'Put a tablespoon of Meat into the middle of the dough square.', 'Completely close the square.', 'For soup: add to boiling soup.', 'Keep boiling for about 15 min.', 'To fry: heat oil when hot add kreplach.', 'Brown on all sides.']"
Fastnachtkuchli,"['2 whole Large Eggs', '2 ounces, fluid Heavy Cream', '1/4 teaspoons Salt', '1- 1/2 cup Plus 1 Tablespoon, Plus 1/2 Teaspoon Unbleached White Flour', 'Oil For Deep Frying: There Should Be Enough To Allow A Round Of Dough To Float Freely As It Fries', 'Powdered Sugar (A Lot Of It)']","['A timing note: 2 hours of prep time is a generous estimate.', 'After making the cookies once, they will take less time to make thereafter.', 'You will also need:', '1.', 'A digital scale is useful for measuring the flour in metric units and there is less variation in the amount when it is weighed.', 'To measure the flour using American measurements, pour it into the measuring cup and level it off.', '2.', 'A mixing bowl.', '3.', 'A mixer, standing or hand.', '4.', 'A pastry board and rolling pin.', '5.', 'Cooling racks or smooth (not terrycloth) cotton dish towels on which to lay the rolled-out circles of dough before frying them, plus some cotton dish towels to cover them so they dont dry out before they are fried.', '6.', 'A deep pot: I use a deep enameled canning pot.', '7.', 'A deep-fry thermometer is useful for maintaining the oil at the best temperature for frying.', '8.', '2 slotted spoons.', '9.', 'Baking sheets lined with brown paper: Brown paper grocery bags are excellent for draining deep-fried foods.', 'Cut the bags down one side and across the bottom, turn them inside out and lay them out flat on the baking sheets.', '10.', 'A large plate.', '11.', 'A small strainer.', '12.', 'A platter.', 'To make the Fastnachtkuchli:', '1.', 'In a large bowl using a mixer, beat together the eggs and cream and salt.', '2.', 'Stir in the flour (the equivalent to 1 1/2 cups plus 1 tablespoon plus 1 teaspoon of flour is 200 grams) and then knead the mixture by hand (right in the bowl) until it is no longer sticky and the sides of the bowl are clean.', 'The dough will still be very soft and pliable.', 'When you squeeze it between your fingers, it will not longer stick to them but it will still feel moist.', '3.', 'Let the dough rest, covered with a towel, for 20 minutes.', '4.', 'Cut the dough into pieces a little larger than the size of a walnut (around 30-32 grams each, if you weigh them) and roll them into balls.', 'Set them on a platter or tray and cover them with a towel.', '5.', 'Place a ball on a lightly floured pastry board and roll it into a very thin circleabout 8-inches (21 cm) in diameter.', 'Pay particular attention to rolling out the edges, where the dough tends to be thickest.', 'The edges will begin to crinkle as they thin out under the pressure of the rolling pin.', '6.', 'Pick up the circle and stretch it out by hand to a diameter of about 9-inches (23 cm).', 'Place the thin dough circle on a cooling rack or a smooth cotton towel and cover it with another towel.', 'Continue making thin rounds of dough in the same way with the rest of the dough balls, arranging them side-by-side on cooling racks or on towels as you finish stretching them by hand.', '7.', 'Put enough oil in a deep pot so that a round will float freely as it fries.', 'Heat the oil to 350 F (176 C).', '8.', 'The rounds are fried one at a time.', 'Pick up a round and stretch it out a little by hand one last time.', 'Place it in the hot oil.', 'The middle of the dough will puff up.', 'Press it down with the back of one of the slotted spoons.', 'Bubbles will quickly form all over the surface of the round as it fries.', 'When the first faint traces of color appear around its edges, turn the round over with the help of two slotted spoons.', 'Fry it a little longer until the edges of the second side just begin to color.', 'The second side will already be partially fried and will take an even shorter time to fry.', 'A finished round is a very pale golden yellow, spotted here and there with deeper spots of gold.', '9.', 'Transfer the round to a baking sheet lined with brown paper.', 'Fry the rest of the thin rounds of dough in the same way.', 'Pick up a second round, stretch it out again by hand a little more as you wait for the oil to return to 350 F (176 C).', 'Ideally the oil should hover as closely as possible at this temperature during frying.', '10.', 'After all the rounds have been fried, place one of them on a large plate and sift powdered sugar very liberally through a small strainer all over the cookies surface.', 'Transfer it to a platter.', '11.', 'Powder the rest of the fried rounds in the same way and stack them on the serving platter.', 'Fastnachtkuchli are good warm or at room temperature.', 'An acknowledgement: This version of Fastnachtkuchli comes from Kochbucha cookbook published in 1954 by the city of Berns Department of Education and passed on to me by my mother-in-law Ann.', 'They are a small taste of a celebration rich in history, tradition and very, very good times.']"
Pancetta and Pea Fusilli Recipe wowetflutter,"['200g fusilli', '75g panetta cubed or 5 rashers of streaky bacon', '1 cup frozen peas', '1 clove garlic, finely chopped', '200ml double cream or 2 tbsp creme fraiche', '1/2 a cup of Parmesan, or to taste.', 'olive oil', 'black pepper', 'salt', 'splash of water from cooking pasta']","['Boil salted water for the pasta, when this has come to the boil, add the pasta and cook for the required amount of time, according to the packet.', 'Heat a splash of olive oil in a large heavy based pan and add the cubed pancetta, the amount doesnt have to be precise.', 'Some supermarkets sell pancetta in small packs of two, if you can get this, use just one pack.', 'Alternatively, if youre finding it hard to get hold of the pancetta, streaky bacon is a good substitute.', 'When the pancetta has started to brown, add a good pinch of freshly ground black pepper and the finely chopped clove of garlic.', 'Add the peas, followed by the cream.', 'Stir well to avoid sticking.', 'Add the Parmesan and a splash of water to thin the sauce a little (use some water that the pasta is being cooked in).', 'When the pasta is cooked, drain and add to the sauce, stir well to ensure the pasta is well coated.', 'Add more black pepper and Parmesan (if required) to taste.']"
Pirate Food,"['1 pound Hamburger', '32 ounces, weight Black-eyed Peas (2 Cans Total)', '10 ounces, weight Ro*tel Tomatoes', '2 cups Cooked Rice', '8 ounces, weight Grated Cheddar Cheese']","['1.', 'Brown hamburger, drain well.', '2.', 'Drain 2 cans of black-eyed peas.', '(You can use the peas with jalapeno, if you like.)', '3.', 'Combine hamburger, peas, tomatoes and rice in a large bowl; mix well.', 'Salt and pepper to taste.', '4.', 'Place mixture in a 9x13 baking dish; cover with cheese.', '5.', 'Place in a 350-degree oven for about 30 minutes until cheese is melted and casserole is heated through.']"
Almond Snowball Cookies,"['3/4 cup sliced almonds', '3/4 cup sugar', '3/4 cup unsalted butter, sliced and softened (1 1/2 sticks)', '1/2 teaspoon pure vanilla extract', '1/8 teaspoon almond extract', '1 2/3 cups all-purpose flour', '1/2 teaspoon fine salt', ""1 cup confectioners' sugar""]","['Pulse the almonds and sugar in a food processor until very finely ground.', 'Add the butter and process until smooth, about 1 minute.', 'Scrape the dough off the inside of the bowl, if needed.', 'Add the vanilla and almond extracts and pulse to combine.', 'Add the flour and salt and pulse to make a soft dough.', 'Turn the dough out onto a large piece of waxed paper and roll into a log about 15 inches long and 1 1/2 inches wide.', 'Wrap and refrigerate for 30 minutes.', 'Preheat the oven to 325 degrees F. Line 2 baking sheets with parchment paper.', 'Cut the chilled dough into 1/2-inch pieces and roll by hand into balls.', 'Space the cookies evenly on the prepared baking sheets and bake until slightly golden, rotating the sheets once, 15 to 20 minutes.', ""Put the confectioners' sugar in a pie plate."", ""Briefly cool the cookies on a rack, then gently toss in the confectioners' sugar until evenly coated."", ""Return to rack, cool to room temperature, and then toss again in the confectioners' sugar.""]"
Nelson Family Cookie Bake Ting a Lings,"['1 lb dipping chocolate', '1 (18 ounce) can chow mein noodles']","['Melt chocolate in Microwave.', 'Heat 30 seconds, stir and repeat until chocolate is dipping consistency.', 'Add Chow Mien Noodles to Chocolate.', 'Drop by spoonfuls into small decorative paper cups.']"
Sunflower Meatloaf,"['1 cup raw sunflower seeds, ground', '1 cup breadcrumbs', '1 cup walnuts, ground', '1 cup raw potato, grated', '1 tablespoon marmite', '1 cup rice milk or 1 cup soymilk', '1 large grated onion', '2 tablespoons instant coffee or 2 tablespoons coffee, substitute', '1 tablespoon oil', '1 teaspoon savory or 1 teaspoon sage', '1 garlic clove (optional)']","['Mix the sunflower seeds, bread crumbs, walnuts and potato very well.', 'In a blender, blend the remaining ingredients.', 'Add to the dry ingredients and mix well.', 'Let stand for 15 minutes.', 'Bake at 350F for 1 hour.', 'Serve with mushroom gravy.']"
Heavenly Chocolate Honey Dip,"['1 cup nonfat sour cream', '12 cup honey', '12 cup unsweetened cocoa powder', '1 teaspoon vanilla extract']","['In a small bowl, combine all ingredients until well blended.', 'Cover and chill until ready to serve.', 'Serve with assorted fresh fruits (such as strawberries, pineapple chunks, kiwifruit rounds, grapes and apple wedges), assorted dried fruits (such as apricots, apples and pears), and/or with chunks of angel food cake.']"
Agnolotti,"['4 tbsp. butter', '1 md. Spanish onion, chopped into 1/8-inch dice', '1/4 cup ricotta', '1/4 cup grated fontina', '3 tbsp. fresh goat cheese', '2 tbsp. fresh marjoram leaves', '1/4 cup finely chopped Italian parsley', '1/4 tsp. freshly grated nutmeg', 'Salt, to taste', 'Freshly ground black pepper, to taste', 'Egg pasta', '3 oz. unsalted butter', '4 oz. porcini', 'crimini mushrooms, sliced paper-thin', '1/4 cup grated Parmigiano-Reggiano']","['Bring 6 quarts water to boil and add 2 tbsp.', 'salt.', 'In a 12- to 14-inch saute pan, heat butter until foam subsides, add onion and cook until soft and golden-brown, 7 to 8 minutes.', 'Remove pan from heat and allow to cool.', 'Add ricotta, fontina, goat cheese, marjoram, parsley and nutmeg and season with salt and pepper.', 'To form agnolotti, cut 3-inch strips of pasta lengthwise and place 1 tbsp.', 'cheese filling 3 inches apart.', 'Fold top of pasta down to bottom and pinch closed.', 'Press dough flat between lumps of filling.', 'Using a pastry cutter, cut half moons using folded part as flat side of moon.', 'Continue until pasta and filling are finished.', 'When all agnolotti are finished, drop into boiling water and lower heat.', 'Cook at high simmer until tender.', 'Meanwhile, melt butter with mushrooms in a 12- to 14-inch saute pan.', 'Drain agnolotti and place in pan.', 'Sprinkle with Parmigiano and toss over medium heat to coat.', 'Serve immediately.']"
