Name,Ingredients,Instructions
Creamy Tomato Spinach Pasta,"['2- 1/2 cups Your Favorite Dried Pasta', '1 Tablespoon Olive Oil', '1/2 cups Yellow Onion, Diced', '1 Tablespoon Minced Garlic', '1 can (14.5 Oz. Size) Diced Tomatoes, Undrained', '1/2 teaspoons Oregano', '1/2 teaspoons Dried Basil', '1 pinch Red Pepper Flakes (optional)', '3 Tablespoons Tomato Paste', '1/2 cups Chicken Broth (can Sub Water)', '1/2 cups Cream Cheese', '1/2 cups Grated Parmesan Cheese', '3/4 cups Spinach, Finely Chopped']","['Bring a large pot of water to a boil over high heat.', 'Add the pasta and cook until tender.', 'When done, drain and set aside.', 'Combine oil, diced onions and minced garlic in a large pot (large enough to add the cooked pasta in a bit).', 'Cook on medium-low heat until softened and transparent (about 5 minutes).', 'Add the diced tomatoes (with juices), oregano, basil and red pepper flakes.', 'Stir to combine.', 'Add the tomato paste and water or broth into the skillet and stir until the tomato paste is dissolved into the sauce.', 'Turn the heat down to low.', 'Cut the cream cheese into a few pieces and then add it into the skillet, using a whisk to stir the sauce until the cream cheese has fully melted in and the sauce is creamy.', 'Add the Parmesan cheese and whisk until it is melted in.', 'Add the fresh spinach and gently stir it into the sauce until it wilts and decreases in size.', 'Add the pasta and stir until it is well coated in the creamy tomato sauce.']"
Crunchy Peanut Butter Cookies (Slightly Healthier!),"['1 cup margarine (softened) or 1 cup butter (softened)', '1 cup brown sugar', '1 cup granulated sugar', '2 eggs', '1 teaspoon vanilla', '1 cup crunchy peanut butter', '1 14 cups all-purpose flour', '1 14 cups whole wheat flour', '1 teaspoon baking soda', '1 teaspoon baking powder']","['Preheat oven to 375.', 'Cream margarine or butter with sugars in a large bowl.', 'Add peanut butter.', 'Mix until thoroughly combined.', 'Beat in egg and vanilla.', 'Sift together dry ingredients in a medium bowl.', 'Slowly add dry ingredients to peanut butter mixture.', 'You should be able to roll dough into balls without it sticking too much.', 'If dough is too sticky, add a little more flour.', 'If it is too stiff, add a little milk.', 'Roll dough into balls.', 'You can dip them in sugar at this point or just put them directly onto the UNGREASED baking sheet.', 'Place about 1.5 inches apart on ungreased baking sheets *unless the sheet is notorious for sticking*.', 'Using a fork, flatten the balls a bit.', 'Bake in 375 oven for 10-14 minutes or until edges are golden brown.']"
London Fog Tea Latte,"['1 T DISC Tassimo Twinings Earl Grey Tea', '1 T DISC Tassimo Nabob Latte', '2 tsp. sugar', '1/2 tsp. vanilla']","['Prepare Earl Grey Tea T DISC in extra-large heatproof glass or mug as directed on package.', 'Use same glass to prepare milk* from Latte T DISC.', 'Stir in sugar and vanilla; pour into 2 glasses.']"
Broccoli and Goat Cheese Muffin Quiche,"['Nonstick cooking spray, for spraying muffin cups', '1 teaspoon olive oil', '1 cup chopped broccoli', 'Kosher salt', 'Freshly cracked black pepper', '1 teaspoon thinly sliced shallots', '2/3 cup heavy cream', '3 eggs', '1 egg yolk', '1/2 teaspoon chopped fresh marjoram', 'Pinch ground nutmeg', '1/2 cup crumbled goat cheese', '1/2 cup grated Swiss cheese']","['Preheat the oven to 315 degrees F. Spray 6 cups of a muffin tin lightly with nonstick cooking spray.', 'Heat the olive oil over high heat in a saute pan until it begins to smoke slightly.', 'Add the broccoli and caramelize; season with salt and freshly cracked pepper.', 'After about 3 minutes, add the shallots and quickly saute.', 'Cool completely on a tray lined with a paper napkin.', 'Combine the cream, whole eggs and yolk in a bowl and whisk in the marjoram and nutmeg.', 'Season with salt and freshly cracked pepper.', 'Add 2 tablespoon of the vegetable filling to each muffin cup.', 'Sprinkle on a layer of goat cheese and grated Swiss.', 'Divide the egg custard mixture evenly among the muffin cups.', 'Top with any leftover vegetables and cheese.', 'Bake until an inserted skewer comes out clean, with no wet custard clinging to it, about 25 minutes.', 'If necessary, bake in additional 5-minute increments.', 'The tops should be golden brown.']"
Lemon-Pepper Fish With Garden Salad,"['2 corn cobs (husks and silk removed)', 'ground black pepper (fresh)', '1 teaspoon lemon pepper (seasoning no added salt Masterfoods recommended)', '2 (150 g) cod fish fillets (blue-eye)', 'cooking spray', '30 g salad leaves (2 cups mixed)', '30 g snow pea sprouts (trimmed)', '2 tomatoes (quartered)', '12 avocado (small thinly sliced)', '1 tablespoon lemon juice (fresh)', '2 teaspoons white wine vinegar', '12 teaspoon olive oil', 'ground black pepper (fresh)']","['Preheat barbecue plate and barbecue grill to medium.', 'Place each corncob on a piece of foil and season with pepper and wrap to enclose and put on barbecue plate and close barbecue lid and cook, turning once, for 20 minutes or until the corn is tender and then remove from the barbecue and set aside int he foil.', 'Tube the seasoning over each side of fish fillets and then spray each side with cooking spry and put fish on barbecue grill and cook on each side for 2 to 2 1/2 minutes or until just cooked.', 'GARDEN SALAD - meanwhile put the salad leaves, snow pea sprouts, tomato and avocado in a medium bowl.', 'Put the lemon juice, vinegar and oil in a msall bowl and season with pepper and whisk well to combine - or alternatively put all into a screw top jar, secure lid and shake to mix well and pour dressing over salad and toss to combine.', 'Divide the salad between plates and top with fish and sereve with the corncobs.']"
Sweet Dough for Pies,"['1 1/4 cups flour, all-purpose', '1/4 cup sugar', '1/4 teaspoon baking powder', '18 teaspoon salt', '4 tablespoons butter', '1 large eggs']","['To mix the dough by hand, combine flour, sugar, salt and baking powder in a medium mixing bowl and stir well to mix.', 'Cut butter into 1 tablespoon pieces and add to dry ingredients.', 'Toss once or twice to coat pieces of butter.', 'Then using your hands or a pastry blender, break the butter into tiny pieces and pinch and squeeze it into the dry ingredients.', 'Occasionally reach down to the bottom of the bowl and mix all the ingredients evenly together.', 'Continue rubbing the butter into the dry ingredients until the mixture resembles a coarse ground corn meal and no large pieces of butter remain visible.', 'Beat the egg(s) in a small bowl and pour over the flour and butter mixture.', 'Stir in with a fork until the dough begins to hold together, but still appears somewhat dry.', 'Scatter a teaspoon of flour on the work surface and scrape the dough out onto it.', 'Press and knead the dough quickly 3 or 4 times, until it is smooth and uniform.', 'To mix the dough in the food processor, combine flour, sugar, salt and baking powder in work bowl fitted with metal blade.', 'Pulse 3 times at 1second intervals to mix.', 'Cut butter into1 tablespoon pieces and add to work bowl.', 'Process, pulsing repeatedly at 1second intervals, until the mixture is fine and powdery, resembles a coarse ground cornmeal and no large pieces of butter remain visible, about 15 pulses in all.', 'Add the egg(s) to the work bowl and pulse ten times or so, until the dough forms a ball.', 'Scatter a teaspoon of flour on the work surface and scrape the Press and knead the dough quickly 3 or 4 times, until it is Press the dough into a disk (two equal disks for the larger amount of dough).', 'Sandwich the disk(s) of dough between two pieces of plastic wrap and press it into a 6 inch circle.', 'Refrigerate the dough until firm, or until you are ready to use it, at least 1 hour.', 'Storage: Keep the dough in the refrigerator up to two days, or freeze it doublewrapped in plastic.', 'Because the dough is thin, it will defrost quickly at room temperature when you intend to use it.']"
Pacific Cod and Clam Cacciucco,"['Extra-virgin olive oil', '1 onion, diced', '2 stalks celery, diced', '2 cloves garlic, smashed', 'Salt', '2 pounds white fish bones, such as cod', '1/2 pound shrimp shells', '2 bay leaves', '3 thyme sprigs', 'Extra-virgin olive oil', '1 large onion, sliced', '1 fennel bulb, sliced thin, fronds reserved for garnish', '2 celery stalks, sliced thin on the bias', 'Kosher salt', '3 cloves garlic, sliced thin', 'Pinch crushed red pepper', '2 cups white wine', 'Large pinch saffron', 'One 28-ounce can Italian plum tomatoes, crushed or pureed', '1 bundle thyme', '3 bay leaves', 'Extra-virgin olive oil', '1 pound cleaned cod fillets, cut into 4 pieces', 'Kosher salt', '16 littleneck clams', '1/2 pound large shrimp, shelled and deveined, reserve shells for stock', '1 1/2 cups cooked cannellini beans', '2 cups torn escarole leaves', '1 loaf ciabatta, sliced 3/4-inch thick', '1 clove garlic', 'High-quality extra-virgin olive oil, for drizzling']","['For the fish stock: Heat a stockpot, lightly coated with olive oil, over medium heat.', 'Add the onion, celery, garlic and some salt, and sweat for 3 to 4 minutes.', 'Stir in the fish bones and shrimp shells, and fill the pot with water.', 'Add the bay leaves and thyme and bring to a boil.', 'Lower the heat and simmer for 20 minutes.', 'Strain the liquid into a bowl and reserve.', 'Voila!', 'Fish stock!', 'For the tomato broth: Lightly coat a large saucepan with olive oil and heat over medium heat.', 'Add the onion, fennel, celery and a large pinch of salt.', 'Cook the veggies until soft and very aromatic, 8 to 10 minutes.', 'Add the garlic and crushed red pepper and cook for another 3 to 4 minutes.', 'Stir in the wine and reduce by half.', 'Season with salt.', ""(It's important to season all along the way.)"", 'Add 8 cups of the fish stock and the saffron.', 'Stir in the tomatoes, thyme and bay leaves.', 'Season with salt and cook for 20 to 30 minutes.', 'The final broth should be a very pretty and flavorful soup.', 'Taste and add salt as needed.', 'Remove and discard the thyme bundle and bay leaves.', 'For the stew: Heat a straight-sided saute pan, lightly coated with olive oil, over high heat.', 'Sprinkle the cod with salt, add it to the pan and brown it on all sides.', 'Remove to a large plate and reserve.', 'Drain the fat from the pan and add the clams and about 4 cups of the tomato broth.', 'Cover and cook until the clams open, about 3 to 4 minutes.', 'Add the shrimp and cod along with the beans and the escarole.', 'Cover and cook until the cod and shrimp are cooked through and the escarole is wilted.', 'If at any point the soup has cooked down too much, add more tomato broth.', 'For the toast: Preheat a grill.', 'Place ciabatta slices on grill and toast on both sides.', 'Remove and rub with garlic.', 'Drizzle with olive oil and cut in half.', 'To assemble: Remove the cod, clams and shrimp from the pan and put in a bowl.', 'Spoon the beans and escarole into serving bowls.', 'Ladle in the tomato broth and arrange the cod, clams and shrimp on top of the beans and escarole.', 'Drizzle with olive oil and sprinkle with fennel fronds.', 'Serve two grilled bread halves with each serving.', 'Fantastico!!', '!']"
Low Carb Chocolate Chip Cookies,"['34 cup low-carbohydrate baking mix', '12 cup almond flour or 12 cup almond meal, see note', '14 cup unsalted butter, softened', '2 teaspoons vanilla', '1 egg', '1 egg yolk', '1 cup Splenda sugar substitute', '2 -3 ounces sugar-free bittersweet chocolate']","['In a food processor, mix together bake mix, almond meal, and splenda.', 'Add butter to processor and pulse until crumbly.', 'In a separate bowl, mix egg, yolk, and vanilla.', 'Add the bake mix mixture to the egg mixture, a small amount at a time.', 'Stir in chocolate pieces.', 'Drop dough by tablespoons onto parchment lined baking sheet and flatten slightly with a spoon.', 'Bake at 325 for 8-10 minutes.', 'Cool, and transfer to airtight container.', ""NOTE: To make almond meal/flour, Process almonds in a food processor until fine; careful not to overprocess, or you'll end up with almond butter.""]"
Sauerbraten,"['1 cup red wine vinegar', '1 14 cups water', '1 cup sugar', '1 tablespoon pickling spices (original recipe just says mixed spices )', '3 -4 juniper berries (optional, my addition)', '1 onion, chopped', ""2 -4 lbs boneless beef roast (original recipe doesn't specify meat type, but generally any inferior cut works well since it's mari)"", 'vegetable oil', '10 ginger snaps (for gravy)']","['Bring vinegar, water, spices, and onion to boil.', 'Allow to cool for a half an hour or more.', 'Place beef in a glass or porcelain container sufficient in size to allow the beef to be adequately covered by the marinade.', 'You can add a little more water and vinegar (1:1 ratio) to cover.', 'Pour marinade over the beef, cover and refrigerate for a minimum of 3 days, turning once a day.', 'Strain vegetables from solution.', 'Reserve solution.', 'Thoroughly brown beef in hot oil, transfer to roasting pan or crock pot and cook in solution like a pot roast.', '* Remove meat and return a portion of the solution to a pan depending how much gravy you want.', 'Add enough gingersnaps to thicken to a moderately thin gravy.)', 'Slice meat and serve with spaetzels, potato dumplings, or potato pancakes and red cabbage.', '*Suggestion: cook in a crock-pot on low for 6-8 hours until tender.']"
Summer Spinach Salad,"['1 bag spinach', '12 cup almonds', '2 cups sliced strawberries', '2 egg yolks', '12 cup sugar', '34 cup oil', '14 cup lemon juice']","['Wash spinach leaves.', 'Pat dry.', 'Transfer to salad bowl.', 'Toast almonds in frying pan until brown.', 'In small bowl, whisk egg yolks, oil, lemon juice, and sugar together, until sugar dissolves.', 'Just before serving, add strawberries, almonds, and egg yolk mixture to spinach, blending ingredients well.']"
