Name,Ingredients,Instructions
CHEEZ WHIZ Sandwich Rollers,"['1 medium flour tortilla', 'Cheez Whiz Cheese Spread', '1 slice luncheon meat, your favourite variety Safeway 1 lb For $5.49 thru 02/09']","['SPREAD tortilla with process cheese.', 'TOP with luncheon meat.', 'Roll up; insert toothpick to fasten.', 'PLACE on microwaveable plate and microwave on HIGH for 1 minute.', 'Serve immediately.']"
Chocolate Fudge Brownie Ice Cream,"['1 cup Good Quality Cocoa Powder', '1/2 cups Granulated Sugar', '1/2 cups Brown Sugar', '1 pinch Vanilla Salt (regular Salt Is Fine)', '1 cup Whole Milk', '2 cups Heavy Cream', '1 teaspoon Vanilla Extract', '1/2 cups Brownie Pieces', '1/2 cups Fudge Pieces']","['Recipe yields 5 cups.', 'In a stand mixer combine cocoa powder, both sugars, salt and whole milk.', 'Mix until the sugars dissolve.', 'Add heavy cream and vanilla and mix until fluffy.', 'It should be the consistency of pudding when its ready.', 'Cover the bowl with a sheet of plastic wrap and stick it in the fridge for a minimum of 1 hour.', 'You can even leave it overnight.', 'It helps the flavour to let it age a bit.', 'While you chill it, you should freeze the canister and paddle of your ice cream maker.', 'Remove the bowl from the fridge and transfer the liquid to the frozen ice cream maker bowl/canister.', 'Place bowl on your ice cream machine and turn on.', 'Let it churn for about 5 to 10 minutes.', 'You want it just starting to thicken before you add the other ingredients.', 'Remove the bowl from the machine and hand mix your brownie pieces and fudge pieces into the ice cream.', 'Cover again and place in the freezer until it sets.', 'Remove from freezer about 5 or so minutes before serving.', 'Serve with a big old I do not have bolt cutters behind my back smile!']"
Gentleman Jims Kentucky BBQ Sauce,"['1 12 cups Bourbon', '8 garlic cloves, minced (4 teaspoons)', '1 medium onion, finely minced', '14 teaspoon red pepper flakes (to taste)', '6 ounces tomato paste', '1 cup dark brown sugar, packed', '35 ounces ketchup', '23 cup cider vinegar', '12 cup Worcestershire sauce', '14 cup liquid smoke', '1 teaspoon ground black pepper (fine grind)', '1 tablespoon sea salt', '34 teaspoon hot pepper sauce (to taste)']","['In a large nonstick pot over medium to medium-low heat, combine the bourbon, garlic and onion.', 'Simmer uncovered for 15 - 20 minutes, or until onion is cooked.', 'Add red pepper flakes and simmer for an additional 5 minutes.', 'Stir in tomato paste and brown sugar until combined with above.', 'Stir in ketchup and vinegar until combined with above.', 'Add Worcestershire sauce, liquid smoke, pepper, sea salt and hot pepper sauce; stir until all ingredients are mixed together.', 'Bring to a light boil.', 'Stir and reduce heat to medium-low, and simmer for 30 - 45 minutes, stir occasionally.', 'Remove from heat to cool.', 'Then place in container(s) and refrigerate.', '* For best results, allow BBQ sauce to meld for 48 hours.', '* If you want a smoother sauce, blend or pass through a strainer.']"
Hot Italian Sausages,"['1 lb hot Italian sausage link', '8 sausage rolls (Steak Rolls Work Well Also)', '1 green pepper', '1 large onion', '3 garlic cloves', '3 jalapeno peppers', '1 (24 ounce) can tomato sauce', 'salt and pepper']","['1.', 'Cook sausages in boiling water for 20 minutes, while that is cooking dice green peppers, onion, garlic, and jalepenos.', '2.', 'Add tomato sauce, green peppers, onion, garlic, jalepenos, salt and pepper to a pot and cook until peppers and onions are tender about 15 minutes.', '3.', 'Put sausages on rolls and top with tomato sauce mixture and enjoy.']"
"Cake - No Eggs, Sugar, Oil or Butter","['6 ounces whole wheat flour (if plain, add 3 tsp of baking powder)', '2 ounces ground almonds', '2 teaspoons mixed spice', '1 lb mixed fruit', '4 ounces dates', '4 ounces apricots', 'orange rind or lemon', '12 pint water', '2 tablespoons orange juice']","['Soak fruit in the liquid overnight.', 'Add the dry ingredients.', 'Bake in a 2 lb loaf tin for approx 1 1/2 hrs at 160 c, covering for the.', 'last 1/2 hour.']"
Astoria,"['2 ounces white rum', '2 ounces triple sec (or cointreau or grand marnier)', '12 ounce mandarin liqueur (the brand I have is Mandarine Napoleon but I guess you can do it with Grand Marnier)', '2 ounces grapefruit juice']","['In a shaker, put all the ingredients with ice.', 'Shake and pour in a glass.', 'Garnish with an orange slice.', 'You may add more grapefruit juice if you find it too strong.', ""That's what I did.""]"
Garlic Herb Bread,"['1 loaf artisan bread (such as French)', '4 tablespoons butter, softened', '12 small shallot', '1 garlic clove', '14 cup fresh parsley', 'salt']","['Cut bread diagonally, but not all the way through, into 1.5 inch slices.', 'Combine last 5 ingredients in a food processor until mixed.', 'Slather the butter spread in between each sice and bake at 500 degrees for 5-7 minutes.']"
Cilantro Lime Shrimp With a Honey Lime Dipping Sauce,"['20 -25 shrimp', '1 lime, juice and zest of', '2 garlic cloves, minced', '2 tablespoons fresh cilantro, chopped', '1 teaspoon olive oil', 'sea salt and freshly cracked pepper, to taste', '1 lime, juice of', '3 tablespoons vegetable oil', '1 tablespoon honey', 'sea salt and freshly cracked pepper, to taste', '1 garlic clove, minced', '1 dash cayenne pepper']","['Combine all ingredients in a large zip lock bag and marinate in the refrigerator for 1 hour.', 'Soak wooden skewers in water for a few minutes.', 'Skewer the shrimp on the wooden skewers then place on the grill over medium heat.', 'Cook for a few minutes on each side or until pink and juicy.', 'Remove skewers from grill and serve with the honey lime dipping sauce.', 'Enjoy.', 'Honey Lime Dipping Sauce: Add all the dressing ingredients in a small bowl and whisk to combine.', 'Set aside.']"
Barbecued Ribs,"['4 lbs pork baby back ribs, cut into pieces', 'seasoning salt', '12 cup garlic, minced', '1 cup water, divided', '2 cups barbecue sauce (your favorite kind, I use K.C. Masterpiece Original, approximate amount)']","['Put 2 pounds of ribs in each of two 9x13 pans.', 'Sprinkle with seasoned salt.', 'Spread garlic over all the ribs.', 'Put 1/2 cup water in bottom of pan.', 'Cover with aluminum foil.', 'Bake at 350 degrees Fahrenheit for 1 hour.', 'Pour off all liquid.', 'At this point I try to put all ribs in one pan, but I do not let them cover each other, so use your own judgement.', 'Spread barbecue sauce liberally on meaty side of ribs.', 'Put Ribs meaty side up in pan.', 'Bake uncovered for 1 hour at 350 degrees Fahrenheit.']"
Chicken and Potato Salad with Basil,"['6 Potatoes', '1 large Chicken breast', '100 grams Bacon (block)', '50 grams Red kidney beans', '50 grams Chickpeas', '6 leaves Basil', '40 grams Mayonnaise', '40 grams Heavy Cream', '1 dash Salt and pepper', '1 dash Nutmeg']","['Cook the potatoes in the microwave for about 15 minutes at 500w.', 'Once the potatoes are cooked, peel and quarter them.', 'Boil the chicken and cut into bite-size pieces.', 'Cut the bacon into bite-size pieces.', 'Cook the bacon in a frying pan.', 'Finely cut the basil and combine with all the marked ingredients.', '(You could also use a food processor.)', 'Combine the basil sauce with the potatoes and chicken.', 'Add in the cooked bacon, red kidney beans and chickpeas.', 'Finished.']"
Salted Caramel-Banana Bread Pudding,"['1 cup sugar', '2 tablespoons salted butter, cut into pieces and at room temperature', '1/2 cup heavy cream, warmed', '1 tablespoon bourbon', '1 teaspoon fresh lemon juice', '3/4 teaspoon kosher salt', 'Salted butter, for the baking dish', '1 1 -pound loaf brioche, crusts removed, cut into 1/2-inch cubes (about 13 cups)', '5 large eggs', '3/4 cup sugar', '1/2 teaspoon kosher salt', '4 cups whole milk', '1 cup heavy cream', '1 tablespoon vanilla extract', '3 bananas, halved lengthwise and sliced 1/2 inch thick', 'Sea salt, for sprinkling']","['Make the caramel: Combine the sugar and 1/4 cup water in a medium saucepan over medium heat, stirring just until the sugar dissolves.', 'Cook, gently swirling the pan but not stirring, until amber, about 10 minutes.', 'Brush any sugar crystals off the side of the pan with a wet pastry brush.', 'Remove from the heat and carefully whisk in the butter, heavy cream, bourbon, lemon juice and kosher salt (the mixture will bubble).', 'Pour into a bowl and set aside.', 'Make the bread pudding: Preheat the oven to 350 degrees F and butter a 9-by-13-inch baking dish.', 'Spread the bread cubes on a rimmed baking sheet and bake until dry and golden, about 20 minutes.', 'Let cool completely.', 'Whisk the eggs, sugar and kosher salt in a large bowl, then whisk in the milk, heavy cream and vanilla until smooth.', 'Fold in the toasted bread and the banana slices.', 'Transfer half of the mixture to the prepared baking dish and spread in an even layer.', 'Drizzle with 1/2 cup of the caramel, then top with the remaining bread mixture.', 'Cover with plastic wrap and refrigerate at least 1 hour or overnight.', 'Cover and refrigerate the remaining caramel until ready to serve.', 'Preheat the oven to 350 degrees F. Sprinkle the bread pudding with sea salt and bake until golden brown and set, about 1 hour, 15 minutes.', 'Warm the remaining caramel and drizzle on top.', 'Photograph by Kana Okada']"
