Name,Ingredients,Instructions
Barbecue Hamburger Patties Recipe,"['1 1/2 lb Grnd Beef', '1/2 c. Onion, Minced, 1 medium', '1 tsp Salt', '1/3 c. Catsup', '1/2 c. Chili Sauce', '2 tsp Brown Sugar', '1 tsp Lemon Juice']","['Mix the meat, onion, and salt together.', 'Shape the mix into 6 patties, each about 3/4-inch thick.', 'Brown the patties in a large skillet over medium-high heat, turning once.', 'Cover and cook over low heat about 10 min.', 'Drain off the excess fat.', 'Mix catsup, chili sauce, brown sugar, and lemon juice.', 'Pour sauce over the patties.', 'Cover and simmer for 15 min, spooning the sauce onto the patties occasionally.', 'Serve with the sauce spooned over the patties.']"
Chicken Prepared-Mustard,"['1 boneless skinless chicken breast', '2 tablespoons prepared mustard (or to taste)', '1 teaspoon bell pepper, diced (or to taste)', '1 teaspoon tomatoes, diced (or to taste)', '1 tablespoon onion, diced (or to taste)', '1 teaspoon butter or 1 teaspoon margarine', 'salt, to one owns taste', 'pepper, to one owns taste']","['Cut and dice chicken breast to half an inch.', 'Heat pan to medium flame.', 'Add chicken and butter/margine to pan,.', 'Let some pieces of chicken get color,.', 'Then add bell pepper, onions, and tomato.', 'Mix and stir for 30 seconds,.', 'Add salt and pepper to your taste.', 'Add a little bit of water to the pan so the chicken wont stick on the pan, stir and let it sit until done.', 'When the chicken is almost or fully cooked add mustard, stir, let it heat for a minute or two then turn off heat.', 'leave it covered for better taste until served.']"
Bower's Hunter's Chili,"['2 lbs venison steak or 2 lbs beef steaks', '1 lb ground venison or 1 lb ground beef', '4 (16 ounce) cans kidney beans', '4 (16 ounce) cans black beans', '2 (16 ounce) cans red beans', '2 (16 ounce) cans chili beans', '2 (16 ounce) cans chili con carne, with no beans (for texture)', '4 (16 ounce) cans tomatoes, chopped', '1 (32 ounce) jar spaghetti sauce (Classico with basil)', '3 tablespoons chili powder', '2 tablespoons garlic powder', ""4 ounces hot sauce (It's not that hot with all the other ingredients)"", '1 teaspoon black pepper']","['Panfry the steak or stew meat in a bit of olive oil.', 'Splash on a little soy sauce, Worcestershire sauce, garlic powder and Grill Mates Montreal seasoning (excellent)on the meat.', 'Then cut up into 1/2 bite size.', 'Brown your ground meat in a pan and drain any grease (There will be very little with venison).', 'At the same time, in a large pot, put the beans (draining them prior to adding), tomatoes, con carne, chili powder, spaghetti sauce, hot sauce, garlic powder, splash of Tabasco (to taste), pepper, etc.', 'Let this heat on medium-low while browning & seasoning the meat.', 'Add both the browned ground meat and cut up steak pieces into the large pot of beans.', 'Let it simmer for about 1/2 of an hour or more.', 'Stir occasionally so as not to scorch the chili at the bottom of the pan.', 'Serve with grated cheese (the pre-grated Mexican variety in a bag works well) and corn bread is a nice compliment.']"
Christmas Sugar Biscuits,"['1 12 cups white sugar', '1 cup Crisco shortening (can use 1 stick of Crisco)', '1 egg', '1 cup buttermilk', '1 teaspoon salt', '1 teaspoon vanilla (real stuff)', '1 teaspoon baking soda', '3 12 cups white flour']","['In separate bowls:.', 'Cream sugar, shortening and egg.', 'Dissolve baking soda in buttermilk and vanilla.', 'Add salt to flour.', 'Mix alternately (in the shortening) the buttermilk mixture and the flour mixture.', 'Scoop and drop onto cookie sheet then sprinkle with sugar on top of cookie or try it with cinnamon and sugar for a different twist.', 'Bake 350F for 10 to 12 minutes.', 'Makes about 4 dozen cookies.']"
Baked Sausage N Taters,"['8 Yukon gold potatoes', '1 Whole white onion', '1 Container of grape tomatoes', '4 Hillshire farms cheddar sausage sliced', '1/4 cup Olive oil', '1 Dill weed, garlic powder, Cajun all spice']","['Slice potatoes into 1in cubes, put in baking pan.', 'Dice medium onion, throw it in.', 'Cut all tomatoes in half, throw them in.', 'Slice sausage horizontally, throw it on in.', 'Drizzle olive oil and add spices to taste.', 'Mix it all together with your hands and bake at 450F for 45-1hr.', 'Remix it halfway through cooking time.', 'Enjoy,']"
Chocolate-mint Cheesecake,"['30 grasshopper fudge mint cookies (Keebler)', '2 tablespoons butter, melted and cooled', '1 envelope unflavored gelatin', '13 cup cold water', '1 cup unsweetened cocoa powder', '34 cup water', '8 ounces cream cheese', '8 ounces reduced-fat cream cheese (Neufchatel)', '2 cups sugar', '1 teaspoon peppermint extract', 'thawed frozen whipped topping', 'creme de menthe thin candies, halved diagonally (Andes)', 'mint leaf']","['Coat an 8- or 9-inch springform pan with nonstick spray.', 'Break up cookies into a food processor; pulse until fine crumbs.', 'Transfer 1/4 cup crumbs to a small bowl; cover and reserve.', 'Add butter to remaining crumbs and pulse until blended.', 'Press into bottom of prepared pan; place in freezer.', 'Sprinkle gelatin over cold water in a small saucepan.', 'Let stand 1 minute, then stir with a heatproof plastic spatula over medium-low heat until granules completely dissolve and liquid begins to steam.', 'Remove from heat.', 'Whisk cocoa powder into warm water until well blended; set aside.', 'Beat both bricks cream cheese and the sugar in a large bowl with mixer on medium speed until smooth and fluffy.', 'On low speed, beat in cocoa mixture, dissolved gelatin and mint extract until blended.', 'Pour over the chilled crust.', 'Cover and refrigerate at least 5 hours or until firm.', 'Shortly before serving: Remove sides of pan.', 'Using 2 broad spatulas, lift cake off springform-pan base onto a serving platter.', 'Press reserved crumbs onto sides of cake.', 'Drop small dollops of topping around top edge, then garnish with mint triangles and mint sprigs.']"
Barbecued Spam Sandwiches,"['1 (12 ounce) container fully cooked luncheon meat (e.g. Spam)', '1 1/2 cups barbeque sauce', '1 cup prepared coleslaw', '1 loaf French bread, cut into 4 pieces, split and toasted']","['Slice the lunch meat into thin slices.', 'Combine the sliced lunch meat and barbeque sauce in a large skillet over medium heat.', 'Cook until heated through.', 'Spoon meat and sauce onto the bottom halves of the toasted bread.', 'Top with coleslaw, and then the other half of the pieces of bread.']"
Salmon Pasta,"['2 large fresh salmon fillets', '400 g pasta', '12 lemon, juice of', '2 teaspoons capers', '2 eggs', '1 cup heavy cream', '200 g bacon lardons']","['Cook the pasta in salted boiling water until al dente (or to taste).', 'Fry the bacon lardons in a large pan or wok until crispy.', 'Cube the salmon into about 1-inch cubes and add to the pan with the capers.', 'Gently cook to taste (I prefer the salmon to be pink in the middle).', 'Meanwhile, beat the eggs and cream together with the lemon juice.', 'Once salmon is ready, add the drained pasta to the pan and combine over the heat for a couple of minutes to bring the pasta and pan up to temperature.', 'Remove from the heat and add the egg mixture, stirring to combine (but being careful not to break up the salmon).', 'The residual heat in the pan will cook the eggs gently.', ""If you're worried it's not cooked enough, return it to a very gentle heat for a couple of minutes."", ""You don't want scrambled eggs, though!"", 'Season well with Maldon salt and freshly ground black pepper before serving.']"
Vegetable Burgers(Welch),"['2 ounces cracked wheat (bulgur)', '1/4 cup canola oil', '1 1/4 cups mushrooms finely chopped', '1 1/2 cups carrots finely chopped', '2 cups onions finely chopped', '2 tablespoons garlic minced', '3/4 cup walnuts', '1/2 cup sunflower seeds', '1/2 cup wheat germ', '13 cup parsley leaves chopped', '2 tablespoons dill weed chopped', '3 tablespoons tahini (sesame paste)', '1 1/4 cups chickpeas (garbanzo beans) cooked', '3 tablespoons soy sauce, tamari', '3 tablespoons lemon juice', '1/4 teaspoon cayenne pepper', '1/2 teaspoon salt', '3/4 teaspoon black pepper freshly ground', '3/4 teaspoon cumin ground', '1 x vegetable oil for rubbing burgers and grill']","['Put bulgar in a bowl of hot water, soak for 10 minutes or until tender, drain.', 'Heat oil in a skilled, saute mushrooms, carrots, onions, garlic for 15 mins.', 'Let cook.', 'Grind walnuts and sunflower seeds, put into a bowl, add sesame seeds, bulgur, and wheat germ.', 'Mix sauteed vegetables with parsley, dill, cahini, chickpeas, tamari, lemon juice, cayenne, salt, pepper, and cumin until blended (small lumps ok).', 'Add to the sesame-bulgur mixture, mix well.', 'Chill thoroughly to firm the mixture.', 'Shape into patties, pat with oil, cook 4 minutes on each side, flip carefully with a Wide spatula to keep from falling apart.', 'Serve on toasted rolls with slices of tomato, sprouts, cucumber, yogurt.']"
Avocado and Cilantro Salsa,"['2 large ripe avocados', '3 roma tomatoes', '4 tablespoons red onions, diced', '12 bunch cilantro, chopped fine', 'garlic, chopped fine', 'jalapeno pepper, chopped fine', '1 tablespoon tomato juice', 'cayenne pepper', 'Tabasco sauce', 'lemon juice']","['Peel avocadoes and tomatoes and dice into small chunks.', 'Mix with onions, cilantro, garlic and jalapeno peppers.', 'Add tomato juice, cayenne pepper, Tabasco sauce and lemon juice to taste.']"
