Name,Ingredients,Instructions
Fresh (That Means Raw) Broccoli Salad,"['5 stalks broccoli', '34 small red onion, finely chopped', '34 cup raisins (preferably golden)', '12 cup shelled sunflower seeds', '1 cup mayonnaise', '14 cup sugar, to taste', '2 tablespoons cider vinegar']","['Cut the broccoli heads into bite-sized pieces.', 'Peel the stems and cut them up also.', 'Put the broccoli into a bowl together with the onion and the raisins.', 'Combine the dressing ingredients two hours before serving and pour over the broccoli.', 'Sprinkle the sunflower seeds over just before serving.']"
Nanas Maple Butter,"['2 sticks Really, Really Soft Margarine (not Butter)', '3 cups Powdered Sugar', '1 teaspoon Vanilla Extract', '1/4 teaspoons Maple Extract Or Mapeline']","['First, soften the margarine.', 'Next, dump in the powdered sugar.', 'Dont worry if you have walked away from the microwave and the margarine is a liquidy mess; just add an additional heap of powdered sugar!', 'Finally, splash in the vanilla and maple extract and stir together with a fork or spoon until the maple butter is the consistency of frosting.', 'Thats it!', 'Youre finished.', 'Enjoy your maple butter and be prepared for many, many requests!', 'Please note: I really dont measure for this recipe, so all measurements are estimates.', 'Be creative and have fun tasting many different versions by exchanging maple extract for banana, strawberry, orange, and other flavors.']"
Mounds Brownies,"['2 12 cups shredded coconut (mixed sweetened and unsweetened)', '14 cup miniature chocolate chip', '2 tablespoons sugar', '2 tablespoons white corn syrup', '1 pinch salt', '1 teaspoon vanilla', '14 cup all-purpose flour', '34 cup unsalted butter, melted and cooled', '2 eggs', '1 12 cups white sugar', '1 12 teaspoons vanilla', '34 cup all-purpose flour', '12 cup cocoa', '12 teaspoon baking soda', '14 teaspoon salt']","['Preheat oven to 350F.', 'Line a 7 by 11 inch rectangular pan with parchment paper and leave some extra overlap to lift out brownies later.', 'In a medium bowl, stir all coconut layer ingredients together with a fork or with (clean) hands until it is pasty.', 'In another bowl, stir together butter and sugar, then add eggs and vanilla.', 'Stir in flour, cocoa, baking soda and salt.', 'Put 2/3 of brownie batter into prepared pan.', 'Top as evenly as possible with coconut mixture.', 'Top with spoonfuls of remaining brownie batter.', 'Bake until top is dry to the touch (30 to 35 minute).', 'Reduce heat to 325 F and bake for 10 more minutes.', 'Cool well, then refrigerate for one hour.', 'Lift entire cake from pan with liner overlaps and cut into squares.', 'You can drizzle on some melted semi-sweet or milk chocolate for an extra touch.', 'These freeze well.']"
Spicy Peanut Stew With Cool Cucumber Sauce,"['2 tablespoons olive oil', '1 medium onion, diced (about 1 cup)', '1 stalk celery, chopped (about 1/2 cup)', '1 tablespoon fresh ginger, grated', '2 garlic cloves, minced (about 2 tsp)', '1 medium sweet potato, peeled and cut into 1 inch chunks (about 2 cups)', '14 12 ounces diced tomatoes with green chilies', '1 lb butternut squash (about 3 cups) or 1 lb acorn squash, cut into 1 inch chunks (about 3 cups)', '12 lb cauliflower floret (about 4 cups)', '14 cup creamy peanut butter', '6 cups cooked brown rice', '1 head watercress, stems removed', '12 cup roasted peanuts, chopped', '12 cucumber, peeled, seeded and diced (about 1/2 cup)', '14 cup cilantro, chopped', '1 jalapeno pepper, stemmed, seeded and minced (optional)', '2 tablespoons lime juice', '1 tablespoon fresh ginger, rated', '12 teaspoon salt']","['Cool Cucumber Sauce:.', 'Toss together all Cool Cucumber Sauce ingredients in small bowl.', 'Set aside to serve with Spicy Peanut Stew.', 'Spicy Peanut Stew:.', 'Heat oil in large pot over medium-low heat.', 'Add onion and celery, and cook 5 minutes, or until onion is translucent, stirring occasionally.', 'Stir in ginger and garlic, and cook 5 minutes more, or until vegetables are soft.', 'Add potato and tomatoes.', 'Increase heat to medium, and cook 5 minutes, or until sauce is thickened, stirring occasionally.', 'Stir in 2 cups water, and season with salt and pepper.', 'Simmer partially covered, 10 minutes.', 'Add squash and cauliflower, and cook 15 minutes more, or until vegetables are tender.', 'Whisk together peanut butter and 1/2 cup warm water in small bowl.', 'Add to stew, and cook 4 minutes or until thickened, stirring constantly.', 'Spoon over rice, and top with watercress.']"
Calming latte,"['1 envelope of chamomile tea', '2 tsp honey or more to taste', '1/4 cup vanilla almond milk', '1 cup boiling water', '1 pinch ground nutmeg']","['Boil one cup of water', 'Pour it in a mug with an envelope of chamomile tea and let it rest for 5min', 'Heat up milk and pour it in with the tea', 'Add honey and sprinkle nutmeg and mix', 'Enjoy!']"
SHAKE'N BAKE Pork Tenderloin with Dijon Cream Sauce,"['2 pork tenderloins, (about 12 oz/375 g) Safeway 1 lb For $3.99 thru 02/09', ""1 envelope Shake'N Bake Pork Coating Mix"", '1 cup whipping cream', '1/4 cup dry white wine', '2 Tbsp. Dijon mustard', 'chopped parsley']","['MOISTEN pork tenderloins with water and coat with coating mix as directed on package.', 'Bake at 400F (200C) for 30 minutes.', 'MEANWHILE combine whipping cream, wine and mustard in a small pot.', 'Bring to a boil, reduce heat and simmer uncovered until sauce is thick enough to coat a spoon.', 'TO serve, slice tenderloin into 1/2-inch (1 cm) slices.', 'Pour 3/4 of the sauce onto a serving platter and place slices of pork on top.', 'Drizzle with remaining sauce.', 'Garnish with chopped parsley.']"
Pan Fried Chicken Strips,"['2 1/2 lb Skinless boneless chicken, white or dark meat', '1 large Bowl of heavily salted water', '1 1/2 cup AP flour', '1 Salt, pepper, garlic and onion powders, paprika', '2 Eggs, beaten in a bowl', '3 tbsp Water', '1 Oil for shallow pan frying']","['Soak raw chicken in bowl of heavily salted water for an hour and a half at least.', 'Then drain.', 'Cut chicken into strips or chunks.', 'Preheat a skillet on medium-high with enough oil to come up the side of the pan about 1/2 an inch.', 'In one dish add flour and seasonings.', 'In another dish add beaten eggs and 3 tablespoons water.', 'Dip chicken first in the flour to coat then into the egg then back into the flour.', 'Cook your chicken in batches til all has been coated and fried.', ""Don't over crowd pan."", 'Enjoy']"
Dr. Morris's Killer Chili Con Carne With Beans,"['2 lbs ground chuck', '2 lbs Mexican-style stewed tomatoes, cut up', '2 lbs canned spicy chili with beans', '1 lb canned red kidney beans', '1 lb canned pinto beans', '1 teaspoon garlic powder', '14 cup cilantro, chopped', '2 tablespoons chili powder', '1 teaspoon poultry seasoning']","['Brown beef in a heavy nonstick skillet over medium high heat 5-7 minutes until no visible pink shows.', 'Add remaining ingredients and salt and pepper to taste.', 'Bring to a boil.', 'Cover pan, reduce heat to low and simmer at least 30 minutes.', 'Remove lid and cook 30 minutes or to desired consistency.']"
Gimme Gimme S'mores Sandwich,"['1 sheet (4 crackers) low-fat honey graham crackers', '1/4 cup fat-free whipped topping, thawed from frozen', '1 teaspoon mini semi-sweet chocolate chips', '8 miniature marshmallows']","['Break graham cracker sheet into two squares.', 'Set aside.', 'In a small bowl, lightly stir together whipped topping, chocolate chips, and marshmallows.', ""Don't over-stir."", 'Place one graham cracker square on a plate, and top with whipped-topping mixture.', 'Lightly place the other square on top.', 'Freeze until solid, about 1 hour.', 'Store in the freezer until ready to serve.', 'Enjoy!', 'PER SERVING (entire recipe): 133 calories, 2.5g fat, 99mg sodium, 26g carbs, 0.5g fiber, 11.5g sugars, 1g protein']"
Honey Crunch Baked Apples,"['6 each apples', '13 cup granola cereal', '13 cup dates pitted', '1/4 cup almonds', '1/2 teaspoon cinnamon', '1/4 teaspoon nutmeg', '2 teaspoons lemon juice', '6 tablespoons honey', '3 tablespoons butter', '3/4 cup apple juice']","['Place the apples in a 9-inch square baking pan.', 'In a bowl combine the cereal, dates, almonds, cinnamon, nutmeg, lemon juice and 3 tablespoons of honey.', 'Spoon equal amounts of the filling into each apple packing it lightly.', 'Stir together the melted butter, the remaining 3 tablespoons of honey, and apple juice.', 'Pour over the apples.', 'Cover and bake in a 350F (180C).', 'oven for 30 minutes.', 'Uncover and continue to bake, basting often with the pan juices until tender when pierced, about 35 more minutes.', 'Serve warm or cooled.']"
