Name,Ingredients,Instructions
Weight Watchers Slow-Cooker Cheeseburger Soup,"['cooking spray', '1 medium garlic clove, minced', '1 medium onion, chopped', '1 medium celery rib, chopped', '1 lb uncooked lean ground beef (with 7% fat)', '2 tablespoons all-purpose flour', '3 cups canned chicken broth, divided', '1 cup low-fat evaporated milk', '8 ounces kraft Velveeta reduced fat cheese product, cubed', '12 teaspoon paprika', '14 teaspoon table salt', '18 teaspoon black pepper', '24 baked corn tortilla chips, crumbled']","['Coat a large nonstick skillet with cooking spray and heat over medium-high heat for about 30 seconds.', 'Add garlic, onion and celery to skillet; cook, stirring frequently, until vegetables are tender, about 5 to 10 minutes.', 'Coat a 3-quart or larger slow cooker with cooking spray; spoon in vegetables.', 'Place same skillet over medium-high heat and brown beef, breaking up meat with a wooden spoon as it cooks, about 5 to 6 minutes; pour off any liquid and add meat to slow cooker.', 'In a small cup, combine flour and 1/2 cup of broth; stir until lump-free.', 'Pour flour mixture into same skillet; add remaining 2 1/2 cups of broth.', 'Bring to a simmer, scraping up any browned bits in bottom of skillet with a wooden spoon, and then pour into slow cooker; stir in evaporated milk, cheese, paprika, salt and pepper.', 'Cover slow cooker and cook on low setting for 2 hours.', 'Serve soup topped with crumbled chips.', 'Yields about 3/4 cup of soup and 3 tablespoons of chips per serving.', 'Note: If the soup cooks too long, the cheese could separate.', 'If that happens, combine 1 tablespoon of all-purpose flour and 1/4 cup of soup in a cup; stir to a paste.', 'Stir flour mixture back into soup in slow cooker; cover and cook on low setting for 10 to 15 minutes (does not affect POINTS values).']"
Cheddar Ale Soup With Tabasco Chive Creme Fraiche,"['3 12 ounces butter', '3 ounces onions, small rough chop', '2 ounces leeks, washed well, small chop', '2 ounces carrots, small rough chop', '2 ounces celery, small rough chop', '1 tablespoon garlic, minced', '1 bay leaf', '2 sprigs fresh thyme', '4 12 ounces flour', '5 cups chicken stock, hot', '24 ounces ale, Firestone', '12 lb sharp cheddar cheese, shredded', '1 ounce parmesan cheese, grated', '2 tablespoons Dijon mustard', '2 cups heavy cream', 'salt and pepper', '12 teaspoon Tabasco sauce', '12 teaspoon Worcestershire sauce', '1 cup creme fraiche', '1 teaspoon Tabasco sauce', '14 lemon, juice of', '14 cup chives, thinly sliced', 'salt and pepper']","['In a heavy saucepot, melt the butter and sweat the onions, leeks, carrot, celery and garlic until onions are translucent.', 'Sprinkle in the flour while stirring to incorporate.', 'Add the hot chicken stock slowly, while stirring with a whisk.', 'Once all the stock is added, add the beer.', 'Then add the bay leaf and thyme and cook for 1/2 hour, stirring the bottom of the pot occasionally.', 'Remove the bay leaf and thyme and turn off heat.', 'Stir in the cheddar cheese, parmesan cheese, heavy cream and dijon mustard.', 'NOTE: Do not boil the soup once the dijon mustard is added.', 'Adjust the seasoning with salt, pepper, tabasco and worcestershire sauce.', 'Strain the soup.', 'TO SERVE:.', 'Spoon soup into heated bowls and finish with a dollop of tabasco chive creame fraiche.', 'FOR THE TABASCO CHIVE CREME FRAICHE:.', 'Whip the creme fraiche in a mixer.', 'Once soft peaks are reached, add other ingredients and stir to combine.']"
Kolhapuri Vegetables (Mixed Vegetables),"['12 kg mixed vegetables, chopped (Beans, carrots, cauliflower, peas, capsicum)', '2 tablespoons yogurt (mix with ginger-garlic paste & leave for 3-4 hours)', '1 teaspoon ginger-garlic paste', '2 teaspoons lemon juice', '1 12 teaspoons salt', '2 tablespoons oil', '12 cup onion, grated', '14 teaspoon cinnamon', '12 teaspoon clove', '14 teaspoon peppercorn', '14 teaspoon black cumin', '14 teaspoon mace, broken up', '200 g dried coconut, grated', '1 tablespoon coriander seed', '2 kashmiri chilies (long and dried red chillies, these are very spicy)']","['Heat oil and add the onions and stir-fry till light brown.', 'Add the ground masala, saute till well mixed and add the vegetable mixture.', 'Bring to a boil, lower the heat and simmer 3-4 minutes and serve.']"
Tangerine Butterscotch Sauce,"['4 tablespoons (2 ounces/60 g) unsalted or salted butter, cut into pieces', '1 cup (215 g) packed light brown sugar', '1/3 cup (80 ml) heavy cream', '1/8 teaspoon salt', '1/4 cup (60 ml) freshly squeezed tangerine juice', '2 tablespoons (30 ml) orange-flavored liqueur, such as Grand Marnier, Cointreau, or Triple Sec']","['In a large saucepan, combine the butter, brown sugar, cream, and salt.', 'Bring to a boil over medium-high heat and boil for 3 minutes without stirring.', 'Remove from the heat, let cool for 2 minutes, then stir in the tangerine juice and orange-flavored liqueur.', 'Serve the sauce warm.', 'This sauce can be stored in the refrigerator for up to 2 weeks.', 'Rewarm before serving.']"
Chicken Teriyaki Stir Fry,"['1 lb chicken (Scalopinni works best)', '13 cup teriyaki sauce', '13 cup water', '12 teaspoon ginger', '1 tablespoon dried onion', '12 teaspoon garlic, minced (we use the kind that comes in a jar)', '12 teaspoon garlic powder', '1 lb stir fry vegetables, frozen', ""2 tablespoons extra virgin olive oil (or other oil that's equally tasteless)"", '1 12 teaspoons cornstarch', '8 ounces spaghetti']","[""Start defrosting chicken if it's frozen."", 'Take the bag of frozen veggies out and let them defrost on your counter.', 'Prepare the Marinade: boil water, teriyaki sauce, ginger, onion, garlic powder, and the jarred minced garlic for 2 minutes.', 'Cool the marinade while waiting for the chicken to defrost.', 'Cut the defrosted chicken into bite sized pieces before marinading.', 'Marinate the chicken for 20 minutes: combine the chicken with the marinade in a glass bowl; make sure that all the chicken is coated with marinade.', 'Start preparing the spaghetti 5 to 10 minutes before using the marinated chicken.', ""You'll want the spaghetti to be done when you make the left-over marinade into a kind of spaghetti sauce."", 'Pluck the chicken out of the marinade with your hands to reserve the marinade in the marinade bowl.', 'Put the chicken on aluminum foil to avoid an extra plate to wash.', 'Heat the oil up in a wok or pan.', 'Start frying the chicken.', 'You can optionally mess with the foil wrap to recapture any marinade that may have dripped off the chicken.', 'While the chicken is cooking for 5-7 minutes, prepare the frozen veggies: open the bag, drain any water, possibly rinse off any frost burn.', 'Add veggies to the wok or pan.', 'Cook until ready, then distribute it onto serving platters to free up the pan/wok.', 'Use a fork to mix cornstarch with 2-3 tablespoons of cold water.', 'Pour the remaining marinade (all of about 3 or 4 tablespoons) into the wok and heat to a boil.', 'Thicken this meager bit with 1-2 tablespoons of the cornstarch/water mixture.', 'When thickened, consider it sauce.', 'Pour said sauce over the spaghetti and mix it up.', 'Add the spaghetti to the serving plates and call it a night.']"
Brussels Sprouts with Walnuts and Orange,"['4 pints Brussels sprouts', '2 Tbs. orange juice', '2 tsp. lemon juice', '3/4 tsp. granulated sugar or 1 1/2 tsp. brown rice syrup', '1/2 tsp. salt', 'Pinch white pepper', '13 cup walnut oil', '1/2 cup chopped toasted walnuts', '1 Tbs. orange zest in long strips']","['Discard and trim off yellow leaves and base from sprouts.', 'Cut into quarters.', 'Cook in boiling salted water until just tender, 4 to 10 minutes.', 'Remove from heat and drain.', 'Whisk orange and lemon juices, sugar, salt and white pepper together.', 'Drizzle in walnut oil while whisking.', 'Toss sprouts with walnuts, zest and dressing.', 'Serve immediately, or reserve in warm oven for up to 15 minutes.']"
Easter Basket Cake,"['18 1/4 ounces cake mix, white about 1 package', '16 ounces frosting white, about 1 can', '2 drops food coloring green', '1/2 teaspoon water', '2 cups coconut, shredded, unsweetened (desiccated)', '14 ounces candy coated chocolate pieces about 1 package']","['Prepare the cake mix and bake the cake in two 8 inch rounds according to package directions.', 'Cool completely.', 'Cut a circle out of the center of one of the layers, leaving a ring that measures 1 1/2 inches from the outer to the inner edge.', 'Place the uncut layer on a serving platter and frost the top.', 'Place the ring layer on top of the frosted layer, and frost the sides and top of the basket.', 'Decorate the sides and top by pressing candy pieces into the frosting.', 'To tint the coconut, combine water and green food coloring in a medium bowl.', 'Stir in coconut with a fork until evenly tinted.', 'Place green coconut grass in center of cake basket.', 'To make a handle, cut a piece of aluminum foil 8x16 inches.', 'Fold in half lengthwise 4 times.', 'Wrap with ribbon, securing the ends with tape.', 'Insert ends of the handle into the cake top.', 'Fill basket with Easter candy and goodies, if desired.']"
"Orange, Pineapple, Banana & Lemonade Slush","['3 cups sugar', '6 cups water', '1 (12 ounce) can frozen orange juice concentrate', '1 (6 ounce) can frozen lemonade concentrate', '1 (12 ounce) canfrozen pineapple juice concentrate', '6 bananas, mashed']","['Heat sugar and water in a large saucepan over medium heat until sugar is dissolved.', 'Put sugar syrup in a large bowl along with the juices and bananas and mix together.', 'Place in containers and freeze until solid.', 'Prior to serving remove from freezer and allow it to soften just enough so you can scoop it out.', 'Combine it with a lemon-lime soda to finish your slush.', 'Usually equal amounts of both but to your tastes.']"
Citrus Vinaigrette with Hazelnut Oil,"['1 orange, zest of', '4 tablespoons fresh orange juice', '4 teaspoons lemon juice', '1 teaspoon balsamic vinegar', '12 teaspoon salt', '3 scallions, white parts only,minced', '14 teaspoon fennel seed, crushed in a mortar or under a spoon', '5 tablespoons olive oil', '1 tablespoon hazelnut oil', '1 tablespoon chives, sliced into narrow rounds', '1 tablespoon chervil or 1 tablespoon fennel, leaves chopped', '1 tablespoon parsley, finely chopped']","['Put the orange peel, orange juice, lemon juice and vinegar in a bowl with the salt, scallions and crushed fennel seeds.', 'Whisk in the oils, then the herbs.', 'Taste, and adjust any of the ingredients if necessary.', 'The dressing should be fresh and sparkly.']"
Two-Bite Peanut Butter Cheesecakes,"['24 mini chocolate chip cookies', '1 pkg. (8 oz.) PHILADELPHIA Cream Cheese, softened', '1/4 cup packed brown sugar', '1 tsp. vanilla', '3 Tbsp. creamy peanut butter', '2 Tbsp. milk', '1 egg']","['Heat oven to 350 degrees F.', 'Place 1 cookie, flat side down, in each of 24 paper-lined mini muffin pan cups.', 'Beat cream cheese, sugar and vanilla with mixer until blended.', 'Add peanut butter and milk; mix well.', 'Add egg; beat on low speed just until blended.', 'Spoon over cookies.', 'Bake 13 to 15 min.', 'or until centers are almost set.', 'Cool 1 hour before removing from pan.', 'Refrigerate 2 hours.']"
Lamb Stew,"['2 1/2 pounds lamb cut into cubes', '1 1/2 lemon', '1/2 cup butter', '2 pounds tomatoes chopped', '2 teaspoons salt', '1/4 teaspoon black pepper', '1 small cinnamon sticks', '1 tablespoon sugar']","['Sprinkle lemon juice over meat and leave for 1 hour.', 'Heat butter in a frying pan and brown meat.', 'Transfer to large saucepan.', 'Put tomatoes in frying pan.', 'Add salt, peeper, cinnamon and sugar.', 'Boil for 5 minutes and add to meat.', 'Simmer covered for 2 hours.', 'Serve with potatoes, rice, macaroni or spaghetti.']"
Buttered Leeks,"['1 tablespoon finely chopped onion', '1 garlic clove, crushed', '3 tablespoons butter', '6 leeks, washed and trimmed and cut in half lengthwise', 'seasoning']","['Lightly saute the onion and garlic in a little of the butter until onion mix has softened.', 'Place the leeks into salted, boiling water, reduce the heat to simmer and cook 2-3 minutes.', 'Drain the leeek and refresh in icy cold water.', 'Place the leek in a greased shallow casserole dish, dot with the butter and sprinkle with seasoning.', 'Cover with lid or foil and cook at 180c for 20 minutes.', 'Serve hot.']"
Baked Green Bean Fries with Roasted Garlic Aioli,"['8 ounces, weight Green Beans', '1/2 cups All-purpose Flour', '2 Eggs, Beaten', '1- 1/2 cup Panko Bread Crumbs', '1/4 cups Grated Parmesan Cheese', '1/2 teaspoons Onion Powder', '1/4 teaspoons Cayenne Pepper', 'Salt And Pepper, to taste', '1 head Small Head Of Garlic', '1/4 cups Mayonnaise', '2 Tablespoons Olive Oil Plus Extra For Drizzling On The Head Of Garlic', '1 Tablespoon Dijon Mustard', 'Salt And Pepper, to taste']","['Bring your oven to 450 F.', 'Slice off the top of your head of garlic.', 'Season it with some olive oil and salt and pepper and wrap it up in a foil pouch.', 'Place in the oven for about 45 minutes.', 'Trim your green beans (removing the stems) and get them ready to cook.', 'Bring a large pot of water to boil.', 'When the water is boiling, submerge the green beans in the water.', 'Let them cook for 2-3 minutes and then immediately transfer them to a bowl filled with ice water.', 'This will stop the cooking process and keep them nice and tender and green.', 'Let them bathe in the ice water for a few minutes and then lay them out on a few paper towels so they dry.', 'Set up three shallow bowls.', 'One for your flour, one for your eggs, and one for your panko, Parmesan cheese, and spices.', 'Season all three bowls with salt and pepper.', 'Get yourself a sheet pan and line with parchment paper.', 'Dredge your green beans in the flour, then in the eggs and lastly in the panko and seasonings.', 'Lay your bean fries evenly out on the sheet pan making sure not to crowd them.', '(Crowding them will not allow them to crisp up as nicely).', 'When its done, remove your head of garlic from your oven and lower the heat to 425 F.', 'Bake your green bean fries at 425 F for about 15 minutes.', 'While they are baking, make your aioli.', 'Squeeze your garlic cloves into a bowl and mash them together with a fork.', 'In another bowl, combine mayo, olive oil, mustard and salt and pepper and add into your roasted garlic paste.', 'You can also blend it up in a food processor to really distribute that garlic flavor.', 'I personally like getting a chunk of roasted garlic so I just whisked it in.', 'Serve fries immediately with aioli on the side!', 'Enjoy!', 'I know you will!', '!', 'Recipe adapted from My Kitchen Addiction.']"
Crab Chowder,"['2 tablespoons unsalted butter', '1 yellow onion, finely chopped', '4 stalks celery, cut into 1/4-inch slices', '1 tablespoon finely chopped fresh thyme', 'salt and ground black pepper to taste', '7 potatoes, cut into 1/2-inch pieces', '2 cups whole milk', '1 (15 ounce) can fish broth', '1 cup heavy whipping cream', '1 (8 ounce) bottle clam juice', '1 1/2 pounds Dungeness crab meat, chopped']","['Melt butter in a large pot over medium heat.', 'Cook and stir onion, celery, thyme, salt, and pepper in hot butter until onion and celery start to soften, about 5 minutes.', 'Stir potatoes, milk, broth, cream, and clam juice into onion mixture.', 'Bring to a simmer; cook until potatoes are soft, about 10 minutes.', 'Pour broth mixture into a blender no more than half full.', 'Cover and hold lid down; pulse a few times before leaving on to blend.', 'Puree in batches until smooth.', 'Return pureed soup to pot and stir in crabmeat.', 'Cook until soup is hot and crab is heated through, about 5 minutes.', 'Season with salt and pepper.']"
Muesli Slice,"['125 g butter', '2 tablespoons honey', '2 eggs, lightly beaten', '12 cup raw sugar', '1 12 cups natural muesli', '12 cup coconut', '12 cup whole wheat flour', '12 cup sliced almonds', '125 g chopped raisins', '14 cup sesame seeds']","['melt butter and honey in saucepan remove from heat.', 'stir in eggs sugar muesli coconut flour almonds raisins and sesame seeds.', 'press into greased 19cm x 29cm pan.', 'bake at 180 degrees c about 20 min.', 'cool in pan cut when cold.']"
Chicken and Dumplings,"['2 tablespoons olive oil', '1 yellow onion, diced', '2 carrots, diced', '1 stalk celery, diced', '8 cups chicken stock', '4 cups cooked shredded chicken', 'fine sea salt', 'fresh ground black pepper', '1 12 cups all-purpose flour', '2 teaspoons baking powder', '2 teaspoons minced fresh sage', '34 cup whole milk']","['In a soup pot, heat the oil over medium heat.', 'Add the onions, carrots, and celery; cover and cook, stirring occasionally, until the vegetables soften, about 5 minutes.', 'Add the stock and bring to a boil over high heat.', 'Decrease heat to med-low and simmer until the vegetables are tender, about 20 minutes.', 'Add the chicken; season with salt and pepper to taste.', 'Make the dumplings-in a bowl, whisk together the flour, baking powder, and 1/2 teaspoon sea salt.', 'Stir in the sage.', 'Add the milk and stir to make a soft dough.', 'Using a tablespoon, drop equal amounts of the dough onto the surface of the simmering soup.', 'Cover and cook until the dumplings are firm, about 15 minutes.', 'Spoon the soup and dumplings into warmed large bowls and serve at once.']"
Bubbly Mary,"['8 ounces tomato juice', '1 teaspoon Worcestershire sauce', '1 teaspoon fresh lemon juice', 'Tabasco sauce, to taste', 'Drained bottled horseradish, to taste', 'Pepper, to taste', 'Salt, to taste', 'Oyster liquor, reserved from one dozen oysters (optional)', 'Good-quality Champagne']","['Stir all ingredients in small pitcher or large bowl and refrigerate until cold, about 1 hour.', 'Add about 2 ounces mixture to 6 Champagne flutes, then add splash oyster liquor to each, if using.', 'Top each flute with 4 ounces Champagne and serve.']"
The Best Butterscotch Banana Bread,"['2 ripe bananas', '1 34 cups flour', '2 teaspoons baking powder', '12 teaspoon baking soda', '12-1 teaspoon cinnamon', '12 teaspoon nutmeg', '12 teaspoon salt', '34 cup sugar', '2 large eggs', '14 cup butter, melted', '14 cup milk', '1 cup nuts, chopped (optional)', '6 ounces butterscotch chips']","['Mash the ripe bananas; set aside.', 'Sift together the flour, baking powder, baking soda, cinnamon, nutmeg and salt; set aside.', 'Combine mashed bananas, sugar, eggs and melted butter.', 'Blend well.', 'Alternately blend flour mixture and milk.', 'Stir in nuts (if using) and butterscotch chips, but leaving a little behind to sprinkle on top.', 'Pour into greashed 9-1/2-inch loaf pan.', 'Sprinkle top with reserved nuts and chips.', 'Bake at 350 for 60 minutes (or shorter time for smaller loaves).', 'Cool.']"
