Name,Ingredients,Instructions
Provencal Pork Stew With Fennel and Olives,"['1 tablespoon olive oil, divided', '4 cups sliced fennel bulbs (about 2 large bulbs)', '3 cups sliced onions (about 3 small)', '8 garlic cloves, minced', '13 cup flour (I omitted this for dietary purposes)', '2 lbs pork tenderloin, trimmed and cut into bite sized pieces', '12 teaspoon fresh ground pepper', '12 teaspoon salt', '1 cup dry white wine', '1 cup chicken broth', '1 tablespoon herbes de provence', '3 (14 1/2 ounce) cans tomatoes, undrained', '12 cup nicoise olives or 12 cup kalamata olive, pitted', 'fresh parsley, chopped']","['Heat 1 tsp of the oil in a large dutch oven over medium heat.', 'Add fennel and onion and saute for 8 minutes until tender.', 'Add the garlic and saute 2 minutes more.', 'Spoon the fennel mixture into a bowl and put aside for now.', 'Place the flour in a shallow powl.', 'Dredge the pork in flour, shaking off excess.', 'Heat remaining oil in the dutch oven over medium high heat.', 'Add half of the pork and sprinkle with salt and pepper.', 'Cook 6 minutes browning on all sides.', 'Repeat with the remaining pork.', 'Add wine to the pan, scraping up the browned bits.', 'Stir in fennel mixture, broth, herbes and tomatoes and bring to a boil.', 'Cover and reduce heat.', 'Simmer for 45 minutes.', 'Stir in remaining salt and pepper and the olives.', 'Simmer 10 minutes more.', 'Sprinkle with parsley and serve.']"
Quick! Pork With Mushroom Gravy,"['12 ounces pork tenderloin', '8 ounces wild mushrooms, crimini oyster, shiitake (stems discarded, mushrooms sliced)', '8 ounces white mushrooms, sliced', '1 (1 1/3 ounce) packetknorr roasted pork gravy mix', '1 14 cups water']","['Slice pork tenderloin into slices 1/2 inch thick.', 'Heat 1 Tbsp oil in a large non-stick skillet over medium-high heat.', 'Add pork and cook 2-3 minutes per side until lightly browned and just barely pink in the center.', 'Remove to plates; cover loosely with foil to keep warm.', 'Reduce heat to medium, add mushrooms to pan and cook, stirring occasionally, 5 minutes or until lightly browned and soft.', 'Stir in 1 1/4 cups water and gravy mix.', 'Cook 3 minutes or until thickened, stirring occasionally.', 'Spoon over pork.', 'Garnish with parsley, if desired.']"
Yucatan Pork Stew With Bacon and Cauliflower,"['6 thick-cut strips bacon, cut crosswise into 1-inch wide strips', '4 lbs trimmed boneless pork shoulder, cut into 2-inch pieces', '2 teaspoons salt and 1 tsp fresh ground pepper', '2 large onions, cut into 1/2-inch pieces', '8 garlic cloves, smashed', '1 jalapeno, seeded and sliced', '2 bay leaves', '1 pinch ground cloves', '6 cups chicken broth', '2 lbs cauliflower, broken into chunks', '4 ounces feta cheese, crumbled', '2 tablespoons chopped cilantro']","['In a very large heavy stew pot, cook the bacon over medium heat until fat is rendered.', 'Scoop out bacon and transfer to a deep bowl, leaving rendered fat behind.', 'Season the pork with salt and black pepper and add half of it to the casserole.', 'Cook over medium-high heat, turning, until browned all over, about 10 minutes.', 'Using a slotted spoon, transfer the pork to the bowl with the bacon.', 'Brown the remaining pork.', 'Return all of the pork and bacon to the casserole along with any accumulated juices.', 'Stir in the onions, garlic, jalapeno, bay leaves, cloves, and chicken broth; season with salt and pepper to taste and bring to a boil.', 'Add the Ragu, nestling the pork into the sauce.', 'Cover and cook over low heat until the pork is very tender, about 2 hours.', 'Discard the bay leaves, add the cauliflower, bring to a simmer and cook 10 minutes.', 'Stir in the Feta cheese and cilantro.']"
Stuffed and Roasted Rack of Veal,"['1 rack of veal or 1 other veal roast (6-bone)', '1 cup cooked spinach, chopped', '3 large egg yolks', '12 cup ricotta cheese', '12 cup breadcrumbs', '14 lb italian genoa salami, chopped', '4 cloves garlic, chopped', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '14 cup olive oil', '1 tablespoon kosher salt', '1 tablespoon ground black pepper']","['Preheat your oven to 425F.', 'In a bowl combine the spinach with the egg yolks, ricotta, bread crumbs, salami, garlic and 1 tsp each salt and black pepper.', 'Mix well until as smooth as possible.', 'Set aside.', 'Make a pocket in the rack for the stuffing.', 'To do this use a very sharp knife to make an incision in the center of the eye of the rack.', 'Push the knife tip in and insert the knife the entire length of the rack but do not let it come out the other side.', 'Remove the knife and insert the handle of a wooden spoon.', 'Work the spoon handle back and forth to create a pocket that runs from one end of the rack to the other.', 'Place the stuffing into a pastry bag fitted with a plain tip.', 'Insert the pastry bag in the pocket of veal and gently squeeze the bag.', 'This would probably work just as well using a ziploc bag with one of the tips snipped off.', 'Use the wooden spoon you used to make your pocket to push the stuffing down as far as it will go.', 'Work the stuffing down into the meat until it reaches the unopened end of the rack.', 'Continue to alternate between the bag and the plunging wooden spoon and fill the veal completely.', 'When the rack is ready to cook rub it with the olive oil and season with 1 Tbs each salt and black pepper.', 'Place the rack into a roasting pan and cook for 30 minutes.', 'Reduce heat to 350F and cook and additional 1 hour and 20 minutes.', 'A meat thermometer should read 150 degrees F.', 'before you remove it from the oven.', 'Let rest for 20 minutes before carving.']"
Pudding Squares,"['1 (4 ounce) package chocolate pudding mix or 1 (4 ounce) package butterscotch pudding mix or 1 (4 ounce) package instant vanilla flavor pudding and pie filling (sugar free is ok)', '12 cup light corn syrup', '13 cup creamy peanut butter', '4 cups Cheerios toasted oat cereal or 4 cups Kix cereal']","['Butter baking pan 9x9x2.', 'In large saucepan, heat pudding mix (dry) and corn syrup to boiling over medium heat; stirring constantly; boil and stir 1 minute.', 'Remove from heat and blend in peanut butter.', 'Stir in cereal until evenly coated.', 'Spread mixture evenly in pan with the buttered back of a spoon.', 'Cool until firm, about 30 minutes.', 'Cut into squares.']"
Vermicelli with Walnuts and Garlic,"['2 each garlic cloves peeled', '1/4 cup olive oil', '1 cup walnuts finely chopped', '1 x kosher salt to taste', '1 pound vermicelli pasta', '2 tablespoons parsley leaves fresh, chopped', '1 x black pepper freshly ground', '1/4 cup pecorino cheese']","['In a large skillet over medium low heat, cook the garlic in olive oil until golden.', 'Remove garlic from the pan.', 'Add the walnuts and cook, stirring until lightly toasted, about 5 minutes.', 'Meanwhile, bring a large pot of water to a boil.', 'Add salt and the pasta.', 'Cook, stirring frequently, until the vermicelli is al dente, tender yet firm to the bite.', 'Drain the vermicelli, reserving 1/2 cup of the cooking water.', 'In a large serving bowl, toss the vermicelli with the nuts and just enough cooking water to keep it moist.', 'Add the parsley, if using, and sprinkle generously with pepper.', 'Add cheese and toss again.', 'Serve immediately.']"
Raspberry Pear Crisp Recipe lovetobake45,"['2 medium ripe pears, peeled and thinly sliced', '3 cups fresh raspberries', '2 tablespoons sugar', '1 cup quick-cooking oats', '1/4 cup honey', '3 tablespoons butter, melted', '1 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg']","['Place pears in an 8-in.', 'square baking dish coated with nonstick cooking spray.', 'Sprinkle with raspberries and sugar.', 'In a bowl, combine the oats, honey, butter, cinnamon and nutmeg.', 'Sprinkle over raspberries.', 'Bake, uncovered, at 350 F. for 30-35 minutes or until pears are tender and mixture is bubbly.', 'Yield: 5 servings.', 'More recipes available at: www.havefunbaking.com And also check out: www.lovetobakeandcook.blogspot.com']"
Mexican Meatballs with Red Chile Tomato Sauce and Queso Fresco,"['2 tablespoons canola oil', '1 medium red onion, finely diced', '1 jalapeno, finely diced', '2 cloves garlic, finely chopped', '2 tablespoons ancho chili powder', '1/2 teaspoon ground coriander', '1 to 2 chipotle peppers in adobo, processed until smooth', 'One 28-ounce can plum tomatoes and their juice, processed until smoothKosher salt and freshly ground black pepper', 'Clover honey, to taste, optional', '1 to 2 tablespoons Mexican crema', 'Fresh cilantro leaves, for garnish', '1/3 pound chorizo, very cold, cubed', '1/3 pound chuck, very cold, cubed', '1/3 pound pork butt, very cold, cubed 3 cloves garlic, finely chopped', '1 large egg, lightly beaten', '1/2 cup finely chopped cilantro, plus extra for garnish', '1/4 cup freshly grated Cotija cheese1 tablespoon New Mexico chili powder', '2 teaspoons Mexican oregano', '1 teaspoon ground cumin', '1/2 teaspoon cayenne pepper', '3/4 cup panko breadcrumbs', 'Kosher salt and freshly ground black pepper', '2 tablespoons olive oil', '2 3/4 cups chicken stock', 'Queso fresco, for garnish', 'Fresh cilantro leaves, for garnish', 'Special equipment: Hand-operated meat grinder']","['For the red chile tomato sauce: Heat the oil in a 12-inch high-sided saute pan over high heat.', 'Cook the onions and jalapenos until softened, about 5 minutes.', 'Add the garlic and cook 30 seconds, and then stir in the chili powder and coriander and cook 1 minute.', 'Pour in 1 cup water and cook until reduced.', 'Mix in the chipotles and tomatoes and bring a boil, and then reduce to a simmer and cook until the sauce is slightly thickened, about 20 minutes.', 'Season with salt, black pepper and honey, if using.', 'Whisk in the crema, followed by the cilantro, and adjust the seasoning, if needed.', 'For the mexican meatballs: Grind the cubed meats using a hand-operated meat grinder fit with a medium dye.', 'Combine the ground meats with the garlic and egg in a large bowl, and then add in 1/4 cup of the cilantro, the cheese, New Mexico chili powder, Mexican oregano, cumin and cayenne pepper.', 'Gently mix together until combined.', 'Begin mixing in the breadcrumbs, 1 tablespoon at a time, until the mixture holds together.', 'Mix in some salt and black pepper, and form the meat into 2-inch balls.', 'Heat the olive oil in a medium saute pan over medium heat.', 'Cook the meatballs, turning occasionally, until brown all over, 3 to 4 minutes.', 'Pour in the chicken stock and cook until the liquid is mostly reduced and the meatballs are just cooked through, 5 to 7 minutes longer.', 'Transfer to a serving platter and top with the Red Chile Tomato Sauce, queso fresco and additional cilantro leaves.', ""Cook's Note: For optimal meat grinding, the equipment must be kept as cold as possible until ready to use.""]"
Black Pepper Scones Recipe,"['4 c. all-purpose flour plus', '1 Tbsp. all-purpose flour', '1/2 c. sugar', '2 1/2 tsp baking pwdr', '1/2 tsp salt', '13 Tbsp. unsalted butter - (6 1/2 ounce) chilled, and cut into small pcs', '1 1/2 Tbsp. medium-grind black pepper', '2 1/2 tsp finely-minced lemon peel', '1 1/2 c. heavy cream plus', '2 Tbsp. heavy cream for brushing']","['Into a large bowl, sift together the flour, sugar, baking pwdr and salt.', 'Using two knives or possibly a pastry blender, cut in the butter till the mix resembles coarse meal.', 'Gently stir in the pepper and lemon peel.', 'Add in the 1 1/2 c. cream all at once and mix till the dough just comes together.', 'Turn out onto a lightly floured surface and knead the dough into a ball.', ""For a flakier consistency, don't knead the dough into a smooth ball."", 'If smooth, the scone will be more cakelike.', 'Wrap in plastic wrap and chill for at least 30 min, up to overnight.', 'Cut the dough into three equal pcs.', 'Working with one piece at a time, keeping the other two pcs covered, roll out to a circle, 6 inches in diameter and 1/2 inch thick.', 'Cut the circle into 6 wedges and arrange the wedges on one or possibly two baking trays lined with parchment paper.', 'Repeat with the remaining dough.', 'The scones can be cut out with a 2 1/2 inch cookie cutter if you like.', 'Roll out the dough, cut, and place on a baking tray.', 'Reroll the dough and continue cutting out circles.', 'Proceed as in step 5.', 'Preheat the oven to 350 degrees.', 'Lightly brush the scones with the remaining 2 Tbsp.', 'of cream and bake till golden brown, about 10 to 12 min.', 'Serve hot with butter, and jam if desired it.', 'This recipe yields 18 scones.', 'Comments: I love the flavor of fresh black pepper in scones.', 'But, if you prefer, 1 c. of dry blueberries, sour cherries or possibly raisins can be used instead of the pepper to make a fruitier, sweeter scone.']"
Spanish Sangria,"['2 bottles dry red wine', '4 ounces gin', '3 tablespoons sugar', '4 oranges, (3 juiced, 1 whole)', '4 lemons, (3 juiced, 1 whole)', '2 limes, (1 juiced, 1 whole)', 'Ice', '24 ounces guarana soda', 'A viewer, who may not be a professional cook, provided this recipe. The Food Network Kitchens chefs have not tested this recipe and therefore, we cannot make representation as to the results.']","['In a large pitcher combine the wine, gin, sugar, the juice from 3 oranges, 3 lemons, and 1 lime.', 'Slice the remaining orange, lemon, and lime and add them to the pitcher as well.', 'Stir the mixture and let it sit overnight in the refrigerator.', 'Pour the sangria into glasses filled with ice and top with guarana soda.']"
